municipality_1,municipality_2
אבו גוש,מטה יהודה
אבו גוש,קרית יערים
אבו סנאן,ירכא
אבו סנאן,כפר יאסיף
אבו סנאן,מטה אשר
אבן יהודה,חוף השרון
אבן יהודה,לב השרון
אבן יהודה,קדימה - צורן
אבן יהודה,תל מונד
אום אל-פחם,"בסמ""ה"
אום אל-פחם,מגידו
אום אל-פחם,מנשה
אום אל-פחם,מעלה עירון
אום אל-פחם,ערערה
אופקים,מרחבים
אור יהודה,דרום השרון
אור יהודה,יהוד -מונסון
אור יהודה,סביון
אור יהודה,עמק לוד
אור יהודה,קרית אונו
אור יהודה,רמת גן
אור עקיבא,בנימינה - גבעת עדה
אור עקיבא,חוף הכרמל
אזור,חולון
אזור,עמק לוד
אילת,חבל אילות
אכסאל,נצרת עילית
אכסאל,עמק יזרעאל
אל קסום,בני שמעון
אל קסום,חורה
אל קסום,עומר
אל קסום,תל שבע
אל-בטוף,הגליל התחתון
אל-בטוף,מגדל
אל-בטוף,משהד
אל-בטוף,נצרת עילית
אל-בטוף,עמק יזרעאל
אלונה,בנימינה - גבעת עדה
אלונה,זכרון יעקב
אלונה,חוף הכרמל
אלונה,מגידו
אלונה,מנשה
אליכין,חדרה
אליכין,עמק חפר
אלעד,דרום השרון
אלעד,חבל מודיעין
אעבלין,טמרה
אעבלין,מטה אשר
אעבלין,משגב
אעבלין,שפרעם
אשדוד,באר טוביה
אשדוד,גן יבנה
אשדוד,חבל יבנה
אשכול,מרחבים
אשכול,רמת נגב
אשכול,שדות נגב
אשקלון,חוף אשקלון
באקה אל גרבייה,ג'ת
באקה אל גרבייה,מנשה
באר טוביה,"בני עי""ש"
באר טוביה,גדרה
באר טוביה,גדרות
באר טוביה,גן יבנה
באר טוביה,חבל יבנה
באר טוביה,חוף אשקלון
באר טוביה,יואב
באר טוביה,נחל שורק
באר טוביה,קרית מלאכי
באר טוביה,שפיר
באר יעקב,גזר
באר יעקב,נס ציונה
באר יעקב,עמק לוד
באר יעקב,ראשון לציון
באר יעקב,רמלה
באר שבע,בני שמעון
באר שבע,מרחבים
באר שבע,עומר
באר שבע,שגב שלום
באר שבע,תל שבע
בוסתאן אל-מרג',הגלבוע
בוסתאן אל-מרג',עמק יזרעאל
בוסתאן אל-מרג',עפולה
בועיינה-נוג'ידאת,הגליל התחתון
בוקעאתא,גולן
בוקעאתא,מסעדה
ביר אל-מכסור,כפר מנדא
ביר אל-מכסור,משגב
ביר אל-מכסור,עמק יזרעאל
ביר אל-מכסור,שפרעם
בית דגן,עמק לוד
בית דגן,ראשון לציון
בית שאן,עמק המעיינות
בית שמש,מטה יהודה
בני ברק,גבעת שמואל
בני ברק,פתח תקווה
בני ברק,רמת גן
בני ברק,תל אביב -יפו
"בני עי""ש",גדרה
בני שמעון,חורה
בני שמעון,להבים
בני שמעון,לכיש
בני שמעון,לקיה
בני שמעון,מיתר
בני שמעון,מרחבים
בני שמעון,עומר
בני שמעון,רהט
בני שמעון,שגב שלום
בני שמעון,שער הנגב
בני שמעון,תל שבע
בנימינה - גבעת עדה,זכרון יעקב
בנימינה - גבעת עדה,חוף הכרמל
בנימינה - גבעת עדה,מנשה
בנימינה - גבעת עדה,פרדס חנה - כרכור
"בסמ""ה",חריש
"בסמ""ה",מגידו
"בסמ""ה",מנשה
"בסמ""ה",ערערה
בסמת טבעון,זבולון
בסמת טבעון,עמק יזרעאל
בסמת טבעון,קרית טבעון
בענה,דיר אל-אסד
בענה,כרמיאל
בענה,מג'ד אל-כרום
בענה,נחף
ברנר,גדרה
ברנר,גדרות
ברנר,גזר
ברנר,גן רוה
ברנר,חבל יבנה
ברנר,יבנה
ברנר,מזכרת בתיה
ברנר,נחל שורק
ברנר,קרית עקרון
ברנר,רחובות
בת ים,חולון
בת ים,ראשון לציון
בת ים,תל אביב -יפו
ג'דיידה-מכר,ג'וליס
ג'דיידה-מכר,כפר יאסיף
ג'דיידה-מכר,מטה אשר
ג'דיידה-מכר,משגב
ג'וליס,ירכא
ג'וליס,כפר יאסיף
ג'וליס,משגב
ג'לג'וליה,דרום השרון
ג'סר א-זרקא,חוף הכרמל
ג'ת,מנשה
גבעת שמואל,פתח תקווה
גבעת שמואל,קרית אונו
גבעת שמואל,רמת גן
גבעתיים,רמת גן
גבעתיים,תל אביב -יפו
גדרה,גדרות
גדרה,נחל שורק
גדרות,גן יבנה
גדרות,חבל יבנה
גולן,הגליל העליון
גולן,מבואות החרמון
גולן,מג'דל שמס
גולן,מסעדה
גולן,ע'ג'ר
גולן,עין קיניה
גולן,עמק הירדן
גולן,קצרין
גוש חלב (ג'יש),הגליל העליון
גוש חלב (ג'יש),מרום הגליל
גזר,חבל מודיעין
גזר,מודיעין-מכבים-רעות
גזר,מזכרת בתיה
גזר,מטה יהודה
גזר,נחל שורק
גזר,נס ציונה
גזר,קרית עקרון
גזר,רחובות
גזר,רמלה
גן יבנה,חבל יבנה
גן רוה,חבל יבנה
גן רוה,יבנה
גן רוה,נס ציונה
גן רוה,ראשון לציון
גן רוה,רחובות
גני תקווה,דרום השרון
גני תקווה,סביון
גני תקווה,פתח תקווה
גני תקווה,קרית אונו
דאלית אל-כרמל,עוספייא
דבוריה,נצרת עילית
דבוריה,עמק יזרעאל
דבוריה,שבלי - אום אל-ג'נם
דימונה,הערבה התיכונה
דימונה,נווה מדבר
