municipality,eligible,voters,invalid,valid,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,ינ,יף,יק,יר,כ,כן,ל,מחל,נ,נז,ני,נץ,נק,פה,ףז,ץ,ק,קי,קך,קץ,שס,Unnamed: 37,knesset,אמת_pct,ג_pct,ודעם_pct,ז_pct,זך_pct,זץ_pct,טב_pct,י_pct,יז_pct,ינ_pct,יף_pct,יק_pct,יר_pct,כ_pct,כן_pct,ל_pct,מחל_pct,נ_pct,נז_pct,ני_pct,נץ_pct,נק_pct,פה_pct,ףז_pct,ץ_pct,ק_pct,קי_pct,קך_pct,קץ_pct,שס_pct,Unnamed: 37_pct,turnout_pct
אבו גוש,4821,2718,36,2682,75,4,2157,0,0,0,5,0,0,5,1,0,1,0,0,5,280,0,0,0,3,2,123,0,2,0,0,1,4,14,0.0,23,2.8,0.15,80.43,0.0,0.0,0.0,0.19,0.0,0.0,0.19,0.04,0.0,0.04,0.0,0.0,0.19,10.44,0.0,0.0,0.0,0.11,0.07,4.59,0.0,0.07,0.0,0.0,0.04,0.15,0.52,0.0,56.38
אבו סנאן,9422,6090,53,6037,92,6,4458,0,1,0,16,1,2,13,2,0,1,1,2,230,190,3,2,1,3,3,752,0,2,2,1,2,4,247,0.0,23,1.52,0.1,73.84,0.0,0.02,0.0,0.27,0.02,0.03,0.22,0.03,0.0,0.02,0.02,0.03,3.81,3.15,0.05,0.03,0.02,0.05,0.05,12.46,0.0,0.03,0.03,0.02,0.03,0.07,4.09,0.0,64.64
אבן יהודה,9935,7569,27,7542,725,51,28,9,0,0,202,0,1,1,0,0,0,0,2,190,1862,2,0,1,19,0,4298,1,0,1,0,0,0,149,0.0,23,9.61,0.68,0.37,0.12,0.0,0.0,2.68,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.03,2.52,24.69,0.03,0.0,0.01,0.25,0.0,56.99,0.01,0.0,0.01,0.0,0.0,0.0,1.98,0.0,76.19
אום אל-פחם,35711,22535,126,22409,88,1,22079,1,1,0,7,1,1,18,1,1,4,2,3,4,64,2,2,0,3,12,65,4,6,3,7,4,13,12,0.0,23,0.39,0.0,98.53,0.0,0.0,0.0,0.03,0.0,0.0,0.08,0.0,0.0,0.02,0.01,0.01,0.02,0.29,0.01,0.01,0.0,0.01,0.05,0.29,0.02,0.03,0.01,0.03,0.02,0.06,0.05,0.0,63.1
אופקים,21810,14655,109,14546,243,2198,18,7,0,0,572,3,4,1,1,2,1,0,2,1118,5881,5,1,0,90,0,1012,1,1,3,0,0,4,3378,0.0,23,1.67,15.11,0.12,0.05,0.0,0.0,3.93,0.02,0.03,0.01,0.01,0.01,0.01,0.0,0.01,7.69,40.43,0.03,0.01,0.0,0.62,0.0,6.96,0.01,0.01,0.02,0.0,0.0,0.03,23.22,0.0,67.19
אור יהודה,26945,18883,149,18734,558,196,16,3,0,0,506,1,2,2,0,2,0,3,2,357,10274,12,3,1,98,0,3228,1,4,1,1,4,3,3456,0.0,23,2.98,1.05,0.09,0.02,0.0,0.0,2.7,0.01,0.01,0.01,0.0,0.01,0.0,0.02,0.01,1.91,54.84,0.06,0.02,0.01,0.52,0.0,17.23,0.01,0.02,0.01,0.01,0.02,0.02,18.45,0.0,70.08
אור עקיבא,15949,10300,63,10237,195,137,12,7,1,0,322,1,0,1,0,1,2,1,3,1151,5793,7,0,1,53,0,1418,0,0,2,1,1,5,1122,0.0,23,1.9,1.34,0.12,0.07,0.01,0.0,3.15,0.01,0.0,0.01,0.0,0.01,0.02,0.01,0.03,11.24,56.59,0.07,0.0,0.01,0.52,0.0,13.85,0.0,0.0,0.02,0.01,0.01,0.05,10.96,0.0,64.58
אזור,9778,6730,41,6689,339,76,24,2,1,0,231,0,0,0,1,1,0,0,1,317,2750,16,1,0,33,1,2148,1,2,3,0,2,0,739,0.0,23,5.07,1.14,0.36,0.03,0.01,0.0,3.45,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,4.74,41.11,0.24,0.01,0.0,0.49,0.01,32.11,0.01,0.03,0.04,0.0,0.03,0.0,11.05,0.0,68.83
אילת,50714,22754,118,22636,851,185,237,19,1,0,728,3,1,1,2,1,2,5,6,1605,11250,16,5,1,102,2,6163,11,3,5,1,3,5,1422,0.0,23,3.76,0.82,1.05,0.08,0.0,0.0,3.22,0.01,0.0,0.0,0.01,0.0,0.01,0.02,0.03,7.09,49.7,0.07,0.02,0.0,0.45,0.01,27.23,0.05,0.01,0.02,0.0,0.01,0.02,6.28,0.0,44.87
אכסאל,9637,6553,41,6512,26,2,6387,0,0,0,1,0,0,2,0,0,0,0,0,0,37,0,1,0,0,2,34,1,1,4,0,3,2,9,0.0,23,0.4,0.03,98.08,0.0,0.0,0.0,0.02,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.02,0.0,0.0,0.03,0.52,0.02,0.02,0.06,0.0,0.05,0.03,0.14,0.0,68.0
