municipality,eligible,voters,invalid,valid,אמת,ב,ג,ודעם,ז,זץ,ט,י,יז,ינ,יף,יק,יר,כ,כך,כן,ל,מחל,מרצ,נ,ני,נר,עם,פה,ףז,צי,צכ,צף,ץ,ק,קי,קך,קץ,ר,רנ,רף,רק,שס,ת,Unnamed: 46,knesset,אמת_pct,ב_pct,ג_pct,ודעם_pct,ז_pct,זץ_pct,ט_pct,י_pct,יז_pct,ינ_pct,יף_pct,יק_pct,יר_pct,כ_pct,כך_pct,כן_pct,ל_pct,מחל_pct,מרצ_pct,נ_pct,ני_pct,נר_pct,עם_pct,פה_pct,ףז_pct,צי_pct,צכ_pct,צף_pct,ץ_pct,ק_pct,קי_pct,קך_pct,קץ_pct,ר_pct,רנ_pct,רף_pct,רק_pct,שס_pct,ת_pct,Unnamed: 46_pct,turnout_pct
אבו גוש,4961,1994,47,1947,18,4,4,951,0,0,1,0,7,1,0,0,0,0,1,13,4,476,68,0,1,0,331,46,0,0,0,1,0,1,0,1,0,3,0,0,0,13,2,0.0,24,0.92,0.21,0.21,48.84,0.0,0.0,0.05,0.0,0.36,0.05,0.0,0.0,0.0,0.0,0.05,0.67,0.21,24.45,3.49,0.0,0.05,0.0,17.0,2.36,0.0,0.0,0.0,0.05,0.0,0.05,0.0,0.05,0.0,0.15,0.0,0.0,0.0,0.67,0.1,0.0,40.19
אבו סנאן,9705,5151,81,5070,22,2,1,2127,0,0,5,3,12,2,1,0,0,1,1,44,395,577,96,0,1,2,888,97,0,0,5,3,0,2,3,2,0,3,0,0,0,532,243,0.0,24,0.43,0.04,0.02,41.95,0.0,0.0,0.1,0.06,0.24,0.04,0.02,0.0,0.0,0.02,0.02,0.87,7.79,11.38,1.89,0.0,0.02,0.04,17.51,1.91,0.0,0.0,0.1,0.06,0.0,0.04,0.06,0.04,0.0,0.06,0.0,0.0,0.0,10.49,4.79,0.0,53.08
אבן יהודה,10189,7587,21,7566,888,334,25,13,0,1,135,0,74,0,1,0,2,0,1,999,190,1430,622,0,1,0,0,2227,1,0,0,0,1,0,0,0,0,25,5,0,0,114,477,0.0,24,11.74,4.41,0.33,0.17,0.0,0.01,1.78,0.0,0.98,0.0,0.01,0.0,0.03,0.0,0.01,13.2,2.51,18.9,8.22,0.0,0.01,0.0,0.0,29.43,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.33,0.07,0.0,0.0,1.51,6.3,0.0,74.46
אום אל-פחם,36766,12187,215,11972,20,2,1,9635,0,3,1,1,19,10,2,2,4,0,2,8,3,172,312,1,2,1,1645,78,1,1,2,2,0,1,3,0,2,6,1,1,0,13,15,0.0,24,0.17,0.02,0.01,80.48,0.0,0.03,0.01,0.01,0.16,0.08,0.02,0.02,0.03,0.0,0.02,0.07,0.03,1.44,2.61,0.01,0.02,0.01,13.74,0.65,0.01,0.01,0.02,0.02,0.0,0.01,0.03,0.0,0.02,0.05,0.01,0.01,0.0,0.11,0.13,0.0,33.15
אופקים,22735,13859,102,13757,159,691,2260,6,1,0,827,2,66,1,0,1,0,1,3,297,831,4481,69,2,0,1,12,494,2,1,0,0,0,3,0,3,1,40,1,0,0,3149,352,0.0,24,1.16,5.02,16.43,0.04,0.01,0.0,6.01,0.01,0.48,0.01,0.0,0.01,0.0,0.01,0.02,2.16,6.04,32.57,0.5,0.01,0.0,0.01,0.09,3.59,0.01,0.01,0.0,0.0,0.0,0.02,0.0,0.02,0.01,0.29,0.01,0.0,0.0,22.89,2.56,0.0,60.96
אור יהודה,26810,17902,99,17803,460,902,118,9,2,1,612,4,198,2,2,1,0,0,4,995,295,8520,283,3,1,0,4,1364,1,1,0,1,1,2,4,7,2,40,3,1,0,2960,1000,0.0,24,2.58,5.07,0.66,0.05,0.01,0.01,3.44,0.02,1.11,0.01,0.01,0.01,0.0,0.0,0.02,5.59,1.66,47.86,1.59,0.02,0.01,0.0,0.02,7.66,0.01,0.01,0.0,0.01,0.01,0.01,0.02,0.04,0.01,0.22,0.02,0.01,0.0,16.63,5.62,0.0,66.77
אור עקיבא,16288,9672,51,9621,194,643,93,1,1,1,354,3,97,0,0,0,0,1,4,284,882,4655,91,1,7,0,1,829,1,3,0,0,0,1,2,0,1,39,1,1,0,941,489,0.0,24,2.02,6.68,0.97,0.01,0.01,0.01,3.68,0.03,1.01,0.0,0.0,0.0,0.0,0.01,0.04,2.95,9.17,48.38,0.95,0.01,0.07,0.0,0.01,8.62,0.01,0.03,0.0,0.0,0.0,0.01,0.02,0.0,0.01,0.41,0.01,0.01,0.0,9.78,5.08,0.0,59.38
אזור,9930,6568,35,6533,338,435,41,9,0,0,164,2,80,0,0,0,0,0,2,564,273,2261,163,0,0,0,3,1139,1,1,0,0,0,1,1,1,0,32,4,1,0,669,348,0.0,24,5.17,6.66,0.63,0.14,0.0,0.0,2.51,0.03,1.22,0.0,0.0,0.0,0.0,0.0,0.03,8.63,4.18,34.61,2.5,0.0,0.0,0.0,0.05,17.43,0.02,0.02,0.0,0.0,0.0,0.02,0.02,0.02,0.0,0.49,0.06,0.02,0.0,10.24,5.33,0.0,66.14
אילת,51155,21139,116,21023,838,1108,97,90,4,5,706,7,278,1,1,11,1,0,9,1267,1560,8866,445,3,4,3,20,2839,3,3,2,1,2,1,4,2,6,153,11,2,0,1087,1583,0.0,24,3.99,5.27,0.46,0.43,0.02,0.02,3.36,0.03,1.32,0.0,0.0,0.05,0.0,0.0,0.04,6.03,7.42,42.17,2.12,0.01,0.02,0.01,0.1,13.5,0.01,0.01,0.01,0.0,0.01,0.0,0.02,0.01,0.03,0.73,0.05,0.01,0.0,5.17,7.53,0.0,41.32
אכסאל,9946,4256,37,4219,4,0,1,2530,1,0,1,1,9,5,0,0,0,0,1,6,1,203,63,0,0,0,1340,18,0,2,0,0,0,0,1,2,0,1,1,2,0,2,24,0.0,24,0.09,0.0,0.02,59.97,0.02,0.0,0.02,0.02,0.21,0.12,0.0,0.0,0.0,0.0,0.02,0.14,0.02,4.81,1.49,0.0,0.0,0.0,31.76,0.43,0.0,0.05,0.0,0.0,0.0,0.0,0.02,0.05,0.0,0.02,0.02,0.05,0.0,0.05,0.57,0.0,42.79
אל קסום,6999,3138,28,3110,17,2,24,233,0,0,0,0,12,2,2,0,0,0,3,5,2,528,40,0,1,2,2159,47,1,1,1,3,1,2,2,4,0,0,5,1,0,7,3,0.0,24,0.55,0.06,0.77,7.49,0.0,0.0,0.0,0.0,0.39,0.06,0.06,0.0,0.0,0.0,0.1,0.16,0.06,16.98,1.29,0.0,0.03,0.06,69.42,1.51,0.03,0.03,0.03,0.1,0.03,0.06,0.06,0.13,0.0,0.0,0.16,0.03,0.0,0.23,0.1,0.0,44.83
אל-בטוף,5498,2375,34,2341,22,0,0,803,0,0,0,0,5,1,0,0,0,0,0,30,1,147,40,0,0,3,1098,19,1,0,0,0,0,1,0,0,1,0,0,0,0,146,23,0.0,24,0.94,0.0,0.0,34.3,0.0,0.0,0.0,0.0,0.21,0.04,0.0,0.0,0.0,0.0,0.0,1.28,0.04,6.28,1.71,0.0,0.0,0.13,46.9,0.81,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.04,0.0,0.0,0.0,0.0,6.24,0.98,0.0,43.2
אלונה,1514,1152,4,1148,211,57,4,4,1,0,12,0,11,0,0,0,0,0,0,111,34,266,124,0,0,0,0,207,1,0,0,0,0,0,0,0,0,12,2,0,0,8,83,0.0,24,18.38,4.97,0.35,0.35,0.09,0.0,1.05,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,9.67,2.96,23.17,10.8,0.0,0.0,0.0,0.0,18.03,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.17,0.0,0.0,0.7,7.23,0.0,76.09
אליכין,2632,1943,6,1937,90,134,26,1,0,2,101,0,15,0,0,0,0,0,0,107,28,854,31,1,0,0,0,142,0,0,0,0,0,0,0,0,0,16,1,0,0,260,128,0.0,24,4.65,6.92,1.34,0.05,0.0,0.1,5.21,0.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,5.52,1.45,44.09,1.6,0.05,0.0,0.0,0.0,7.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.05,0.0,0.0,13.42,6.61,0.0,73.82
אלעד,22029,17852,95,17757,20,192,6264,1,1,0,1892,1,6,0,0,1,0,0,0,11,6,743,6,0,0,0,2,19,1,0,0,0,0,0,0,1,6,30,1,9,0,8506,38,0.0,24,0.11,1.08,35.28,0.01,0.01,0.0,10.65,0.01,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.06,0.03,4.18,0.03,0.0,0.0,0.0,0.01,0.11,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.17,0.01,0.05,0.0,47.9,0.21,0.0,81.04
אעבלין,9349,4651,33,4618,57,2,0,2863,2,0,2,0,49,2,1,11,1,0,0,10,8,225,162,1,2,0,1131,57,1,1,1,0,1,1,0,0,1,2,0,3,0,5,16,0.0,24,1.23,0.04,0.0,62.0,0.04,0.0,0.04,0.0,1.06,0.04,0.02,0.24,0.02,0.0,0.0,0.22,0.17,4.87,3.51,0.02,0.04,0.0,24.49,1.23,0.02,0.02,0.02,0.0,0.02,0.02,0.0,0.0,0.02,0.04,0.0,0.06,0.0,0.11,0.35,0.0,49.75
אשדוד,180164,111019,657,110362,1720,5378,13351,33,14,8,3286,24,770,8,2,12,7,12,40,4090,14572,33865,780,8,13,8,19,11509,21,10,4,1,7,16,8,11,9,383,23,6,0,15190,5144,0.0,24,1.56,4.87,12.1,0.03,0.01,0.01,2.98,0.02,0.7,0.01,0.0,0.01,0.01,0.01,0.04,3.71,13.2,30.69,0.71,0.01,0.01,0.01,0.02,10.43,0.02,0.01,0.0,0.0,0.01,0.01,0.01,0.01,0.01,0.35,0.02,0.01,0.0,13.76,4.66,0.0,61.62
אשכול,10798,7303,19,7284,1288,397,14,22,2,3,754,1,76,0,1,0,0,0,1,695,254,1063,1040,0,1,0,3,1242,1,0,0,0,1,0,0,2,0,37,2,1,0,100,283,0.0,24,17.68,5.45,0.19,0.3,0.03,0.04,10.35,0.01,1.04,0.0,0.01,0.0,0.0,0.0,0.01,9.54,3.49,14.59,14.28,0.0,0.01,0.0,0.04,17.05,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.51,0.03,0.01,0.0,1.37,3.89,0.0,67.63
אשקלון,116313,68124,394,67730,1454,4134,528,38,3,8,3421,20,524,5,1,6,7,10,37,2762,9839,27103,592,7,9,2,24,6304,20,11,6,3,5,9,3,8,23,308,19,14,0,6712,3751,0.0,24,2.15,6.1,0.78,0.06,0.0,0.01,5.05,0.03,0.77,0.01,0.0,0.01,0.01,0.01,0.05,4.08,14.53,40.02,0.87,0.01,0.01,0.0,0.04,9.31,0.03,0.02,0.01,0.0,0.01,0.01,0.0,0.01,0.03,0.45,0.03,0.02,0.0,9.91,5.54,0.0,58.57
באקה אל גרבייה,19745,6187,112,6075,26,0,1,3466,1,0,0,2,28,8,0,1,0,1,0,21,4,92,269,0,0,0,2077,43,0,3,3,1,4,0,1,1,2,1,1,2,0,9,7,0.0,24,0.43,0.0,0.02,57.05,0.02,0.0,0.0,0.03,0.46,0.13,0.0,0.02,0.0,0.02,0.0,0.35,0.07,1.51,4.43,0.0,0.0,0.0,34.19,0.71,0.0,0.05,0.05,0.02,0.07,0.0,0.02,0.02,0.03,0.02,0.02,0.03,0.0,0.15,0.12,0.0,31.33
באר טוביה,16178,12122,36,12086,1029,744,26,58,0,34,350,2,126,0,0,0,0,0,3,1889,220,3536,677,0,1,0,5,2207,0,0,0,0,1,0,1,1,1,21,6,2,0,511,635,0.0,24,8.51,6.16,0.22,0.48,0.0,0.28,2.9,0.02,1.04,0.0,0.0,0.0,0.0,0.0,0.02,15.63,1.82,29.26,5.6,0.0,0.01,0.0,0.04,18.26,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.17,0.05,0.02,0.0,4.23,5.25,0.0,74.93
באר יעקב,17182,12529,37,12492,531,947,103,17,0,2,342,0,150,0,0,0,1,2,7,1129,429,4329,236,2,1,0,2,2412,1,1,2,0,0,1,1,0,1,34,6,2,0,873,928,0.0,24,4.25,7.58,0.82,0.14,0.0,0.02,2.74,0.0,1.2,0.0,0.0,0.0,0.01,0.02,0.06,9.04,3.43,34.65,1.89,0.02,0.01,0.0,0.02,19.31,0.01,0.01,0.02,0.0,0.0,0.01,0.01,0.0,0.01,0.27,0.05,0.02,0.0,6.99,7.43,0.0,72.92
