municipality,eligible,voters,invalid,valid,אמת,אצ,ב,ג,ד,ום,ז,זך,זנ,זץ,ט,י,יז,ינ,יץ,יק,כן,ך,ל,מחל,מרצ,נז,ני,נף,נץ,נק,נר,עם,פה,ף,צ,ץ,ק,קי,קך,קנ,קץ,רז,שס,ת,knesset,אמת_pct,אצ_pct,ב_pct,ג_pct,ד_pct,ום_pct,ז_pct,זך_pct,זנ_pct,זץ_pct,ט_pct,י_pct,יז_pct,ינ_pct,יץ_pct,יק_pct,כן_pct,ך_pct,ל_pct,מחל_pct,מרצ_pct,נז_pct,ני_pct,נף_pct,נץ_pct,נק_pct,נר_pct,עם_pct,פה_pct,ף_pct,צ_pct,ץ_pct,ק_pct,קי_pct,קך_pct,קנ_pct,קץ_pct,רז_pct,שס_pct,ת_pct,turnout_pct
אבו גוש,5094,2809,40,2769,14,1,1,3,1263,312,0,0,0,0,13,0,0,0,0,0,8,3,2,208,58,0,0,0,0,0,0,838,26,0,2,7,1,0,1,1,3,0,4,0,25,0.51,0.04,0.04,0.11,45.61,11.27,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.29,0.11,0.07,7.51,2.09,0.0,0.0,0.0,0.0,0.0,0.0,30.26,0.94,0.0,0.07,0.25,0.04,0.0,0.04,0.04,0.11,0.0,0.14,0.0,55.14
אבו סנאן,10013,5458,76,5382,34,0,3,0,677,2030,4,1,2,0,6,4,0,4,1,1,401,2,355,405,82,1,0,0,5,3,0,1160,163,0,1,4,1,3,1,6,9,0,12,1,25,0.63,0.0,0.06,0.0,12.58,37.72,0.07,0.02,0.04,0.0,0.11,0.07,0.0,0.07,0.02,0.02,7.45,0.04,6.6,7.53,1.52,0.02,0.0,0.0,0.09,0.06,0.0,21.55,3.03,0.0,0.02,0.07,0.02,0.06,0.02,0.11,0.17,0.0,0.22,0.02,54.51
אבן יהודה,10452,7712,19,7693,540,14,59,26,2,14,0,0,0,0,416,5,23,0,0,0,1178,0,142,1509,410,0,2,0,0,1,0,8,3159,0,13,1,4,0,2,1,37,1,126,0,25,7.02,0.18,0.77,0.34,0.03,0.18,0.0,0.0,0.0,0.0,5.41,0.06,0.3,0.0,0.0,0.0,15.31,0.0,1.85,19.62,5.33,0.0,0.03,0.0,0.0,0.01,0.0,0.1,41.06,0.0,0.17,0.01,0.05,0.0,0.03,0.01,0.48,0.01,1.64,0.0,73.78
אום אל-פחם,38286,14658,207,14451,51,7,3,16,5472,5858,1,1,4,4,16,5,0,3,3,1,8,6,4,103,138,0,3,1,5,6,3,2608,18,5,7,27,2,3,5,0,5,3,39,7,25,0.35,0.05,0.02,0.11,37.87,40.54,0.01,0.01,0.03,0.03,0.11,0.03,0.0,0.02,0.02,0.01,0.06,0.04,0.03,0.71,0.95,0.0,0.02,0.01,0.03,0.04,0.02,18.05,0.12,0.03,0.05,0.19,0.01,0.02,0.03,0.0,0.03,0.02,0.27,0.05,38.29
אופקים,23916,16406,122,16284,116,21,89,2445,10,7,0,1,1,1,2585,0,37,0,0,0,530,0,608,5225,61,0,2,1,1,4,0,20,701,4,28,1,3,0,4,1,6,2,3765,4,25,0.71,0.13,0.55,15.01,0.06,0.04,0.0,0.01,0.01,0.01,15.87,0.0,0.23,0.0,0.0,0.0,3.25,0.0,3.73,32.09,0.37,0.0,0.01,0.01,0.01,0.02,0.0,0.12,4.3,0.02,0.17,0.01,0.02,0.0,0.02,0.01,0.04,0.01,23.12,0.02,68.6
אור יהודה,27640,20022,130,19892,331,49,89,133,3,10,0,0,1,0,2179,4,107,0,2,0,1535,0,279,9099,209,0,3,3,4,1,6,7,1977,3,36,1,1,2,2,6,26,0,3780,4,25,1.66,0.25,0.45,0.67,0.02,0.05,0.0,0.0,0.01,0.0,10.95,0.02,0.54,0.0,0.01,0.0,7.72,0.0,1.4,45.74,1.05,0.0,0.02,0.02,0.02,0.01,0.03,0.04,9.94,0.02,0.18,0.01,0.01,0.01,0.01,0.03,0.13,0.0,19.0,0.02,72.44
אור עקיבא,17133,10955,76,10879,133,37,117,99,8,7,0,0,1,0,1288,1,30,2,1,1,630,4,812,5130,70,0,3,1,2,1,1,2,1284,2,20,1,0,1,0,4,16,6,1160,4,25,1.22,0.34,1.08,0.91,0.07,0.06,0.0,0.0,0.01,0.0,11.84,0.01,0.28,0.02,0.01,0.01,5.79,0.04,7.46,47.16,0.64,0.0,0.03,0.01,0.02,0.01,0.01,0.02,11.8,0.02,0.18,0.01,0.0,0.01,0.0,0.04,0.15,0.06,10.66,0.04,63.94
אזור,10054,6864,41,6823,250,24,74,60,1,6,0,0,1,0,733,1,27,0,0,0,746,0,191,2314,105,0,1,0,0,2,0,2,1424,1,12,2,3,0,1,2,16,1,821,2,25,3.66,0.35,1.08,0.88,0.01,0.09,0.0,0.0,0.01,0.0,10.74,0.01,0.4,0.0,0.0,0.0,10.93,0.0,2.8,33.91,1.54,0.0,0.01,0.0,0.0,0.03,0.0,0.03,20.87,0.01,0.18,0.03,0.04,0.0,0.01,0.03,0.23,0.01,12.03,0.03,68.27
אילת,51974,22361,172,22189,409,59,112,144,45,81,3,4,1,1,2465,7,89,1,1,0,2259,7,1009,9687,274,2,17,1,5,13,1,57,3719,8,70,3,17,1,5,9,105,3,1488,7,25,1.84,0.27,0.5,0.65,0.2,0.37,0.01,0.02,0.0,0.0,11.11,0.03,0.4,0.0,0.0,0.0,10.18,0.03,4.55,43.66,1.23,0.01,0.08,0.0,0.02,0.06,0.0,0.26,16.76,0.04,0.32,0.01,0.08,0.0,0.02,0.04,0.47,0.01,6.71,0.03,43.02
אכסאל,10342,5257,45,5212,3,4,0,14,989,2710,3,0,0,0,5,0,5,0,0,0,5,1,2,41,42,0,1,1,0,0,0,1339,29,0,3,6,0,1,2,1,2,0,2,1,25,0.06,0.08,0.0,0.27,18.98,52.0,0.06,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.02,0.04,0.79,0.81,0.0,0.02,0.02,0.0,0.0,0.0,25.69,0.56,0.0,0.06,0.12,0.0,0.02,0.04,0.02,0.04,0.0,0.04,0.02,50.83
