municipality,canton
אבו גוש,6
אבו סנאן,6
אבן יהודה,6
אום אל-פחם,6
אופקים,6
אור יהודה,6
אור עקיבא,6
אזור,6
אילת,6
אכסאל,6
אל קסום,6
אל-בטוף,6
אלונה,6
אליכין,6
אלעד,6
אעבלין,6
אשדוד,6
אשכול,6
אשקלון,6
באקה אל גרבייה,6
באר טוביה,6
באר יעקב,6
באר שבע,6
בוסתאן אל-מרג',6
בועיינה-נוג'ידאת,6
בוקעאתא,0
ביר אל-מכסור,6
בית ג'ן,6
בית דגן,6
בית שאן,6
בית שמש,6
בני ברק,6
"בני עי""ש",6
בני שמעון,6
בנימינה - גבעת עדה,6
"בסמ""ה",6
בסמת טבעון,6
בענה,6
ברנר,6
בת ים,6
ג'דיידה-מכר,6
ג'וליס,6
ג'לג'וליה,6
ג'סר א-זרקא,6
ג'ת,6
גבעת שמואל,6
גבעתיים,6
גדרה,6
גדרות,6
גולן,6
גוש חלב (ג'יש),6
גזר,6
גן יבנה,6
גן רוה,6
גני תקווה,6
דאלית אל-כרמל,6
דבוריה,6
דימונה,6
דיר אל-אסד,6
דיר חנא,6
דרום השרון,6
הגלבוע,6
הגליל העליון,6
הגליל התחתון,6
הוד השרון,6
הערבה התיכונה,6
הרצליה,6
זבולון,6
זכרון יעקב,6
זמר,6
זרזיר,6
חבל אילות,6
חבל יבנה,6
חבל מודיעין,6
חדרה,6
חולון,6
חוף אשקלון,6
חוף הכרמל,6
חוף השרון,6
חורה,6
חורפיש,6
חיפה,6
חצור הגלילית,6
חריש,6
טבריה,6
טובא-זנגריה,6
טורעאן,6
טייבה,6
טירה,6
טירת כרמל,6
טמרה,6
יאנוח - ג'ת,6
יבנאל,6
יבנה,6
יהוד -מונסון,6
יואב,6
יסוד המעלה,6
יפיע,6
יקנעם עילית,6
ירוחם,6
ירושלים,6
ירכא,6
כאבול,6
כאוכב אבו אל-היג'א,6
כוכב יאיר,6
כסייפה,6
כסרא - סמיע,6
כעביה - טבאש - חג'אג'רה,6
כפר ברא,6
כפר ורדים,6
כפר יאסיף,6
כפר יונה,6
כפר כמא,6
כפר כנא,6
כפר מנדא,6
כפר סבא,6
כפר קאסם,6
כפר קרע,6
כפר שמריהו,6
כפר תבור,6
כרמיאל,6
לב השרון,6
להבים,6
לוד,6
לכיש,6
לקיה,6
מבואות החרמון,6
מבשרת ציון,6
מג'אר,6
מג'ד אל-כרום,6
מג'דל שמס,1
מגדל,6
מגדל העמק,6
מגידו,6
מודיעין-מכבים-רעות,6
מזכרת בתיה,6
מזרעה,6
מטה אשר,6
מטה יהודה,6
מטולה,6
מיתר,6
מנשה,6
מסעדה,2
מעיליא,6
מעלה יוסף,6
מעלה עירון,6
מעלות-תרשיחא,6
מצפה רמון,6
מרום הגליל,6
מרחבים,6
משגב,6
משהד,6
נהריה,6
נווה מדבר,6
נחל שורק,6
נחף,6
נס ציונה,6
נצרת,6
נשר,6
נתיבות,6
נתניה,6
סאג'ור,6
סביון,6
סח'נין,6
ע'ג'ר,6
עומר,6
עוספייא,6
עילבון,6
עילוט,6
עין מאהל,6
עין קיניה,3
עכו,6
עמק הירדן,6
עמק המעיינות,6
עמק חפר,6
עמק יזרעאל,6
עפולה,6
עראבה,6
ערד,4
ערערה,6
ערערה בנגב,6
פוריידיס,6
פסוטה,6
פקיעין (בוקייעה),6
פרדס חנה - כרכור,6
פרדסיה,6
פתח תקווה,6
צפת,6
קדימה - צורן,6
קלנסווה,6
קצרין,6
קרית אונו,6
קרית אתא,6
קרית ביאליק,6
קרית גת,6
קרית טבעון,6
קרית ים,6
קרית יערים,6
קרית מוצקין,6
קרית מלאכי,6
קרית עקרון,6
קרית שמונה,6
ראמה,6
ראש העין,6
ראש פינה,6
ראשון לציון,6
רהט,6
רחובות,6
ריינה,6
רכסים,6
רמלה,6
רמת גן,6
רמת השרון,6
רמת ישי,6
רמת נגב,6
רעננה,6
שגב שלום,6
שדות נגב,6
שדרות,6
שהם,6
שלומי,6
שעב,6
שער הנגב,6
שפיר,6
שפרעם,6
תל אביב -יפו,6
תל מונד,6
תל שבע,6
תמר,5
