municipality,canton
פרדסיה,0
כפר יונה,0
אבן יהודה,0
טייבה,0
קדימה - צורן,0
לב השרון,0
קלנסווה,0
תל מונד,0
טירה,0
טירת כרמל,1
מגידו,1
אלונה,1
פוריידיס,1
ג'סר א-זרקא,1
אום אל-פחם,1
מעלה עירון,1
זכרון יעקב,1
חוף הכרמל,1
בנימינה - גבעת עדה,1
יקנעם עילית,1
אור עקיבא,1
להבים,2
לקיה,2
רהט,2
שגב שלום,2
אל קסום,2
בני שמעון,2
חורה,2
מיתר,2
באר שבע,2
תל שבע,2
עומר,2
הגליל התחתון,3
בועיינה-נוג'ידאת,3
משהד,3
כפר תבור,3
טורעאן,3
כפר כנא,3
אל-בטוף,3
כפר כמא,3
מנשה,4
באקה אל גרבייה,4
אליכין,4
חדרה,4
כפר קרע,4
זמר,4
"בסמ""ה",4
ג'ת,4
פרדס חנה - כרכור,4
ערערה,4
עמק חפר,4
חריש,4
גן רוה,5
בית ג'ן,5
אבו גוש,5
בית דגן,5
קרית מלאכי,5
יבנה,5
אשקלון,5
בית שמש,5
נס ציונה,5
ראשון לציון,5
ירושלים,5
רחובות,5
יואב,5
לכיש,5
קרית עקרון,5
נחל שורק,5
גדרה,5
מודיעין-מכבים-רעות,5
באר טוביה,5
גן יבנה,5
גזר,5
אשדוד,5
שפיר,5
קרית גת,5
ברנר,5
באר יעקב,5
שדרות,5
שער הנגב,5
גדרות,5
"בני עי""ש",5
חבל יבנה,5
מבשרת ציון,5
חוף אשקלון,5
מטה יהודה,5
מזכרת בתיה,5
דבוריה,6
זרזיר,6
רמת ישי,6
עפולה,6
ריינה,6
מגדל העמק,6
בוסתאן אל-מרג',6
יפיע,6
ביר אל-מכסור,6
כפר מנדא,6
עילוט,6
הגלבוע,6
כעביה - טבאש - חג'אג'רה,6
אכסאל,6
עמק יזרעאל,6
נצרת,6
משגב,7
ראש פינה,7
עמק המעיינות,7
נחף,7
קצרין,7
גוש חלב (ג'יש),7
בוקעאתא,7
טובא-זנגריה,7
ראמה,7
מג'דל שמס,7
מטולה,7
קרית שמונה,7
כרמיאל,7
עין קיניה,7
הגליל העליון,7
סאג'ור,7
חצור הגלילית,7
מגדל,7
בית שאן,7
מג'אר,7
טבריה,7
ע'ג'ר,7
מסעדה,7
מרום הגליל,7
יסוד המעלה,7
צפת,7
יבנאל,7
מג'ד אל-כרום,7
עמק הירדן,7
מבואות החרמון,7
גולן,7
דיר חנא,7
עילבון,7
כפר קאסם,8
ראש העין,8
חוף השרון,9
אור יהודה,9
רכסים,9
אלעד,9
בני ברק,9
דאלית אל-כרמל,9
קרית יערים,9
כפר סבא,9
תל אביב -יפו,9
רמת גן,9
חולון,9
נתניה,9
רמלה,9
דרום השרון,9
הרצליה,9
סביון,9
עוספייא,9
אזור,9
גני תקווה,9
יהוד -מונסון,9
רעננה,9
כוכב יאיר,9
גבעתיים,9
שהם,9
גבעת שמואל,9
בת ים,9
רמת השרון,9
חבל מודיעין,9
פתח תקווה,9
לוד,9
כפר שמריהו,9
קרית אונו,9
הוד השרון,9
קרית מוצקין,10
חיפה,10
קרית ביאליק,10
קרית אתא,10
זבולון,10
בסמת טבעון,10
נשר,10
שפרעם,10
קרית טבעון,10
קרית ים,10
מעלה יוסף,11
פסוטה,11
פקיעין (בוקייעה),11
דיר אל-אסד,11
כפר ורדים,11
חורפיש,11
כסרא - סמיע,11
מעלות-תרשיחא,11
מעיליא,11
יאנוח - ג'ת,11
שדות נגב,12
תמר,12
הערבה התיכונה,12
ירוחם,12
ערד,12
מרחבים,12
אופקים,12
מצפה רמון,12
חבל אילות,12
אשכול,12
נווה מדבר,12
דימונה,12
רמת נגב,12
נתיבות,12
אילת,12
ג'וליס,13
אבו סנאן,13
מזרעה,13
נהריה,13
כפר יאסיף,13
שלומי,13
אעבלין,13
עכו,13
טמרה,13
ג'דיידה-מכר,13
כאבול,13
ירכא,13
מטה אשר,13
שעב,13
כאוכב אבו אל-היג'א,14
כפר ברא,14
עין מאהל,14
בענה,14
ערערה בנגב,14
סח'נין,14
כסייפה,14
עראבה,14
ג'לג'וליה,14
