municipality,canton
שדות נגב,0
בני ברק,1
דאלית אל-כרמל,2
בית ג'ן,3
עראבה,4
רהט,5
תל אביב -יפו,6
נתניה,7
ירוחם,8
כפר סבא,9
גדרה,10
רחובות,11
ראשון לציון,12
לוד,13
חולון,14
רמלה,13
חבל מודיעין,13
רעננה,9
דימונה,0
באר טוביה,10
אשדוד,10
נצרת,5
טייבה,5
אום אל-פחם,5
סח'נין,5
כפר כנא,5
ג'דיידה-מכר,5
יפיע,5
קלנסווה,5
מודיעין-מכבים-רעות,13
הוד השרון,9
תל שבע,5
כפר יאסיף,5
נתיבות,0
נס ציונה,11
אכסאל,5
כסייפה,5
מזרעה,5
מרחבים,0
באר שבע,0
טורעאן,5
בת ים,14
מג'ד אל-כרום,5
דבוריה,5
עוספייא,2
ערערה בנגב,5
אלעד,1
דיר חנא,5
כאוכב אבו אל-היג'א,5
משהד,5
יהוד -מונסון,13
לקיה,5
שעב,5
גזר,11
מטה יהודה,11
מבשרת ציון,11
ריינה,5
רכסים,1
גן יבנה,10
רמת השרון,9
עין מאהל,5
נווה מדבר,5
אור יהודה,13
מזכרת בתיה,11
בענה,5
אופקים,0
חוף אשקלון,10
חורה,5
כאבול,5
נחף,5
שגב שלום,5
קרית יערים,1
בועיינה-נוג'ידאת,5
"בסמ""ה",5
לכיש,10
ג'ת,5
באר יעקב,13
"בני עי""ש",10
כפר שמריהו,9
אעבלין,5
מעלה עירון,5
שהם,13
דרום השרון,9
כוכב יאיר,9
תל מונד,9
אבן יהודה,9
סביון,9
קדימה - צורן,9
קרית גת,10
כפר קרע,5
משגב,4
כרמיאל,4
מטה אשר,4
נהריה,4
קרית אתא,4
קרית מוצקין,4
קרית ביאליק,4
נשר,4
מעלה יוסף,4
עמק חפר,7
חדרה,7
פרדס חנה - כרכור,7
באקה אל גרבייה,5
מעלות-תרשיחא,4
כפר יונה,7
פרדסיה,7
אזור,14
גני תקווה,9
ערערה,5
גן רוה,11
יבנה,11
קרית ים,4
קרית אונו,13
חוף הכרמל,7
זכרון יעקב,7
ג'לג'וליה,5
מרום הגליל,4
מבואות החרמון,4
יסוד המעלה,4
גולן,4
קצרין,4
גבעת שמואל,13
קרית עקרון,11
בנימינה - גבעת עדה,7
אלונה,7
מטולה,4
ראש פינה,4
זמר,5
דיר אל-אסד,5
לב השרון,9
שלומי,4
מגדל,4
הגליל התחתון,4
כפר תבור,4
פתח תקווה,1
קרית מלאכי,10
טמרה,5
ברנר,11
שפיר,10
חבל יבנה,10
קרית שמונה,4
חוף השרון,9
גדרות,11
אליכין,7
אל-בטוף,5
בית דגן,12
מעיליא,5
רמת נגב,8
אשכול,8
חבל אילות,8
אילת,8
הערבה התיכונה,8
תמר,8
ערד,8
עילוט,5
טירת כרמל,7
כפר מנדא,5
יאנוח - ג'ת,4
ראמה,4
כפר ורדים,4
מצפה רמון,8
אור עקיבא,7
עומר,0
חורפיש,4
זבולון,4
עמק הירדן,4
עמק המעיינות,4
שפרעם,5
אשקלון,10
ראש העין,9
הגלבוע,4
יואב,11
כפר ברא,5
גוש חלב (ג'יש),4
עילבון,4
קרית טבעון,4
אל קסום,5
רמת גן,13
מג'אר,4
פקיעין (בוקייעה),4
ג'סר א-זרקא,5
מג'דל שמס,4
חצור הגלילית,4
בוסתאן אל-מרג',5
מנשה,7
חריש,7
אבו סנאן,5
בני שמעון,0
מיתר,0
להבים,0
שער הנגב,0
שדרות,0
טירה,5
בית שאן,4
הרצליה,9
מגידו,7
יקנעם עילית,7
עפולה,7
אבו גוש,5
פסוטה,4
בית שמש,11
גבעתיים,13
ירכא,4
יבנאל,4
עכו,4
כפר כמא,4
נחל שורק,10
טבריה,4
בסמת טבעון,5
עמק יזרעאל,7
רמת ישי,7
מגדל העמק,7
עין קיניה,4
סאג'ור,4
מסעדה,4
כסרא - סמיע,4
הגליל העליון,4
ביר אל-מכסור,5
צפת,4
כפר קאסם,5
פוריידיס,5
בוקעאתא,4
ג'וליס,4
טובא-זנגריה,4
כעביה - טבאש - חג'אג'רה,7
זרזיר,7
ע'ג'ר,4
חיפה,7
ירושלים,11
