municipality,canton
אבו גוש,13
אבו סנאן,13
אבן יהודה,13
אום אל-פחם,13
אופקים,13
אור יהודה,13
אור עקיבא,13
אזור,0
אילת,13
אכסאל,13
אל קסום,13
אל-בטוף,13
אלונה,13
אליכין,13
אלעד,13
אעבלין,13
אשדוד,1
אשכול,13
אשקלון,2
באקה אל גרבייה,13
באר טוביה,13
באר יעקב,13
באר שבע,3
בוסתאן אל-מרג',13
בועיינה-נוג'ידאת,13
בוקעאתא,13
ביר אל-מכסור,13
בית ג'ן,13
בית דגן,4
בית שאן,13
בית שמש,13
בני ברק,14
"בני עי""ש",13
בני שמעון,13
בנימינה - גבעת עדה,13
"בסמ""ה",13
בסמת טבעון,13
בענה,13
ברנר,13
בת ים,5
ג'דיידה-מכר,13
ג'וליס,13
ג'לג'וליה,13
ג'סר א-זרקא,13
ג'ת,13
גבעת שמואל,13
גבעתיים,6
גדרה,13
גדרות,13
גולן,13
גוש חלב (ג'יש),13
גזר,13
גן יבנה,13
גן רוה,13
גני תקווה,13
דאלית אל-כרמל,13
דבוריה,13
דימונה,13
דיר אל-אסד,13
דיר חנא,13
דרום השרון,13
הגלבוע,13
הגליל העליון,13
הגליל התחתון,13
הוד השרון,13
הערבה התיכונה,13
הרצליה,13
זבולון,13
זכרון יעקב,13
זמר,13
זרזיר,13
חבל אילות,13
חבל יבנה,13
חבל מודיעין,13
חדרה,13
חולון,12
חוף אשקלון,13
חוף הכרמל,13
חוף השרון,13
חורה,13
חורפיש,13
חיפה,7
חצור הגלילית,13
חריש,13
טבריה,13
טובא-זנגריה,13
טורעאן,13
טייבה,13
טירה,13
טירת כרמל,13
טמרה,13
יאנוח - ג'ת,13
יבנאל,13
יבנה,13
יהוד -מונסון,13
יואב,13
יסוד המעלה,13
יפיע,13
יקנעם עילית,13
ירוחם,13
ירושלים,8
ירכא,13
כאבול,13
כאוכב אבו אל-היג'א,13
כוכב יאיר,13
כסייפה,13
כסרא - סמיע,13
כעביה - טבאש - חג'אג'רה,13
כפר ברא,13
כפר ורדים,13
כפר יאסיף,13
כפר יונה,13
כפר כמא,13
כפר כנא,13
כפר מנדא,13
כפר סבא,13
כפר קאסם,13
כפר קרע,13
כפר שמריהו,13
כפר תבור,13
כרמיאל,13
לב השרון,13
להבים,13
לוד,13
לכיש,13
לקיה,13
מבואות החרמון,13
מבשרת ציון,13
מג'אר,13
מג'ד אל-כרום,13
מג'דל שמס,13
מגדל,13
מגדל העמק,13
מגידו,13
מודיעין-מכבים-רעות,13
מזכרת בתיה,13
מזרעה,13
מטה אשר,13
מטה יהודה,13
מטולה,13
מיתר,13
מנשה,13
מסעדה,13
מעיליא,13
מעלה יוסף,13
מעלה עירון,13
מעלות-תרשיחא,13
מצפה רמון,13
מרום הגליל,13
מרחבים,13
משגב,13
משהד,13
נהריה,13
נווה מדבר,13
נחל שורק,13
נחף,13
נס ציונה,13
נצרת,13
נשר,13
נתיבות,13
נתניה,9
סאג'ור,13
סביון,13
סח'נין,13
ע'ג'ר,13
עומר,13
עוספייא,13
עילבון,13
עילוט,13
עין מאהל,13
עין קיניה,13
עכו,13
עמק הירדן,13
עמק המעיינות,13
עמק חפר,13
עמק יזרעאל,13
עפולה,13
עראבה,13
ערד,13
ערערה,13
ערערה בנגב,13
פוריידיס,13
פסוטה,13
פקיעין (בוקייעה),13
פרדס חנה - כרכור,13
פרדסיה,13
פתח תקווה,14
צפת,13
קדימה - צורן,13
קלנסווה,13
קצרין,13
קרית אונו,13
קרית אתא,13
קרית ביאליק,13
קרית גת,13
קרית טבעון,13
קרית ים,13
קרית יערים,13
קרית מוצקין,13
קרית מלאכי,13
קרית עקרון,13
קרית שמונה,13
ראמה,13
ראש העין,13
ראש פינה,13
ראשון לציון,12
רהט,13
רחובות,10
ריינה,13
רכסים,13
רמלה,13
רמת גן,14
רמת השרון,13
רמת ישי,13
רמת נגב,13
רעננה,13
שגב שלום,13
שדות נגב,13
שדרות,13
שהם,13
שלומי,13
שעב,13
שער הנגב,13
שפיר,13
שפרעם,13
תל אביב -יפו,11
תל מונד,13
תל שבע,13
תמר,13
