municipality,canton
אבו גוש,0
אבו סנאן,9
אבן יהודה,9
אום אל-פחם,5
אופקים,5
אור יהודה,5
אור עקיבא,9
אזור,9
אילת,8
אכסאל,9
אל קסום,0
אל-בטוף,0
אלונה,0
אליכין,0
אלעד,5
אעבלין,9
אשדוד,7
אשכול,9
אשקלון,4
באקה אל גרבייה,9
באר טוביה,5
באר יעקב,5
באר שבע,7
בוסתאן אל-מרג',0
בועיינה-נוג'ידאת,0
בוקעאתא,0
ביר אל-מכסור,0
בית ג'ן,0
בית דגן,0
בית שאן,9
בית שמש,3
בני ברק,4
"בני עי""ש",0
בני שמעון,9
בנימינה - גבעת עדה,9
"בסמ""ה",0
בסמת טבעון,0
בענה,0
ברנר,0
בת ים,6
ג'דיידה-מכר,9
ג'וליס,0
ג'לג'וליה,0
ג'סר א-זרקא,0
ג'ת,0
גבעת שמואל,5
גבעתיים,3
גדרה,5
גדרות,0
גולן,9
גוש חלב (ג'יש),0
גזר,5
גן יבנה,5
גן רוה,0
גני תקווה,5
דאלית אל-כרמל,9
דבוריה,0
דימונה,5
דיר אל-אסד,9
דיר חנא,9
דרום השרון,5
הגלבוע,5
הגליל העליון,9
הגליל התחתון,9
הוד השרון,3
הערבה התיכונה,0
הרצליה,6
זבולון,9
זכרון יעקב,5
זמר,0
זרזיר,0
חבל אילות,0
חבל יבנה,0
חבל מודיעין,5
חדרה,6
חולון,7
חוף אשקלון,9
חוף הכרמל,5
חוף השרון,9
חורה,0
חורפיש,0
חיפה,2
חצור הגלילית,9
חריש,9
טבריה,8
טובא-זנגריה,0
טורעאן,9
טייבה,5
טירה,5
טירת כרמל,5
טמרה,5
יאנוח - ג'ת,0
יבנאל,0
יבנה,8
יהוד -מונסון,5
יואב,0
יסוד המעלה,0
יפיע,9
יקנעם עילית,5
ירוחם,9
ירושלים,1
ירכא,9
כאבול,9
כאוכב אבו אל-היג'א,0
כוכב יאיר,9
כסייפה,0
כסרא - סמיע,0
כעביה - טבאש - חג'אג'רה,0
כפר ברא,0
כפר ורדים,0
כפר יאסיף,9
כפר יונה,5
כפר כמא,0
כפר כנא,9
כפר מנדא,9
כפר סבא,6
כפר קאסם,9
כפר קרע,9
כפר שמריהו,0
כפר תבור,0
כרמיאל,8
לב השרון,5
להבים,0
לוד,3
לכיש,9
לקיה,0
מבואות החרמון,0
מבשרת ציון,5
מג'אר,9
מג'ד אל-כרום,9
מג'דל שמס,0
מגדל,0
מגדל העמק,5
מגידו,9
מודיעין-מכבים-רעות,6
מזכרת בתיה,9
מזרעה,0
מטה אשר,5
מטה יהודה,8
מטולה,0
מיתר,9
מנשה,9
מסעדה,0
מעיליא,0
מעלה יוסף,9
מעלה עירון,0
מעלות-תרשיחא,5
מצפה רמון,0
מרום הגליל,9
מרחבים,9
משגב,5
משהד,0
נהריה,3
נווה מדבר,0
נחל שורק,0
נחף,9
נס ציונה,8
נצרת,8
נשר,5
נתיבות,5
נתניה,7
סאג'ור,0
סביון,0
סח'נין,5
ע'ג'ר,0
עומר,0
עוספייא,0
עילבון,0
עילוט,0
עין מאהל,9
עין קיניה,0
עכו,8
עמק הירדן,9
עמק המעיינות,9
עמק חפר,8
עמק יזרעאל,8
עפולה,8
עראבה,5
ערד,5
ערערה,9
ערערה בנגב,9
פוריידיס,0
פסוטה,0
פקיעין (בוקייעה),0
פרדס חנה - כרכור,8
פרדסיה,0
פתח תקווה,2
צפת,5
קדימה - צורן,5
קלנסווה,9
קצרין,0
קרית אונו,8
קרית אתא,3
קרית ביאליק,8
קרית גת,8
קרית טבעון,9
קרית ים,8
קרית יערים,0
קרית מוצקין,8
קרית מלאכי,5
קרית עקרון,9
קרית שמונה,5
ראמה,0
ראש העין,3
ראש פינה,0
ראשון לציון,2
רהט,8
רחובות,4
ריינה,9
רכסים,9
רמלה,3
רמת גן,4
רמת השרון,8
רמת ישי,0
רמת נגב,0
רעננה,3
שגב שלום,0
שדות נגב,9
שדרות,5
שהם,5
שלומי,0
שעב,0
שער הנגב,0
שפיר,9
שפרעם,5
תל אביב -יפו,1
תל מונד,9
תל שבע,9
תמר,0
