municipality,canton
כפר יונה,0
חוף השרון,0
קדימה - צורן,0
אור יהודה,0
רכסים,0
אלעד,0
בני ברק,0
דאלית אל-כרמל,0
ראש העין,0
קרית יערים,0
כפר סבא,0
תל אביב -יפו,0
רמת גן,0
פרדסיה,0
נתניה,0
דרום השרון,0
הרצליה,0
סביון,0
עוספייא,0
גני תקווה,0
יהוד -מונסון,0
רעננה,0
כוכב יאיר,0
גבעתיים,0
גבעת שמואל,0
רמת השרון,0
אבן יהודה,0
לב השרון,0
פתח תקווה,0
תל מונד,0
כפר שמריהו,0
קרית אונו,0
הוד השרון,0
מנשה,1
טירת כרמל,1
אליכין,1
חדרה,1
"בסמ""ה",1
אלונה,1
פוריידיס,1
זמר,1
פרדס חנה - כרכור,1
חריש,1
עמק חפר,1
זכרון יעקב,1
חוף הכרמל,1
בנימינה - גבעת עדה,1
אור עקיבא,1
באקה אל גרבייה,2
עין מאהל,2
ערערה בנגב,2
אבו גוש,2
כפר קרע,2
טורעאן,2
ריינה,2
קלנסווה,2
מעלה עירון,2
כאבול,2
כפר קאסם,2
כפר מנדא,2
בענה,2
מזרעה,2
סח'נין,2
נצרת,2
טירה,2
ג'לג'וליה,2
דבוריה,2
לקיה,2
כפר ברא,2
בועיינה-נוג'ידאת,2
משהד,2
ג'ת,2
כפר כנא,2
ערערה,2
כסייפה,2
טמרה,2
עראבה,2
יפיע,2
ביר אל-מכסור,2
שעב,2
עילוט,2
כאוכב אבו אל-היג'א,2
רהט,2
טייבה,2
ג'סר א-זרקא,2
אום אל-פחם,2
אעבלין,2
אכסאל,2
בית שאן,3
מגדל,3
זרזיר,3
טבריה,3
רמת ישי,3
עמק המעיינות,3
עפולה,3
אל-בטוף,3
מגדל העמק,3
בוסתאן אל-מרג',3
יקנעם עילית,3
הגלבוע,3
יבנאל,3
הגליל התחתון,3
עמק הירדן,3
מגידו,3
כפר תבור,3
כעביה - טבאש - חג'אג'רה,3
כפר כמא,3
עמק יזרעאל,3
להבים,4
שגב שלום,4
אל קסום,4
בני שמעון,4
חורה,4
מיתר,4
באר שבע,4
תל שבע,4
עומר,4
גן רוה,5
בית ג'ן,5
בית דגן,5
קרית מלאכי,5
מזכרת בתיה,5
יבנה,5
אשקלון,5
בית שמש,5
נס ציונה,5
ראשון לציון,5
ירושלים,5
חולון,5
רמלה,5
רחובות,5
יואב,5
לכיש,5
אזור,5
קרית עקרון,5
נחל שורק,5
גדרה,5
באר טוביה,5
גן יבנה,5
גזר,5
שהם,5
אשדוד,5
שפיר,5
בת ים,5
קרית גת,5
ברנר,5
באר יעקב,5
שדרות,5
שער הנגב,5
גדרות,5
"בני עי""ש",5
חבל יבנה,5
לוד,5
חבל מודיעין,5
חוף אשקלון,5
מבשרת ציון,5
מטה יהודה,5
מודיעין-מכבים-רעות,5
מג'אר,6
ע'ג'ר,6
משגב,6
ראש פינה,6
מסעדה,6
מרום הגליל,6
נחף,6
יסוד המעלה,6
קצרין,6
צפת,6
גוש חלב (ג'יש),6
טובא-זנגריה,6
מג'ד אל-כרום,6
בוקעאתא,6
מבואות החרמון,6
סאג'ור,6
גולן,6
ראמה,6
מטולה,6
קרית שמונה,6
כרמיאל,6
דיר חנא,6
מג'דל שמס,6
הגליל העליון,6
עין קיניה,6
חצור הגלילית,6
עילבון,6
שדות נגב,7
תמר,7
הערבה התיכונה,7
ירוחם,7
ערד,7
מרחבים,7
אופקים,7
מצפה רמון,7
חבל אילות,7
אשכול,7
נווה מדבר,7
אילת,7
רמת נגב,7
נתיבות,7
דימונה,7
מעלה יוסף,8
פסוטה,8
פקיעין (בוקייעה),8
דיר אל-אסד,8
כפר ורדים,8
חורפיש,8
כסרא - סמיע,8
מעלות-תרשיחא,8
מעיליא,8
יאנוח - ג'ת,8
קרית מוצקין,9
קרית ביאליק,9
קרית אתא,9
נהריה,9
כפר יאסיף,9
שלומי,9
ג'דיידה-מכר,9
נשר,9
עכו,9
שפרעם,9
קרית טבעון,9
ירכא,9
אבו סנאן,9
ג'וליס,9
חיפה,9
זבולון,9
בסמת טבעון,9
קרית ים,9
מטה אשר,9
