municipality,canton
שדות נגב,0
בני ברק,1
דאלית אל-כרמל,2
בית ג'ן,3
עראבה,4
אל-בטוף,5
תל אביב -יפו,6
ראשון לציון,7
הוד השרון,8
רחובות,9
כפר סבא,8
דרום השרון,8
רעננה,8
דימונה,0
נצרת,4
רהט,4
אום אל-פחם,4
סח'נין,4
כפר כנא,4
ג'דיידה-מכר,4
יפיע,4
נס ציונה,9
קלנסווה,4
נתיבות,0
מג'ד אל-כרום,4
גזר,9
מודיעין-מכבים-רעות,9
באקה אל גרבייה,4
מרחבים,0
באר שבע,0
אכסאל,4
כפר יאסיף,4
כסייפה,4
אלעד,1
עוספייא,2
טורעאן,4
דבוריה,4
דיר חנא,4
ערערה בנגב,4
מזרעה,4
עמק יזרעאל,5
הגלבוע,5
עפולה,5
עמק המעיינות,5
כאוכב אבו אל-היג'א,4
זבולון,5
קרית אתא,5
קרית ביאליק,5
קרית מוצקין,5
לקיה,4
שעב,4
עין מאהל,4
אופקים,0
גני תקווה,8
בת ים,7
קרית אונו,8
מטה יהודה,9
נשר,5
כאבול,4
תל שבע,4
רכסים,1
בענה,4
נווה מדבר,4
נחף,4
חורה,4
תל מונד,8
משהד,4
אבן יהודה,8
מבשרת ציון,9
קרית ים,5
סביון,8
קרית יערים,1
ריינה,4
קדימה - צורן,8
בועיינה-נוג'ידאת,4
שגב שלום,4
מזכרת בתיה,9
כוכב יאיר,8
כפר שמריהו,8
אעבלין,4
רמת ישי,5
"בסמ""ה",4
ג'ת,4
כפר תבור,5
כפר קרע,4
לב השרון,8
פרדסיה,8
מעלה עירון,4
חבל מודיעין,9
שהם,9
הגליל התחתון,5
פתח תקווה,1
ערערה,4
באר יעקב,9
כפר יונה,8
טמרה,4
מגדל העמק,5
יהוד -מונסון,9
דיר אל-אסד,4
חולון,7
טבריה,5
ג'לג'וליה,4
רמת השרון,8
טייבה,4
לכיש,9
חוף אשקלון,9
באר טוביה,9
גדרה,9
גן יבנה,9
זמר,4
מגדל,5
מרום הגליל,5
כרמיאל,5
מבואות החרמון,5
גולן,5
יסוד המעלה,5
קצרין,5
קרית שמונה,5
ראש פינה,5
מטולה,5
"בני עי""ש",9
קרית עקרון,9
עמק חפר,8
שפרעם,4
חוף השרון,8
גן רוה,9
כפר מנדא,4
ראמה,5
גדרות,9
מעיליא,4
אזור,7
בית דגן,7
ברנר,9
עומר,0
אשכול,0
עמק הירדן,5
קרית טבעון,5
עילוט,4
מנשה,8
בנימינה - גבעת עדה,8
אלונה,8
זכרון יעקב,8
חוף הכרמל,8
יבנה,9
פרדס חנה - כרכור,8
בית שאן,5
חצור הגלילית,5
בני שמעון,0
מיתר,0
להבים,0
רמת נגב,0
ירוחם,0
מצפה רמון,0
תמר,0
ערד,0
הערבה התיכונה,0
שער הנגב,0
שדרות,0
מג'אר,5
אליכין,8
גוש חלב (ג'יש),5
עילבון,5
חבל יבנה,9
כפר ברא,4
טירה,4
רמת גן,6
אור יהודה,9
חבל אילות,0
אילת,0
מטה אשר,5
מעלה יוסף,5
שלומי,5
מעלות-תרשיחא,5
כפר ורדים,5
יאנוח - ג'ת,5
חורפיש,5
פקיעין (בוקייעה),5
אל קסום,4
ג'סר א-זרקא,4
מגידו,8
יקנעם עילית,8
עכו,5
אבו סנאן,4
מג'דל שמס,5
טירת כרמל,8
קרית גת,9
בוסתאן אל-מרג',4
אור עקיבא,8
שפיר,9
אבו גוש,4
פסוטה,5
ירכא,5
קרית מלאכי,9
גבעתיים,6
נהריה,5
גבעת שמואל,8
חריש,8
רמלה,9
ראש העין,8
הרצליה,6
יבנאל,5
יואב,9
צפת,5
לוד,9
כפר כמא,5
משגב,5
הגליל העליון,5
בסמת טבעון,4
סאג'ור,5
עין קיניה,5
מסעדה,5
כסרא - סמיע,5
חדרה,8
ביר אל-מכסור,4
כפר קאסם,4
נחל שורק,9
פוריידיס,4
בוקעאתא,5
כעביה - טבאש - חג'אג'רה,5
אשקלון,9
זרזיר,5
טובא-זנגריה,5
ג'וליס,5
בית שמש,9
נתניה,8
חיפה,5
אשדוד,9
ע'ג'ר,5
ירושלים,9
