municipality,canton
שדות נגב,0
להבים,0
בית ג'ן,0
הערבה התיכונה,0
מרחבים,0
אופקים,0
שפיר,0
קרית גת,0
אשקלון,0
רמת נגב,0
נתיבות,0
שדרות,0
אילת,0
שער הנגב,0
תמר,0
ירוחם,0
ערד,0
מיתר,0
מצפה רמון,0
חבל אילות,0
אשכול,0
בני שמעון,0
יואב,0
דימונה,0
חוף אשקלון,0
באר שבע,0
לכיש,0
תל שבע,0
עומר,0
בית דגן,1
אור יהודה,1
קרית מלאכי,1
בני ברק,1
בית שמש,1
ראש העין,1
כפר סבא,1
ראשון לציון,1
נס ציונה,1
ירושלים,1
אליכין,1
רחובות,1
הרצליה,1
אזור,1
גדרה,1
גזר,1
גבעתיים,1
שהם,1
ברנר,1
רמת השרון,1
אבן יהודה,1
גדרות,1
"בני עי""ש",1
עמק חפר,1
חבל יבנה,1
מבשרת ציון,1
כפר שמריהו,1
קרית אונו,1
מודיעין-מכבים-רעות,1
כפר יונה,1
גן רוה,1
חוף השרון,1
קדימה - צורן,1
רכסים,1
אלעד,1
יבנה,1
דאלית אל-כרמל,1
קרית יערים,1
תל אביב -יפו,1
רמת גן,1
פרדסיה,1
חולון,1
נתניה,1
רמלה,1
דרום השרון,1
סביון,1
עוספייא,1
קרית עקרון,1
נחל שורק,1
גני תקווה,1
באר טוביה,1
יהוד -מונסון,1
גן יבנה,1
רעננה,1
כוכב יאיר,1
גבעת שמואל,1
אשדוד,1
בת ים,1
באר יעקב,1
לב השרון,1
לוד,1
פתח תקווה,1
תל מונד,1
חבל מודיעין,1
מטה יהודה,1
מזכרת בתיה,1
הוד השרון,1
מנשה,2
טירת כרמל,2
חדרה,2
"בסמ""ה",2
אלונה,2
פוריידיס,2
פרדס חנה - כרכור,2
חריש,2
זכרון יעקב,2
חוף הכרמל,2
בנימינה - גבעת עדה,2
אור עקיבא,2
זרזיר,3
ראש פינה,3
עמק המעיינות,3
אל-בטוף,3
מגדל העמק,3
בוסתאן אל-מרג',3
קצרין,3
יקנעם עילית,3
הגלבוע,3
גוש חלב (ג'יש),3
הגליל התחתון,3
טובא-זנגריה,3
בוקעאתא,3
כפר תבור,3
מטולה,3
קרית שמונה,3
מג'דל שמס,3
הגליל העליון,3
עין קיניה,3
חצור הגלילית,3
כעביה - טבאש - חג'אג'רה,3
כפר כמא,3
בית שאן,3
מגדל,3
מג'אר,3
טבריה,3
רמת ישי,3
ע'ג'ר,3
מסעדה,3
עפולה,3
מרום הגליל,3
יסוד המעלה,3
צפת,3
יבנאל,3
עמק הירדן,3
מגידו,3
מבואות החרמון,3
גולן,3
עילבון,3
עמק יזרעאל,3
קרית מוצקין,4
חיפה,4
קרית ביאליק,4
קרית אתא,4
זבולון,4
בסמת טבעון,4
נשר,4
שפרעם,4
קרית טבעון,4
קרית ים,4
מעלה יוסף,5
פסוטה,5
משגב,5
נהריה,5
כפר יאסיף,5
דיר אל-אסד,5
שלומי,5
חורפיש,5
ג'דיידה-מכר,5
כסרא - סמיע,5
עכו,5
נחף,5
מעלות-תרשיחא,5
אבו סנאן,5
ירכא,5
פקיעין (בוקייעה),5
ג'וליס,5
ראמה,5
כרמיאל,5
כפר ורדים,5
סאג'ור,5
מטה אשר,5
יאנוח - ג'ת,5
באקה אל גרבייה,6
עין מאהל,6
ערערה בנגב,6
אבו גוש,6
אל קסום,6
כפר קרע,6
טורעאן,6
מעלה עירון,6
ריינה,6
קלנסווה,6
נווה מדבר,6
כאבול,6
כפר קאסם,6
כפר מנדא,6
בענה,6
זמר,6
מזרעה,6
סח'נין,6
נצרת,6
ג'לג'וליה,6
טירה,6
דבוריה,6
לקיה,6
כפר ברא,6
בועיינה-נוג'ידאת,6
משהד,6
שגב שלום,6
ג'ת,6
כפר כנא,6
ערערה,6
כסייפה,6
טמרה,6
עראבה,6
מעיליא,6
יפיע,6
ביר אל-מכסור,6
שעב,6
כאוכב אבו אל-היג'א,6
רהט,6
עילוט,6
טייבה,6
מג'ד אל-כרום,6
ג'סר א-זרקא,6
אום אל-פחם,6
חורה,6
דיר חנא,6
אעבלין,6
אכסאל,6
