municipality,canton
שדות נגב,0
בני ברק,1
דאלית אל-כרמל,2
דימונה,0
נתיבות,0
עוספייא,2
מרחבים,0
אופקים,0
רכסים,1
קרית יערים,1
אלעד,1
באר שבע,0
עומר,0
חוף השרון,2
נתניה,2
לב השרון,2
כפר שמריהו,2
אבן יהודה,2
פרדסיה,2
תל מונד,2
קדימה - צורן,2
כפר יונה,2
רמת גן,1
אשכול,0
בני שמעון,0
לכיש,0
חוף אשקלון,0
דרום השרון,2
מיתר,0
סביון,2
להבים,0
כוכב יאיר,2
באר טוביה,0
"בני עי""ש",0
גני תקווה,2
גן יבנה,0
חבל יבנה,0
יהוד -מונסון,2
גבעתיים,1
גדרה,0
חבל מודיעין,2
גבעת שמואל,1
גן רוה,0
גדרות,0
שהם,2
ברנר,0
מזכרת בתיה,0
אור יהודה,1
קרית עקרון,0
תמר,0
הערבה התיכונה,0
רמת נגב,0
עמק חפר,2
ירוחם,0
קרית אונו,1
שער הנגב,0
אליכין,2
מצפה רמון,0
יואב,0
מנשה,2
אלונה,2
בנימינה - גבעת עדה,2
גזר,0
מטה יהודה,1
זכרון יעקב,2
באר יעקב,0
מגידו,2
מבשרת ציון,1
שדרות,0
יקנעם עילית,2
זבולון,1
חבל אילות,0
חורה,0
נשר,1
חוף הכרמל,2
ערד,0
קרית טבעון,1
שפיר,0
הגלבוע,2
עמק המעיינות,2
אילת,0
קרית ביאליק,1
עמק הירדן,2
מבואות החרמון,2
יסוד המעלה,2
מטולה,2
ראש פינה,2
הגליל התחתון,2
כפר תבור,2
מטה אשר,1
יבנה,0
מעלה יוסף,1
גולן,2
שלומי,1
כפר ורדים,1
קצרין,2
יאנוח - ג'ת,1
כפר יאסיף,0
חורפיש,1
מגדל,2
כפר כמא,2
מג'דל שמס,2
נווה מדבר,0
פקיעין (בוקייעה),1
עילבון,2
כסייפה,0
מרום הגליל,2
מעלות-תרשיחא,1
יפיע,0
ראמה,2
שגב שלום,0
גוש חלב (ג'יש),2
פסוטה,1
כאוכב אבו אל-היג'א,0
לקיה,0
מג'אר,2
אבו סנאן,1
תל שבע,0
ירכא,1
חריש,2
דבוריה,0
מזרעה,0
בענה,0
ערערה בנגב,0
אור עקיבא,2
משגב,1
עין מאהל,0
חצור הגלילית,2
אכסאל,0
בועיינה-נוג'ידאת,0
קרית מוצקין,1
פרדס חנה - כרכור,2
מגדל העמק,0
משהד,0
ג'ת,0
קרית שמונה,2
קרית ים,1
ריינה,0
טורעאן,0
טירת כרמל,2
מעלה עירון,0
שעב,0
אעבלין,0
עכו,1
רמת השרון,2
רהט,0
"בסמ""ה",0
מעיליא,0
כרמיאל,1
בית שאן,2
כפר כנא,0
דיר חנא,0
הגליל העליון,2
ג'לג'וליה,0
אל-בטוף,0
זמר,0
כאבול,0
קרית אתא,1
עפולה,2
באקה אל גרבייה,0
נחף,0
עילוט,0
כפר קרע,0
ערערה,0
טבריה,2
נהריה,1
קלנסווה,0
ג'דיידה-מכר,0
צפת,2
דיר אל-אסד,0
מג'ד אל-כרום,0
יבנאל,2
אל קסום,0
עמק יזרעאל,1
ראש העין,2
סח'נין,0
רמת ישי,1
עראבה,0
כפר ברא,0
בוסתאן אל-מרג',0
כפר מנדא,0
בית שמש,1
הוד השרון,2
שפרעם,0
אבו גוש,0
ג'סר א-זרקא,0
עין קיניה,2
סאג'ור,1
כסרא - סמיע,1
מסעדה,2
נחל שורק,1
טמרה,0
לוד,2
אום אל-פחם,0
נצרת,1
בסמת טבעון,0
טייבה,0
רמלה,2
טירה,0
קרית מלאכי,0
ביר אל-מכסור,0
בוקעאתא,2
רעננה,2
פתח תקווה,1
מודיעין-מכבים-רעות,0
חדרה,2
נס ציונה,0
כפר קאסם,0
פוריידיס,0
כעביה - טבאש - חג'אג'רה,1
טובא-זנגריה,2
זרזיר,1
ג'וליס,1
קרית גת,0
הרצליה,2
כפר סבא,2
חיפה,1
רחובות,0
אשקלון,0
ע'ג'ר,2
בית ג'ן,2
אשדוד,0
תל אביב -יפו,2
ירושלים,1
ראשון לציון,0
בת ים,2
בית דגן,0
חולון,0
אזור,0
