municipality,canton
אבו גוש,8
אבו סנאן,8
אבן יהודה,9
אום אל-פחם,8
אופקים,9
אור יהודה,9
אור עקיבא,9
אזור,9
אילת,9
אכסאל,8
אל קסום,8
אל-בטוף,8
אלונה,9
אליכין,9
אלעד,7
אעבלין,8
אשדוד,9
אשכול,9
אשקלון,9
באקה אל גרבייה,8
באר טוביה,9
באר יעקב,9
באר שבע,9
בוסתאן אל-מרג',8
בועיינה-נוג'ידאת,8
בוקעאתא,9
ביר אל-מכסור,8
בית ג'ן,9
בית דגן,9
בית שאן,9
בית שמש,0
בני ברק,7
"בני עי""ש",9
בני שמעון,9
בנימינה - גבעת עדה,9
"בסמ""ה",8
בסמת טבעון,8
בענה,8
ברנר,9
בת ים,9
ג'דיידה-מכר,8
ג'וליס,9
ג'לג'וליה,8
ג'סר א-זרקא,8
ג'ת,8
גבעת שמואל,9
גבעתיים,9
גדרה,9
גדרות,9
גולן,9
גוש חלב (ג'יש),1
גזר,9
גן יבנה,9
גן רוה,9
גני תקווה,9
דאלית אל-כרמל,9
דבוריה,8
דימונה,9
דיר אל-אסד,8
דיר חנא,8
דרום השרון,9
הגלבוע,9
הגליל העליון,9
הגליל התחתון,9
הוד השרון,9
הערבה התיכונה,9
הרצליה,9
זבולון,9
זכרון יעקב,9
זמר,8
זרזיר,2
חבל אילות,9
חבל יבנה,9
חבל מודיעין,9
חדרה,9
חולון,9
חוף אשקלון,9
חוף הכרמל,9
חוף השרון,9
חורה,8
חורפיש,9
חיפה,9
חצור הגלילית,9
חריש,9
טבריה,9
טובא-זנגריה,3
טורעאן,8
טייבה,8
טירה,8
טירת כרמל,9
טמרה,8
יאנוח - ג'ת,9
יבנאל,9
יבנה,9
יהוד -מונסון,9
יואב,9
יסוד המעלה,9
יפיע,8
יקנעם עילית,9
ירוחם,9
ירושלים,9
ירכא,9
כאבול,8
כאוכב אבו אל-היג'א,8
כוכב יאיר,9
כסייפה,8
כסרא - סמיע,9
כעביה - טבאש - חג'אג'רה,4
כפר ברא,8
כפר ורדים,9
כפר יאסיף,8
כפר יונה,9
כפר כמא,9
כפר כנא,8
כפר מנדא,8
כפר סבא,9
כפר קאסם,8
כפר קרע,8
כפר שמריהו,9
כפר תבור,9
כרמיאל,9
לב השרון,9
להבים,9
לוד,9
לכיש,9
לקיה,8
מבואות החרמון,9
מבשרת ציון,9
מג'אר,8
מג'ד אל-כרום,8
מג'דל שמס,9
מגדל,9
מגדל העמק,9
מגידו,9
מודיעין-מכבים-רעות,9
מזכרת בתיה,9
מזרעה,8
מטה אשר,9
מטה יהודה,9
מטולה,9
מיתר,9
מנשה,9
מסעדה,9
מעיליא,8
מעלה יוסף,9
מעלה עירון,8
מעלות-תרשיחא,9
מצפה רמון,9
מרום הגליל,9
מרחבים,9
משגב,9
משהד,8
נהריה,9
נווה מדבר,8
נחל שורק,9
נחף,8
נס ציונה,9
נצרת,8
נשר,9
נתיבות,9
נתניה,9
סאג'ור,9
סביון,9
סח'נין,8
ע'ג'ר,9
עומר,9
עוספייא,9
עילבון,8
עילוט,8
עין מאהל,8
עין קיניה,9
עכו,9
עמק הירדן,9
עמק המעיינות,9
עמק חפר,9
עמק יזרעאל,9
עפולה,9
עראבה,8
ערד,9
ערערה,8
ערערה בנגב,8
פוריידיס,8
פסוטה,5
פקיעין (בוקייעה),9
פרדס חנה - כרכור,9
פרדסיה,9
פתח תקווה,9
צפת,9
קדימה - צורן,9
קלנסווה,8
קצרין,9
קרית אונו,9
קרית אתא,9
קרית ביאליק,9
קרית גת,9
קרית טבעון,9
קרית ים,9
קרית יערים,7
קרית מוצקין,9
קרית מלאכי,9
קרית עקרון,9
קרית שמונה,9
ראמה,6
ראש העין,9
ראש פינה,9
ראשון לציון,9
רהט,8
רחובות,9
ריינה,8
רכסים,7
רמלה,9
רמת גן,9
רמת השרון,9
רמת ישי,9
רמת נגב,9
רעננה,9
שגב שלום,8
שדות נגב,9
שדרות,9
שהם,9
שלומי,9
שעב,8
שער הנגב,9
שפיר,9
שפרעם,8
תל אביב -יפו,9
תל מונד,9
תל שבע,8
תמר,9
