municipality,canton
אבו גוש,4
אבו סנאן,4
אבן יהודה,3
אום אל-פחם,4
אופקים,1
אור יהודה,1
אור עקיבא,1
אזור,1
אילת,1
אכסאל,4
אל קסום,0
אל-בטוף,0
אלונה,3
אליכין,1
אלעד,2
אעבלין,4
אשדוד,1
אשכול,3
אשקלון,1
באקה אל גרבייה,4
באר טוביה,3
באר יעקב,1
באר שבע,1
בוסתאן אל-מרג',4
בועיינה-נוג'ידאת,0
בוקעאתא,1
ביר אל-מכסור,0
בית ג'ן,3
בית דגן,1
בית שאן,1
בית שמש,2
בני ברק,2
"בני עי""ש",1
בני שמעון,3
בנימינה - גבעת עדה,3
"בסמ""ה",4
בסמת טבעון,0
בענה,4
ברנר,3
בת ים,1
ג'דיידה-מכר,4
ג'וליס,3
ג'לג'וליה,0
ג'סר א-זרקא,4
ג'ת,4
גבעת שמואל,1
גבעתיים,3
גדרה,1
גדרות,3
גולן,3
גוש חלב (ג'יש),4
גזר,3
גן יבנה,1
גן רוה,3
גני תקווה,3
דאלית אל-כרמל,3
דבוריה,4
דימונה,1
דיר אל-אסד,4
דיר חנא,4
דרום השרון,3
הגלבוע,3
הגליל העליון,3
הגליל התחתון,3
הוד השרון,3
הערבה התיכונה,3
הרצליה,3
זבולון,3
זכרון יעקב,3
זמר,4
זרזיר,0
חבל אילות,3
חבל יבנה,1
חבל מודיעין,1
חדרה,1
חולון,1
חוף אשקלון,1
חוף הכרמל,3
חוף השרון,3
חורה,0
חורפיש,3
חיפה,3
חצור הגלילית,1
חריש,1
טבריה,1
טובא-זנגריה,0
טורעאן,4
טייבה,4
טירה,4
טירת כרמל,1
טמרה,4
יאנוח - ג'ת,3
יבנאל,1
יבנה,1
יהוד -מונסון,1
יואב,3
יסוד המעלה,3
יפיע,4
יקנעם עילית,1
ירוחם,1
ירושלים,1
ירכא,1
כאבול,4
כאוכב אבו אל-היג'א,4
כוכב יאיר,3
כסייפה,0
כסרא - סמיע,1
כעביה - טבאש - חג'אג'רה,0
כפר ברא,0
כפר ורדים,3
כפר יאסיף,4
כפר יונה,1
כפר כמא,3
כפר כנא,4
כפר מנדא,4
כפר סבא,3
כפר קאסם,0
כפר קרע,4
כפר שמריהו,3
כפר תבור,3
כרמיאל,1
לב השרון,3
להבים,3
לוד,1
לכיש,1
לקיה,0
מבואות החרמון,3
מבשרת ציון,1
מג'אר,4
מג'ד אל-כרום,4
מג'דל שמס,3
מגדל,1
מגדל העמק,1
מגידו,3
מודיעין-מכבים-רעות,3
מזכרת בתיה,3
מזרעה,4
מטה אשר,3
מטה יהודה,1
מטולה,3
מיתר,3
מנשה,3
מסעדה,3
מעיליא,4
מעלה יוסף,1
מעלה עירון,4
מעלות-תרשיחא,1
מצפה רמון,1
מרום הגליל,1
מרחבים,1
משגב,3
משהד,4
נהריה,1
נווה מדבר,0
נחל שורק,1
נחף,4
נס ציונה,3
נצרת,4
נשר,1
נתיבות,1
נתניה,1
סאג'ור,3
סביון,3
סח'נין,4
ע'ג'ר,1
עומר,3
עוספייא,3
עילבון,4
עילוט,4
עין מאהל,4
עין קיניה,1
עכו,1
עמק הירדן,3
עמק המעיינות,3
עמק חפר,3
עמק יזרעאל,3
עפולה,1
עראבה,4
ערד,3
ערערה,4
ערערה בנגב,0
פוריידיס,4
פסוטה,4
פקיעין (בוקייעה),3
פרדס חנה - כרכור,3
פרדסיה,3
פתח תקווה,1
צפת,1
קדימה - צורן,3
קלנסווה,4
קצרין,1
קרית אונו,3
קרית אתא,1
קרית ביאליק,1
קרית גת,1
קרית טבעון,3
קרית ים,1
קרית יערים,2
קרית מוצקין,1
קרית מלאכי,1
קרית עקרון,1
קרית שמונה,1
ראמה,4
ראש העין,1
ראש פינה,3
ראשון לציון,1
רהט,0
רחובות,1
ריינה,4
רכסים,2
רמלה,1
רמת גן,3
רמת השרון,3
רמת ישי,3
רמת נגב,3
רעננה,3
שגב שלום,0
שדות נגב,1
שדרות,1
שהם,3
שלומי,1
שעב,4
שער הנגב,3
שפיר,1
שפרעם,4
תל אביב -יפו,3
תל מונד,3
תל שבע,0
תמר,3
