municipality,canton
פוריידיס,0
בוסתאן אל-מרג',0
הוד השרון,1
לב השרון,1
עוספייא,1
כפר סבא,1
פרדסיה,1
רעננה,1
סביון,1
כוכב יאיר,1
אבן יהודה,1
נתניה,1
ראש העין,1
גבעת שמואל,1
גבעתיים,1
כפר שמריהו,1
רמת גן,1
תל מונד,1
אור יהודה,1
חוף השרון,1
פתח תקווה,1
יהוד -מונסון,1
רמת השרון,1
כפר יונה,1
דרום השרון,1
עמק חפר,1
דאלית אל-כרמל,1
גני תקווה,1
קדימה - צורן,1
קרית אונו,1
הרצליה,1
תל אביב -יפו,1
דיר אל-אסד,2
כפר מנדא,2
טמרה,3
קרית עקרון,4
ירוחם,4
חולון,4
רמלה,4
אופקים,4
יואב,4
בית ג'ן,4
בני שמעון,4
עומר,4
"בני עי""ש",4
גדרה,4
אשדוד,4
נס ציונה,4
מצפה רמון,4
שער הנגב,4
רמת נגב,4
שהם,4
אזור,4
יבנה,4
קרית גת,4
קרית מלאכי,4
באר שבע,4
שדרות,4
מרחבים,4
דימונה,4
גדרות,4
להבים,4
לוד,4
בת ים,4
נחל שורק,4
שדות נגב,4
ראשון לציון,4
תמר,4
הערבה התיכונה,4
נתיבות,4
גן יבנה,4
מודיעין-מכבים-רעות,4
חבל יבנה,4
חבל אילות,4
מטה יהודה,4
שפיר,4
אשכול,4
ערד,4
גן רוה,4
מזכרת בתיה,4
מיתר,4
ברנר,4
באר יעקב,4
רחובות,4
גזר,4
באר טוביה,4
לכיש,4
חבל מודיעין,4
בית שמש,4
אשקלון,4
מבשרת ציון,4
בית דגן,4
אילת,4
ירושלים,4
חוף אשקלון,4
נחף,5
כפר כנא,5
ראמה,6
סאג'ור,6
קרית טבעון,6
טובא-זנגריה,6
ע'ג'ר,6
טבריה,6
מעלה יוסף,6
פסוטה,6
יאנוח - ג'ת,6
חיפה,6
עילבון,6
יקנעם עילית,6
חדרה,6
אלונה,6
נשר,6
הגלבוע,6
פקיעין (בוקייעה),6
עכו,6
רמת ישי,6
עין קיניה,6
עמק יזרעאל,6
אליכין,6
עמק המעיינות,6
חורפיש,6
ג'וליס,6
פרדס חנה - כרכור,6
זבולון,6
מנשה,6
הגליל העליון,6
כפר כמא,6
מגידו,6
קרית אתא,6
מגדל העמק,6
עפולה,6
מרום הגליל,6
משגב,6
צפת,6
קצרין,6
כפר תבור,6
אור עקיבא,6
מטה אשר,6
הגליל התחתון,6
כרמיאל,6
שלומי,6
מסעדה,6
קרית שמונה,6
קרית ביאליק,6
גולן,6
מבואות החרמון,6
אבו סנאן,6
בית שאן,6
מטולה,6
בוקעאתא,6
עמק הירדן,6
גוש חלב (ג'יש),6
חריש,6
כעביה - טבאש - חג'אג'רה,6
קרית מוצקין,6
יסוד המעלה,6
חצור הגלילית,6
מג'אר,6
קרית ים,6
כפר ורדים,6
זכרון יעקב,6
יבנאל,6
מג'דל שמס,6
בנימינה - גבעת עדה,6
ירכא,6
מעלות-תרשיחא,6
טירת כרמל,6
חוף הכרמל,6
נהריה,6
ראש פינה,6
מגדל,6
זרזיר,6
כסרא - סמיע,6
רכסים,7
קרית יערים,7
אלעד,7
בני ברק,7
שעב,8
ריינה,8
ג'דיידה-מכר,8
יפיע,8
כאבול,8
טורעאן,8
אעבלין,8
כאוכב אבו אל-היג'א,8
מעיליא,8
שפרעם,8
"בסמ""ה",8
עין מאהל,8
נצרת,8
ג'ת,8
אכסאל,8
טייבה,8
בענה,8
ערערה,8
מעלה עירון,8
עילוט,8
זמר,8
ג'סר א-זרקא,8
כפר יאסיף,8
דיר חנא,8
טירה,8
מג'ד אל-כרום,8
דבוריה,8
אום אל-פחם,8
קלנסווה,8
באקה אל גרבייה,8
עראבה,8
מזרעה,8
אבו גוש,8
משהד,9
לקיה,9
שגב שלום,9
כפר קאסם,9
רהט,9
חורה,9
ערערה בנגב,9
תל שבע,9
בועיינה-נוג'ידאת,9
ג'לג'וליה,9
אל קסום,9
כפר קרע,9
ביר אל-מכסור,9
אל-בטוף,9
כפר ברא,9
בסמת טבעון,9
נווה מדבר,9
סח'נין,9
כסייפה,9
