municipality,canton
כפר שמריהו,0
אום אל-פחם,1
בית שאן,2
קרית יערים,3
ערערה בנגב,4
עפולה,5
אעבלין,6
שהם,7
כפר קאסם,8
רכסים,9
חוף השרון,0
אלעד,3
עראבה,6
דאלית אל-כרמל,0
תל שבע,4
כסייפה,4
שגב שלום,4
נווה מדבר,4
כפר ברא,4
עמק המעיינות,2
ג'לג'וליה,8
חבל מודיעין,7
אבן יהודה,0
אל קסום,4
בועיינה-נוג'ידאת,8
דיר חנא,6
חורה,8
כפר יאסיף,1
ביר אל-מכסור,4
מזרעה,6
בסמת טבעון,8
כאוכב אבו אל-היג'א,6
עמק הירדן,2
זמר,6
עוספייא,0
אבו סנאן,1
מבואות החרמון,2
אל-בטוף,8
ראש פינה,2
לקיה,4
עילוט,6
יסוד המעלה,2
מטולה,2
"בסמ""ה",6
משהד,8
מעיליא,1
תל מונד,0
שעב,6
גזר,7
בוסתאן אל-מרג',8
אכסאל,1
ג'סר א-זרקא,6
הגליל התחתון,2
פוריידיס,8
כפר תבור,2
הגלבוע,5
ג'ת,6
בענה,8
מג'ד אל-כרום,1
אבו גוש,6
לב השרון,0
רהט,4
מזכרת בתיה,7
דבוריה,6
בני ברק,9
גולן,2
סח'נין,8
טייבה,1
קדימה - צורן,0
עמק יזרעאל,5
יהוד -מונסון,7
באקה אל גרבייה,6
מטה יהודה,3
הגליל העליון,2
מעלה עירון,6
פרדסיה,0
כפר קרע,8
טמרה,4
נחל שורק,3
ג'דיידה-מכר,1
עין מאהל,6
רמת ישי,5
מסעדה,2
מג'דל שמס,2
קצרין,2
עין קיניה,2
טורעאן,6
נחף,8
סביון,7
בוקעאתא,2
מרום הגליל,2
כפר יונה,0
מגידו,5
מבשרת ציון,3
יפיע,1
גני תקווה,7
דיר אל-אסד,8
אלונה,5
כפר כנא,4
כאבול,8
סאג'ור,2
בית ג'ן,5
מעלה יוסף,2
לכיש,3
ערערה,1
יאנוח - ג'ת,2
שפיר,3
כסרא - סמיע,4
ריינה,8
שער הנגב,5
כפר מנדא,4
ברנר,7
קלנסווה,6
דרום השרון,0
גן רוה,7
בני שמעון,5
חוף אשקלון,3
ירכא,2
טירה,1
גדרות,7
להבים,5
ע'ג'ר,2
ג'וליס,2
חורפיש,2
שפרעם,8
עומר,5
מג'אר,6
כוכב יאיר,0
עילבון,6
חבל יבנה,7
משגב,4
באר טוביה,3
כפר ורדים,2
יואב,5
כפר כמא,2
גן יבנה,7
פקיעין (בוקייעה),2
מעלות-תרשיחא,1
מיתר,5
"בני עי""ש",3
מגדל,2
יבנאל,2
ראמה,4
זבולון,5
גוש חלב (ג'יש),2
טובא-זנגריה,2
חריש,6
פסוטה,2
קרית עקרון,7
קרית מלאכי,3
עמק חפר,0
בנימינה - גבעת עדה,5
מנשה,8
חצור הגלילית,2
באר יעקב,7
מטה אשר,4
נצרת,1
קרית טבעון,5
קרית שמונה,2
גדרה,3
חוף הכרמל,6
זכרון יעקב,8
גבעת שמואל,9
קרית אונו,9
רמת נגב,4
אשכול,4
אליכין,0
מצפה רמון,4
זרזיר,5
חבל אילות,4
כעביה - טבאש - חג'אג'רה,5
הערבה התיכונה,4
תמר,4
אור עקיבא,6
צפת,2
אור יהודה,7
פרדס חנה - כרכור,8
רמת השרון,0
מרחבים,5
ירוחם,4
שלומי,4
קרית גת,3
נשר,5
מגדל העמק,1
טירת כרמל,6
שדות נגב,4
כרמיאל,2
נס ציונה,7
יקנעם עילית,5
ערד,4
קרית אתא,8
נהריה,6
הוד השרון,0
קרית ביאליק,4
טבריה,2
רמת גן,9
יבנה,7
בית שמש,3
שדרות,5
אופקים,5
קרית מוצקין,4
ראש העין,8
רעננה,0
חדרה,6
לוד,7
קרית ים,4
אילת,4
גבעתיים,9
רמלה,7
אשקלון,3
עכו,4
באר שבע,5
הרצליה,0
דימונה,4
מודיעין-מכבים-רעות,7
נתיבות,4
חיפה,8
כפר סבא,0
פתח תקווה,0
אשדוד,3
רחובות,7
נתניה,0
ראשון לציון,7
בית דגן,7
בת ים,7
חולון,7
אזור,7
ירושלים,3
תל אביב -יפו,9
