municipality,canton
אבו גוש,9
אבו סנאן,9
אבן יהודה,8
אום אל-פחם,9
אופקים,8
אור יהודה,8
אור עקיבא,8
אזור,8
אילת,8
אכסאל,9
אל קסום,9
אל-בטוף,9
אלונה,8
אליכין,8
אלעד,7
אעבלין,9
אשדוד,8
אשכול,8
אשקלון,8
באקה אל גרבייה,9
באר טוביה,8
באר יעקב,8
באר שבע,8
בוסתאן אל-מרג',9
בועיינה-נוג'ידאת,9
בוקעאתא,8
ביר אל-מכסור,9
בית ג'ן,8
בית דגן,8
בית שאן,8
בית שמש,0
בני ברק,7
"בני עי""ש",8
בני שמעון,8
בנימינה - גבעת עדה,8
"בסמ""ה",9
בסמת טבעון,9
בענה,9
ברנר,8
בת ים,8
ג'דיידה-מכר,9
ג'וליס,8
ג'לג'וליה,9
ג'סר א-זרקא,9
ג'ת,9
גבעת שמואל,8
גבעתיים,8
גדרה,8
גדרות,8
גולן,8
גוש חלב (ג'יש),1
גזר,8
גן יבנה,8
גן רוה,8
גני תקווה,8
דאלית אל-כרמל,8
דבוריה,9
דימונה,8
דיר אל-אסד,9
דיר חנא,9
דרום השרון,8
הגלבוע,8
הגליל העליון,8
הגליל התחתון,8
הוד השרון,8
הערבה התיכונה,8
הרצליה,8
זבולון,8
זכרון יעקב,8
זמר,9
זרזיר,2
חבל אילות,8
חבל יבנה,8
חבל מודיעין,8
חדרה,8
חולון,8
חוף אשקלון,8
חוף הכרמל,8
חוף השרון,8
חורה,9
חורפיש,8
חיפה,8
חצור הגלילית,8
חריש,8
טבריה,8
טובא-זנגריה,3
טורעאן,9
טייבה,9
טירה,9
טירת כרמל,8
טמרה,9
יאנוח - ג'ת,8
יבנאל,8
יבנה,8
יהוד -מונסון,8
יואב,8
יסוד המעלה,8
יפיע,9
יקנעם עילית,8
ירוחם,8
ירושלים,8
ירכא,8
כאבול,9
כאוכב אבו אל-היג'א,9
כוכב יאיר,8
כסייפה,9
כסרא - סמיע,8
כעביה - טבאש - חג'אג'רה,4
כפר ברא,9
כפר ורדים,8
כפר יאסיף,9
כפר יונה,8
כפר כמא,8
כפר כנא,9
כפר מנדא,9
כפר סבא,8
כפר קאסם,9
כפר קרע,9
כפר שמריהו,8
כפר תבור,8
כרמיאל,8
לב השרון,8
להבים,8
לוד,8
לכיש,8
לקיה,9
מבואות החרמון,8
מבשרת ציון,8
מג'אר,9
מג'ד אל-כרום,9
מג'דל שמס,8
מגדל,8
מגדל העמק,8
מגידו,8
מודיעין-מכבים-רעות,8
מזכרת בתיה,8
מזרעה,9
מטה אשר,8
מטה יהודה,8
מטולה,8
מיתר,8
מנשה,8
מסעדה,8
מעיליא,9
מעלה יוסף,8
מעלה עירון,9
מעלות-תרשיחא,8
מצפה רמון,8
מרום הגליל,8
מרחבים,8
משגב,8
משהד,9
נהריה,8
נווה מדבר,9
נחל שורק,8
נחף,9
נס ציונה,8
נצרת,9
נשר,8
נתיבות,8
נתניה,8
סאג'ור,8
סביון,8
סח'נין,9
ע'ג'ר,8
עומר,8
עוספייא,8
עילבון,9
עילוט,9
עין מאהל,9
עין קיניה,8
עכו,8
עמק הירדן,8
עמק המעיינות,8
עמק חפר,8
עמק יזרעאל,8
עפולה,8
עראבה,9
ערד,8
ערערה,9
ערערה בנגב,9
פוריידיס,9
פסוטה,5
פקיעין (בוקייעה),8
פרדס חנה - כרכור,8
פרדסיה,8
פתח תקווה,8
צפת,8
קדימה - צורן,8
קלנסווה,9
קצרין,8
קרית אונו,8
קרית אתא,8
קרית ביאליק,8
קרית גת,8
קרית טבעון,8
קרית ים,8
קרית יערים,7
קרית מוצקין,8
קרית מלאכי,8
קרית עקרון,8
קרית שמונה,8
ראמה,6
ראש העין,8
ראש פינה,8
ראשון לציון,8
רהט,9
רחובות,8
ריינה,9
רכסים,7
רמלה,8
רמת גן,8
רמת השרון,8
רמת ישי,8
רמת נגב,8
רעננה,8
שגב שלום,9
שדות נגב,8
שדרות,8
שהם,8
שלומי,8
שעב,9
שער הנגב,8
שפיר,8
שפרעם,9
תל אביב -יפו,8
תל מונד,8
תל שבע,9
תמר,8
