municipality,canton
אבו גוש,11
אבו סנאן,10
אבן יהודה,4
אום אל-פחם,0
אופקים,8
אור יהודה,14
אור עקיבא,14
אזור,9
אילת,5
אכסאל,0
אל קסום,3
אל-בטוף,6
אלונה,4
אליכין,5
אלעד,2
אעבלין,0
אשדוד,8
אשכול,4
אשקלון,5
באקה אל גרבייה,0
באר טוביה,1
באר יעקב,9
באר שבע,5
בוסתאן אל-מרג',11
בועיינה-נוג'ידאת,6
בוקעאתא,9
ביר אל-מכסור,3
בית ג'ן,7
בית דגן,5
בית שאן,14
בית שמש,12
בני ברק,2
"בני עי""ש",5
בני שמעון,4
בנימינה - גבעת עדה,4
"בסמ""ה",11
בסמת טבעון,6
בענה,11
ברנר,7
בת ים,5
ג'דיידה-מכר,0
ג'וליס,4
ג'לג'וליה,6
ג'סר א-זרקא,11
ג'ת,11
גבעת שמואל,1
גבעתיים,4
גדרה,9
גדרות,7
גולן,4
גוש חלב (ג'יש),10
גזר,1
גן יבנה,9
גן רוה,7
גני תקווה,4
דאלית אל-כרמל,7
דבוריה,11
דימונה,14
דיר אל-אסד,11
דיר חנא,0
דרום השרון,7
הגלבוע,1
הגליל העליון,7
הגליל התחתון,1
הוד השרון,4
הערבה התיכונה,7
הרצליה,4
זבולון,7
זכרון יעקב,4
זמר,11
זרזיר,3
חבל אילות,7
חבל יבנה,9
חבל מודיעין,1
חדרה,9
חולון,9
חוף אשקלון,9
חוף הכרמל,4
חוף השרון,7
חורה,6
חורפיש,7
חיפה,1
חצור הגלילית,8
חריש,1
טבריה,8
טובא-זנגריה,6
טורעאן,11
טייבה,0
טירה,11
טירת כרמל,14
טמרה,11
יאנוח - ג'ת,1
יבנאל,12
יבנה,9
יהוד -מונסון,9
יואב,7
יסוד המעלה,4
יפיע,0
יקנעם עילית,9
ירוחם,5
ירושלים,12
ירכא,9
כאבול,11
כאוכב אבו אל-היג'א,11
כוכב יאיר,7
כסייפה,3
כסרא - סמיע,1
כעביה - טבאש - חג'אג'רה,3
כפר ברא,3
כפר ורדים,7
כפר יאסיף,10
כפר יונה,9
כפר כמא,7
כפר כנא,11
כפר מנדא,11
כפר סבא,4
כפר קאסם,6
כפר קרע,11
כפר שמריהו,7
כפר תבור,4
כרמיאל,9
לב השרון,4
להבים,4
לוד,5
לכיש,9
לקיה,6
מבואות החרמון,1
מבשרת ציון,9
מג'אר,13
מג'ד אל-כרום,0
מג'דל שמס,4
מגדל,14
מגדל העמק,5
מגידו,7
מודיעין-מכבים-רעות,4
מזכרת בתיה,1
מזרעה,0
מטה אשר,4
מטה יהודה,1
מטולה,4
מיתר,1
מנשה,7
מסעדה,1
מעיליא,10
מעלה יוסף,5
מעלה עירון,0
מעלות-תרשיחא,9
מצפה רמון,9
מרום הגליל,5
מרחבים,8
משגב,7
משהד,11
נהריה,5
נווה מדבר,3
נחל שורק,12
נחף,11
נס ציונה,4
נצרת,0
נשר,9
נתיבות,8
נתניה,9
סאג'ור,1
סביון,4
סח'נין,11
ע'ג'ר,1
עומר,4
עוספייא,7
עילבון,10
עילוט,11
עין מאהל,11
עין קיניה,9
עכו,5
עמק הירדן,4
עמק המעיינות,1
עמק חפר,7
עמק יזרעאל,7
עפולה,5
עראבה,0
ערד,12
ערערה,0
ערערה בנגב,3
פוריידיס,11
פסוטה,10
פקיעין (בוקייעה),13
פרדס חנה - כרכור,1
פרדסיה,4
פתח תקווה,9
צפת,8
קדימה - צורן,4
קלנסווה,0
קצרין,9
קרית אונו,4
קרית אתא,5
קרית ביאליק,9
קרית גת,8
קרית טבעון,7
קרית ים,5
קרית יערים,2
קרית מוצקין,9
קרית מלאכי,8
קרית עקרון,14
קרית שמונה,14
ראמה,10
ראש העין,9
ראש פינה,4
ראשון לציון,9
רהט,6
רחובות,1
ריינה,11
רכסים,2
רמלה,5
רמת גן,4
רמת השרון,7
רמת ישי,4
רמת נגב,7
רעננה,4
שגב שלום,3
שדות נגב,5
שדרות,5
שהם,4
שלומי,5
שעב,11
שער הנגב,7
שפיר,8
שפרעם,10
תל אביב -יפו,4
תל מונד,4
תל שבע,3
תמר,7
