municipality,canton
יקנעם עילית,0
בנימינה - גבעת עדה,0
"בסמ""ה",0
אור עקיבא,0
חדרה,0
מגידו,0
חוף הכרמל,0
אליכין,0
פרדס חנה - כרכור,0
אלונה,0
פוריידיס,0
חריש,0
זכרון יעקב,0
מנשה,0
שעב,1
ריינה,1
דבוריה,1
טורעאן,1
ג'סר א-זרקא,1
עין מאהל,1
כאוכב אבו אל-היג'א,1
ג'ת,1
כפר סבא,2
אלעד,2
פרדסיה,2
כוכב יאיר,2
אבן יהודה,2
בני ברק,2
נתניה,2
גבעת שמואל,2
רמת גן,2
תל מונד,2
אור יהודה,2
חוף השרון,2
רמת השרון,2
כפר יונה,2
קדימה - צורן,2
יהוד -מונסון,2
דאלית אל-כרמל,2
קרית אונו,2
הרצליה,2
הוד השרון,2
לב השרון,2
עוספייא,2
רעננה,2
סביון,2
ראש העין,2
גבעתיים,2
כפר שמריהו,2
פתח תקווה,2
דרום השרון,2
עמק חפר,2
גני תקווה,2
תל אביב -יפו,2
קרית יערים,2
רכסים,2
הערבה התיכונה,3
ירוחם,3
אופקים,3
נתיבות,3
יואב,3
בית ג'ן,3
חבל אילות,3
בני שמעון,3
שפיר,3
אשכול,3
עומר,3
ערד,3
מצפה רמון,3
רמת נגב,3
שער הנגב,3
מיתר,3
קרית גת,3
באר שבע,3
דימונה,3
לכיש,3
שדרות,3
מרחבים,3
להבים,3
תמר,3
אשקלון,3
אילת,3
חוף אשקלון,3
שדות נגב,3
לקיה,4
שגב שלום,4
כפר קאסם,4
רהט,4
חורה,4
ערערה בנגב,4
תל שבע,4
בועיינה-נוג'ידאת,4
ג'לג'וליה,4
אל קסום,4
ביר אל-מכסור,4
אל-בטוף,4
כפר ברא,4
בסמת טבעון,4
נווה מדבר,4
כסייפה,4
כפר מנדא,5
טמרה,5
כרמיאל,6
בענה,6
נחף,6
ראמה,6
סאג'ור,6
קרית עקרון,7
חולון,7
רמלה,7
גן יבנה,7
מודיעין-מכבים-רעות,7
חבל יבנה,7
"בני עי""ש",7
גדרה,7
אשדוד,7
נס ציונה,7
גן רוה,7
שהם,7
אזור,7
מזכרת בתיה,7
ברנר,7
באר יעקב,7
רחובות,7
יבנה,7
גזר,7
באר טוביה,7
קרית מלאכי,7
חבל מודיעין,7
גדרות,7
לוד,7
בת ים,7
בית דגן,7
נחל שורק,7
ראשון לציון,7
קרית ים,8
חורפיש,8
ג'וליס,8
מטה אשר,8
מעלה יוסף,8
כפר ורדים,8
שלומי,8
פסוטה,8
קרית ביאליק,8
יאנוח - ג'ת,8
חיפה,8
זבולון,8
שפרעם,8
ירכא,8
אבו סנאן,8
מעלות-תרשיחא,8
טירת כרמל,8
עכו,8
נהריה,8
קרית אתא,8
נשר,8
דיר אל-אסד,8
משגב,8
פקיעין (בוקייעה),8
כסרא - סמיע,8
קרית מוצקין,8
טירה,9
עילוט,9
כפר תבור,10
קרית טבעון,10
טובא-זנגריה,10
ע'ג'ר,10
הגליל התחתון,10
טבריה,10
מסעדה,10
קרית שמונה,10
עילבון,10
גולן,10
מבואות החרמון,10
בית שאן,10
בוסתאן אל-מרג',10
מטולה,10
בוקעאתא,10
עמק הירדן,10
גוש חלב (ג'יש),10
הגלבוע,10
כעביה - טבאש - חג'אג'רה,10
יסוד המעלה,10
רמת ישי,10
חצור הגלילית,10
עין קיניה,10
עמק יזרעאל,10
מג'אר,10
עמק המעיינות,10
מג'דל שמס,10
יבנאל,10
הגליל העליון,10
כפר כמא,10
מגדל העמק,10
ראש פינה,10
מגדל,10
זרזיר,10
עפולה,10
מרום הגליל,10
צפת,10
קצרין,10
בית שמש,11
מטה יהודה,11
מבשרת ציון,11
אבו גוש,11
ירושלים,11
אכסאל,12
טייבה,12
ערערה,12
מעלה עירון,12
ג'דיידה-מכר,12
יפיע,12
אעבלין,12
כפר יאסיף,12
מעיליא,12
דיר חנא,12
מג'ד אל-כרום,12
אום אל-פחם,12
קלנסווה,12
עראבה,12
באקה אל גרבייה,12
מזרעה,12
נצרת,12
סח'נין,13
משהד,13
כפר קרע,13
כפר כנא,13
כאבול,14
זמר,14
