municipality,canton
כפר שמריהו,0
אום אל-פחם,1
בית שאן,2
קרית יערים,3
ערערה בנגב,4
מטולה,5
ג'סר א-זרקא,6
הגליל העליון,5
חוף השרון,0
רכסים,3
ערערה,6
תל שבע,4
דאלית אל-כרמל,0
יסוד המעלה,5
נווה מדבר,4
ראש פינה,5
"בסמ""ה",6
מבואות החרמון,5
שגב שלום,4
עמק המעיינות,2
מזרעה,6
אלעד,3
עוספייא,0
כסייפה,4
מעלה עירון,6
כאוכב אבו אל-היג'א,6
עמק הירדן,5
כפר יאסיף,1
אל קסום,4
זמר,6
אבן יהודה,0
הגלבוע,2
אבו סנאן,1
ביר אל-מכסור,4
שעב,6
כפר ברא,4
עילוט,6
הגליל התחתון,5
לקיה,4
מעיליא,1
אבו גוש,6
תל מונד,0
כפר תבור,5
בסמת טבעון,4
אעבלין,1
ג'ת,6
כפר כמא,5
בועיינה-נוג'ידאת,4
יבנאל,2
בוסתאן אל-מרג',6
משהד,6
אכסאל,1
חורה,4
גולן,5
מג'דל שמס,5
מסעדה,5
עין קיניה,5
מגידו,2
אלונה,2
קדימה - צורן,0
בוקעאתא,5
בענה,6
ג'לג'וליה,4
בית ג'ן,2
דרום השרון,3
דיר חנא,1
ע'ג'ר,5
אל-בטוף,4
קצרין,5
דבוריה,6
שער הנגב,2
עין מאהל,1
פוריידיס,4
טורעאן,6
יואב,2
מעלה יוסף,5
לב השרון,0
יאנוח - ג'ת,5
יפיע,1
גני תקווה,3
נחף,4
בני שמעון,2
כסרא - סמיע,5
כאבול,6
חורפיש,5
פרדסיה,0
ריינה,1
להבים,2
דיר אל-אסד,4
זבולון,3
כפר ורדים,5
מג'ד אל-כרום,6
עומר,2
פקיעין (בוקייעה),5
ג'דיידה-מכר,1
כפר קרע,4
כפר יונה,0
קרית טבעון,3
מיתר,2
ירכא,5
קלנסווה,6
ג'וליס,5
כפר מנדא,4
מג'אר,1
לכיש,2
כוכב יאיר,3
עילבון,1
כפר כנא,6
מרום הגליל,5
סאג'ור,5
סביון,3
בנימינה - גבעת עדה,2
כפר קאסם,4
עמק חפר,0
באקה אל גרבייה,1
חבל מודיעין,3
עראבה,6
מעלות-תרשיחא,5
חוף אשקלון,2
טירה,4
מגדל,5
ראמה,5
שהם,3
שפרעם,1
מרחבים,2
טמרה,6
מנשה,0
רמת נגב,2
מצפה רמון,2
חצור הגלילית,5
חבל אילות,2
סח'נין,4
הערבה התיכונה,2
תמר,2
חריש,0
נשר,3
קרית שמונה,5
טייבה,1
אשכול,2
אליכין,0
רהט,6
גוש חלב (ג'יש),5
טובא-זנגריה,5
ירוחם,2
גזר,3
פרדס חנה - כרכור,0
מטה אשר,5
משגב,4
באר טוביה,2
נחל שורק,3
מגדל העמק,1
שלומי,5
גדרות,2
ברנר,3
חבל יבנה,2
גן רוה,3
"בני עי""ש",2
פסוטה,5
זכרון יעקב,4
חוף הכרמל,6
מזכרת בתיה,3
שפיר,2
צפת,5
רמת השרון,0
נצרת,1
באר יעקב,3
גדרה,2
כרמיאל,4
עמק יזרעאל,6
קרית ביאליק,5
כעביה - טבאש - חג'אג'רה,6
שדות נגב,2
קרית עקרון,3
זרזיר,6
גן יבנה,2
יהוד -מונסון,3
רמת ישי,6
הוד השרון,0
יקנעם עילית,2
קרית מוצקין,5
קרית אתא,1
ראש העין,4
מטה יהודה,6
קרית אונו,3
אור עקיבא,2
קרית מלאכי,2
קרית ים,5
גבעת שמואל,3
מבשרת ציון,6
ערד,2
רעננה,0
דימונה,4
טבריה,5
נס ציונה,3
שדרות,2
עפולה,6
אופקים,2
עכו,5
אור יהודה,3
אילת,2
טירת כרמל,6
יבנה,3
חדרה,0
חיפה,1
באר שבע,4
נהריה,5
בית שמש,6
קרית גת,2
לוד,3
הרצליה,0
נתיבות,2
רמלה,3
אשקלון,2
כפר סבא,0
מודיעין-מכבים-רעות,3
רחובות,3
אשדוד,2
ירושלים,6
נתניה,0
רמת גן,3
גבעתיים,3
פתח תקווה,0
ראשון לציון,3
בית דגן,3
בת ים,3
חולון,3
אזור,3
תל אביב -יפו,0
בני ברק,3
