municipality,canton
אבו גוש,9
אבו סנאן,1
אבן יהודה,2
אום אל-פחם,1
אופקים,6
אור יהודה,0
אור עקיבא,0
אזור,5
אילת,0
אכסאל,1
אל קסום,8
אל-בטוף,3
אלונה,2
אליכין,0
אלעד,4
אעבלין,1
אשדוד,6
אשכול,2
אשקלון,0
באקה אל גרבייה,9
באר טוביה,5
באר יעקב,5
באר שבע,0
בוסתאן אל-מרג',9
בועיינה-נוג'ידאת,3
בוקעאתא,5
ביר אל-מכסור,8
בית ג'ן,7
בית דגן,0
בית שאן,0
בית שמש,6
בני ברק,4
"בני עי""ש",0
בני שמעון,2
בנימינה - גבעת עדה,2
"בסמ""ה",9
בסמת טבעון,3
בענה,9
ברנר,7
בת ים,0
ג'דיידה-מכר,1
ג'וליס,2
ג'לג'וליה,3
ג'סר א-זרקא,9
ג'ת,9
גבעת שמואל,5
גבעתיים,7
גדרה,5
גדרות,7
גולן,2
גוש חלב (ג'יש),1
גזר,2
גן יבנה,5
גן רוה,7
גני תקווה,2
דאלית אל-כרמל,7
דבוריה,9
דימונה,0
דיר אל-אסד,9
דיר חנא,1
דרום השרון,7
הגלבוע,2
הגליל העליון,7
הגליל התחתון,5
הוד השרון,2
הערבה התיכונה,7
הרצליה,2
זבולון,7
זכרון יעקב,2
זמר,9
זרזיר,3
חבל אילות,7
חבל יבנה,5
חבל מודיעין,5
חדרה,5
חולון,5
חוף אשקלון,5
חוף הכרמל,2
חוף השרון,7
חורה,3
חורפיש,7
חיפה,2
חצור הגלילית,0
חריש,5
טבריה,0
טובא-זנגריה,3
טורעאן,9
טייבה,1
טירה,9
טירת כרמל,0
טמרה,9
יאנוח - ג'ת,2
יבנאל,6
יבנה,5
יהוד -מונסון,5
יואב,7
יסוד המעלה,2
יפיע,1
יקנעם עילית,5
ירוחם,0
ירושלים,6
ירכא,5
כאבול,9
כאוכב אבו אל-היג'א,9
כוכב יאיר,7
כסייפה,8
כסרא - סמיע,5
כעביה - טבאש - חג'אג'רה,3
כפר ברא,3
כפר ורדים,7
כפר יאסיף,1
כפר יונה,5
כפר כמא,7
כפר כנא,9
כפר מנדא,9
כפר סבא,2
כפר קאסם,3
כפר קרע,9
כפר שמריהו,7
כפר תבור,2
כרמיאל,5
לב השרון,2
להבים,2
לוד,0
לכיש,5
לקיה,3
מבואות החרמון,5
מבשרת ציון,5
מג'אר,9
מג'ד אל-כרום,1
מג'דל שמס,2
מגדל,0
מגדל העמק,0
מגידו,7
מודיעין-מכבים-רעות,2
מזכרת בתיה,2
מזרעה,1
מטה אשר,2
מטה יהודה,5
מטולה,7
מיתר,2
מנשה,7
מסעדה,2
מעיליא,1
מעלה יוסף,0
מעלה עירון,1
מעלות-תרשיחא,5
מצפה רמון,5
מרום הגליל,0
מרחבים,0
משגב,7
משהד,9
נהריה,0
נווה מדבר,8
נחל שורק,6
נחף,9
נס ציונה,2
נצרת,1
נשר,5
נתיבות,6
נתניה,5
סאג'ור,2
סביון,2
סח'נין,9
ע'ג'ר,5
עומר,2
עוספייא,7
עילבון,1
עילוט,9
עין מאהל,9
עין קיניה,5
עכו,0
עמק הירדן,2
עמק המעיינות,5
עמק חפר,7
עמק יזרעאל,7
עפולה,0
עראבה,1
ערד,6
ערערה,1
ערערה בנגב,8
פוריידיס,9
פסוטה,1
פקיעין (בוקייעה),7
פרדס חנה - כרכור,5
פרדסיה,2
פתח תקווה,5
צפת,6
קדימה - צורן,2
קלנסווה,1
קצרין,5
קרית אונו,2
קרית אתא,0
קרית ביאליק,5
קרית גת,0
קרית טבעון,7
קרית ים,0
קרית יערים,4
קרית מוצקין,5
קרית מלאכי,0
קרית עקרון,0
קרית שמונה,0
ראמה,1
ראש העין,5
ראש פינה,2
ראשון לציון,5
רהט,3
רחובות,5
ריינה,9
רכסים,4
רמלה,0
רמת גן,2
רמת השרון,7
רמת ישי,2
רמת נגב,7
רעננה,2
שגב שלום,8
שדות נגב,0
שדרות,0
שהם,2
שלומי,0
שעב,9
שער הנגב,7
שפיר,0
שפרעם,1
תל אביב -יפו,2
תל מונד,2
תל שבע,8
תמר,7
