municipality,canton
טירה,0
ירוחם,1
אופקים,1
יואב,1
בית ג'ן,1
בני שמעון,1
עומר,1
מצפה רמון,1
רמת נגב,1
שער הנגב,1
קרית גת,1
באר שבע,1
דימונה,1
שדרות,1
מרחבים,1
להבים,1
תמר,1
שדות נגב,1
הערבה התיכונה,1
נתיבות,1
חבל אילות,1
מטה יהודה,1
שפיר,1
אשכול,1
ערד,1
מיתר,1
לכיש,1
בית שמש,1
אשקלון,1
מבשרת ציון,1
אילת,1
אבו גוש,1
ירושלים,1
חוף אשקלון,1
לקיה,2
שגב שלום,2
כפר קאסם,2
רהט,2
חורה,2
ערערה בנגב,2
תל שבע,2
בועיינה-נוג'ידאת,2
ג'לג'וליה,2
אל קסום,2
ביר אל-מכסור,2
אל-בטוף,2
כפר ברא,2
בסמת טבעון,2
נווה מדבר,2
כסייפה,2
שעב,3
בענה,3
נחף,3
דבוריה,3
טמרה,3
כאבול,3
זמר,3
עין מאהל,3
כאוכב אבו אל-היג'א,3
ג'ת,3
דיר אל-אסד,4
כפר מנדא,4
פוריידיס,4
עילוט,4
אכסאל,5
טייבה,5
ריינה,5
ערערה,5
מעלה עירון,5
ג'דיידה-מכר,5
יפיע,5
אעבלין,5
טורעאן,5
ג'סר א-זרקא,5
כפר יאסיף,5
מעיליא,5
שפרעם,5
דיר חנא,5
"בסמ""ה",5
מג'ד אל-כרום,5
אום אל-פחם,5
קלנסווה,5
באקה אל גרבייה,5
עראבה,5
מזרעה,5
נצרת,5
קרית עקרון,6
חולון,6
רמלה,6
כפר סבא,6
פרדסיה,6
אלעד,6
אבן יהודה,6
נתניה,6
כוכב יאיר,6
בני ברק,6
"בני עי""ש",6
גדרה,6
גבעת שמואל,6
אשדוד,6
רמת גן,6
נס ציונה,6
תל מונד,6
אור יהודה,6
אזור,6
שהם,6
חוף השרון,6
רמת השרון,6
כפר יונה,6
יבנה,6
קרית מלאכי,6
גדרות,6
לוד,6
בת ים,6
נחל שורק,6
קדימה - צורן,6
דאלית אל-כרמל,6
קרית אונו,6
יהוד -מונסון,6
הרצליה,6
ראשון לציון,6
הוד השרון,6
לב השרון,6
עוספייא,6
גן יבנה,6
מודיעין-מכבים-רעות,6
חבל יבנה,6
רעננה,6
סביון,6
ראש העין,6
גבעתיים,6
כפר שמריהו,6
גן רוה,6
פתח תקווה,6
מזכרת בתיה,6
ברנר,6
באר יעקב,6
רחובות,6
גזר,6
באר טוביה,6
חבל מודיעין,6
דרום השרון,6
עמק חפר,6
גני תקווה,6
בית דגן,6
תל אביב -יפו,6
קרית יערים,6
רכסים,6
כפר תבור,7
אור עקיבא,7
ראמה,7
סאג'ור,7
קרית טבעון,7
טובא-זנגריה,7
ע'ג'ר,7
הגליל התחתון,7
כרמיאל,7
טבריה,7
מסעדה,7
קרית שמונה,7
גולן,7
יקנעם עילית,7
מבואות החרמון,7
חדרה,7
בית שאן,7
בוסתאן אל-מרג',7
מטולה,7
בוקעאתא,7
אלונה,7
עמק הירדן,7
גוש חלב (ג'יש),7
הגלבוע,7
חריש,7
כעביה - טבאש - חג'אג'רה,7
יסוד המעלה,7
רמת ישי,7
עין קיניה,7
חצור הגלילית,7
עמק יזרעאל,7
אליכין,7
עמק המעיינות,7
פרדס חנה - כרכור,7
מג'דל שמס,7
זכרון יעקב,7
הגליל העליון,7
יבנאל,7
מנשה,7
בנימינה - גבעת עדה,7
כפר כמא,7
מגידו,7
חוף הכרמל,7
מגדל העמק,7
ראש פינה,7
מגדל,7
זרזיר,7
עפולה,7
מרום הגליל,7
צפת,7
קצרין,7
מג'אר,8
קרית ים,8
חורפיש,8
ג'וליס,8
מטה אשר,8
מעלה יוסף,8
כפר ורדים,8
שלומי,8
פסוטה,8
קרית ביאליק,8
חיפה,8
יאנוח - ג'ת,8
עילבון,8
זבולון,8
ירכא,8
אבו סנאן,8
טירת כרמל,8
מעלות-תרשיחא,8
עכו,8
קרית אתא,8
נהריה,8
נשר,8
משגב,8
פקיעין (בוקייעה),8
כסרא - סמיע,8
קרית מוצקין,8
סח'נין,9
משהד,9
כפר קרע,9
כפר כנא,9
