municipality,canton
כפר שמריהו,0
אום אל-פחם,1
בית שאן,2
קרית יערים,3
ערערה בנגב,4
יסוד המעלה,5
כפר כנא,6
נשר,7
רכסים,8
קרית עקרון,9
תל שבע,10
יבנאל,11
רהט,12
כפר יאסיף,13
גזר,14
אבו סנאן,15
מעלה יוסף,16
עמק יזרעאל,17
כעביה - טבאש - חג'אג'רה,18
מזרעה,19
הגליל העליון,5
חוף השרון,0
עראבה,19
עמק המעיינות,11
ירכא,16
אלעד,3
מג'ד אל-כרום,13
כפר קאסם,10
דאלית אל-כרמל,0
כסייפה,4
שגב שלום,4
נחף,6
הגליל התחתון,11
יאנוח - ג'ת,16
מבואות החרמון,5
מטולה,5
כסרא - סמיע,16
מטה אשר,15
ראש פינה,5
נווה מדבר,4
כפר ברא,4
מעלה עירון,19
אכסאל,13
אל קסום,4
בענה,6
עוספייא,0
זבולון,7
ברנר,14
לקיה,10
כאוכב אבו אל-היג'א,19
כפר תבור,11
זמר,19
עילוט,6
גדרות,14
מעיליא,13
ביר אל-מכסור,4
משהד,6
בסמת טבעון,4
ג'וליס,16
עמק הירדן,5
אעבלין,1
"בסמ""ה",19
גן רוה,14
ג'סר א-זרקא,13
רמת ישי,17
בועיינה-נוג'ידאת,10
חורפיש,16
חורה,12
שעב,6
אבן יהודה,0
קרית טבעון,7
ג'ת,19
מג'אר,11
דיר חנא,13
פקיעין (בוקייעה),16
בוסתאן אל-מרג',6
כפר ורדים,15
אל-בטוף,12
ג'לג'וליה,10
יפיע,1
אבו גוש,19
מגידו,17
אלונה,17
גולן,5
מג'דל שמס,5
מסעדה,5
עין קיניה,5
בוקעאתא,5
דבוריה,6
מזכרת בתיה,14
פוריידיס,12
עין מאהל,19
תל מונד,0
מרום הגליל,11
סאג'ור,11
טורעאן,13
מעלות-תרשיחא,16
משגב,15
ערערה,6
בית ג'ן,17
כאבול,6
דיר אל-אסד,12
כפר קרע,4
ריינה,13
שער הנגב,17
כפר מנדא,10
קצרין,5
ע'ג'ר,5
ג'דיידה-מכר,19
יואב,17
קלנסווה,13
קדימה - צורן,0
באר טוביה,14
קרית ביאליק,7
הגלבוע,11
סח'נין,4
רחובות,9
באקה אל גרבייה,6
בני ברק,8
טמרה,12
טייבה,13
טירה,19
בנימינה - גבעת עדה,17
נהריה,16
קרית מוצקין,15
לב השרון,0
שפרעם,1
גדרה,14
נצרת,10
טבריה,5
בני שמעון,17
כרמיאל,11
פרדסיה,0
להבים,17
עומר,17
חבל מודיעין,14
מיתר,17
ראמה,15
דרום השרון,0
סביון,0
קרית אתא,7
כוכב יאיר,0
שהם,14
מנשה,17
עילבון,15
קרית שמונה,5
מגדל,11
חבל יבנה,14
"בני עי""ש",14
חצור הגלילית,11
מטה יהודה,3
בית שמש,3
זכרון יעקב,17
חוף אשקלון,14
נחל שורק,3
גני תקווה,0
לכיש,14
חוף הכרמל,12
עפולה,6
צפת,11
קרית ים,15
חריש,17
שלומי,15
פסוטה,16
כפר כמא,11
עמק חפר,19
טובא-זנגריה,5
נס ציונה,9
באר יעקב,9
גן יבנה,14
כפר יונה,0
יקנעם עילית,17
גוש חלב (ג'יש),5
שפיר,14
ראש העין,10
מגדל העמק,1
מרחבים,17
רמת נגב,17
חבל אילות,17
הערבה התיכונה,17
תמר,17
מצפה רמון,17
אשכול,17
חדרה,12
עכו,15
יהוד -מונסון,0
באר שבע,4
קרית מלאכי,14
זרזיר,17
אליכין,12
ירוחם,17
קרית אונו,0
שדות נגב,17
פרדס חנה - כרכור,12
גבעת שמואל,0
רמלה,9
יבנה,14
ערד,17
אור עקיבא,12
טירת כרמל,12
מבשרת ציון,3
שדרות,17
לוד,9
נתניה,19
רמת השרון,0
קרית גת,14
חיפה,7
אילת,17
הוד השרון,0
אופקים,17
דימונה,17
מודיעין-מכבים-רעות,14
רמת גן,8
אור יהודה,0
נתיבות,17
גבעתיים,8
רעננה,0
אשקלון,14
הרצליה,0
ראשון לציון,9
בית דגן,9
ירושלים,3
פתח תקווה,8
בת ים,9
כפר סבא,0
אשדוד,14
חולון,9
אזור,9
תל אביב -יפו,8
