municipality,canton
אבו גוש,13
אבו סנאן,13
אבן יהודה,14
אום אל-פחם,13
אופקים,14
אור יהודה,14
אור עקיבא,14
אזור,14
אילת,14
אכסאל,13
אל קסום,13
אל-בטוף,13
אלונה,14
אליכין,14
אלעד,12
אעבלין,13
אשדוד,14
אשכול,14
אשקלון,14
באקה אל גרבייה,13
באר טוביה,14
באר יעקב,14
באר שבע,14
בוסתאן אל-מרג',13
בועיינה-נוג'ידאת,13
בוקעאתא,14
ביר אל-מכסור,13
בית ג'ן,14
בית דגן,14
בית שאן,14
בית שמש,0
בני ברק,12
"בני עי""ש",14
בני שמעון,14
בנימינה - גבעת עדה,14
"בסמ""ה",13
בסמת טבעון,13
בענה,13
ברנר,14
בת ים,14
ג'דיידה-מכר,13
ג'וליס,14
ג'לג'וליה,13
ג'סר א-זרקא,13
ג'ת,13
גבעת שמואל,14
גבעתיים,14
גדרה,14
גדרות,14
גולן,14
גוש חלב (ג'יש),1
גזר,14
גן יבנה,14
גן רוה,14
גני תקווה,14
דאלית אל-כרמל,14
דבוריה,13
דימונה,14
דיר אל-אסד,13
דיר חנא,13
דרום השרון,14
הגלבוע,14
הגליל העליון,14
הגליל התחתון,14
הוד השרון,14
הערבה התיכונה,14
הרצליה,14
זבולון,14
זכרון יעקב,14
זמר,13
זרזיר,2
חבל אילות,14
חבל יבנה,14
חבל מודיעין,14
חדרה,14
חולון,14
חוף אשקלון,14
חוף הכרמל,14
חוף השרון,14
חורה,13
חורפיש,3
חיפה,14
חצור הגלילית,14
חריש,14
טבריה,14
טובא-זנגריה,4
טורעאן,13
טייבה,13
טירה,13
טירת כרמל,14
טמרה,13
יאנוח - ג'ת,14
יבנאל,14
יבנה,14
יהוד -מונסון,14
יואב,14
יסוד המעלה,14
יפיע,13
יקנעם עילית,14
ירוחם,14
ירושלים,5
ירכא,14
כאבול,13
כאוכב אבו אל-היג'א,13
כוכב יאיר,14
כסייפה,13
כסרא - סמיע,14
כעביה - טבאש - חג'אג'רה,6
כפר ברא,13
כפר ורדים,14
כפר יאסיף,13
כפר יונה,14
כפר כמא,14
כפר כנא,13
כפר מנדא,13
כפר סבא,14
כפר קאסם,13
כפר קרע,13
כפר שמריהו,14
כפר תבור,14
כרמיאל,14
לב השרון,14
להבים,14
לוד,14
לכיש,14
לקיה,13
מבואות החרמון,14
מבשרת ציון,14
מג'אר,13
מג'ד אל-כרום,13
מג'דל שמס,14
מגדל,14
מגדל העמק,14
מגידו,14
מודיעין-מכבים-רעות,14
מזכרת בתיה,14
מזרעה,13
מטה אשר,14
מטה יהודה,14
מטולה,14
מיתר,14
מנשה,14
מסעדה,14
מעיליא,13
מעלה יוסף,14
מעלה עירון,13
מעלות-תרשיחא,14
מצפה רמון,14
מרום הגליל,14
מרחבים,14
משגב,14
משהד,13
נהריה,14
נווה מדבר,13
נחל שורק,7
נחף,13
נס ציונה,14
נצרת,13
נשר,14
נתיבות,14
נתניה,14
סאג'ור,14
סביון,14
סח'נין,13
ע'ג'ר,14
עומר,14
עוספייא,14
עילבון,13
עילוט,13
עין מאהל,13
עין קיניה,14
עכו,8
עמק הירדן,14
עמק המעיינות,14
עמק חפר,14
עמק יזרעאל,14
עפולה,14
עראבה,13
ערד,14
ערערה,13
ערערה בנגב,13
פוריידיס,13
פסוטה,9
פקיעין (בוקייעה),10
פרדס חנה - כרכור,14
פרדסיה,14
פתח תקווה,14
צפת,14
קדימה - צורן,14
קלנסווה,13
קצרין,14
קרית אונו,14
קרית אתא,14
קרית ביאליק,14
קרית גת,14
קרית טבעון,14
קרית ים,14
קרית יערים,12
קרית מוצקין,14
קרית מלאכי,14
קרית עקרון,14
קרית שמונה,14
ראמה,11
ראש העין,14
ראש פינה,14
ראשון לציון,14
רהט,13
רחובות,14
ריינה,13
רכסים,12
רמלה,14
רמת גן,14
רמת השרון,14
רמת ישי,14
רמת נגב,14
רעננה,14
שגב שלום,13
שדות נגב,14
שדרות,14
שהם,14
שלומי,14
שעב,13
שער הנגב,14
שפיר,14
שפרעם,13
תל אביב -יפו,14
תל מונד,14
תל שבע,13
תמר,14
