municipality,canton
אבו גוש,14
אבו סנאן,14
אבן יהודה,12
אום אל-פחם,1
אופקים,3
אור יהודה,6
אור עקיבא,6
אזור,9
אילת,9
אכסאל,1
אל קסום,7
אל-בטוף,13
אלונה,12
אליכין,6
אלעד,11
אעבלין,1
אשדוד,8
אשכול,12
אשקלון,0
באקה אל גרבייה,13
באר טוביה,5
באר יעקב,9
באר שבע,6
בוסתאן אל-מרג',13
בועיינה-נוג'ידאת,4
בוקעאתא,0
ביר אל-מכסור,7
בית ג'ן,2
בית דגן,6
בית שאן,6
בית שמש,3
בני ברק,11
"בני עי""ש",0
בני שמעון,12
בנימינה - גבעת עדה,12
"בסמ""ה",13
בסמת טבעון,7
בענה,13
ברנר,10
בת ים,0
ג'דיידה-מכר,1
ג'וליס,2
ג'לג'וליה,4
ג'סר א-זרקא,13
ג'ת,13
גבעת שמואל,8
גבעתיים,10
גדרה,9
גדרות,10
גולן,12
גוש חלב (ג'יש),14
גזר,5
גן יבנה,9
גן רוה,10
גני תקווה,12
דאלית אל-כרמל,10
דבוריה,13
דימונה,6
דיר אל-אסד,13
דיר חנא,1
דרום השרון,10
הגלבוע,5
הגליל העליון,10
הגליל התחתון,5
הוד השרון,12
הערבה התיכונה,10
הרצליה,12
זבולון,10
זכרון יעקב,12
זמר,13
זרזיר,7
חבל אילות,10
חבל יבנה,8
חבל מודיעין,5
חדרה,9
חולון,9
חוף אשקלון,9
חוף הכרמל,12
חוף השרון,10
חורה,4
חורפיש,2
חיפה,5
חצור הגלילית,6
חריש,8
טבריה,6
טובא-זנגריה,7
טורעאן,13
טייבה,1
טירה,13
טירת כרמל,6
טמרה,13
יאנוח - ג'ת,2
יבנאל,3
יבנה,9
יהוד -מונסון,9
יואב,10
יסוד המעלה,12
יפיע,1
יקנעם עילית,9
ירוחם,6
ירושלים,3
ירכא,0
כאבול,13
כאוכב אבו אל-היג'א,13
כוכב יאיר,10
כסייפה,4
כסרא - סמיע,0
כעביה - טבאש - חג'אג'רה,7
כפר ברא,4
כפר ורדים,10
כפר יאסיף,1
כפר יונה,9
כפר כמא,10
כפר כנא,13
כפר מנדא,13
כפר סבא,12
כפר קאסם,4
כפר קרע,13
כפר שמריהו,10
כפר תבור,12
כרמיאל,0
לב השרון,12
להבים,12
לוד,0
לכיש,8
לקיה,4
מבואות החרמון,5
מבשרת ציון,9
מג'אר,14
מג'ד אל-כרום,1
מג'דל שמס,12
מגדל,6
מגדל העמק,0
מגידו,10
מודיעין-מכבים-רעות,12
מזכרת בתיה,5
מזרעה,1
מטה אשר,12
מטה יהודה,5
מטולה,12
מיתר,5
מנשה,10
מסעדה,5
מעיליא,1
מעלה יוסף,6
מעלה עירון,1
מעלות-תרשיחא,0
מצפה רמון,8
מרום הגליל,6
מרחבים,8
משגב,10
משהד,13
נהריה,0
נווה מדבר,4
נחל שורק,3
נחף,13
נס ציונה,12
נצרת,1
נשר,9
נתיבות,3
נתניה,0
סאג'ור,8
סביון,10
סח'נין,13
ע'ג'ר,8
עומר,12
עוספייא,2
עילבון,14
עילוט,13
עין מאהל,13
עין קיניה,9
עכו,0
עמק הירדן,12
עמק המעיינות,5
עמק חפר,10
עמק יזרעאל,10
עפולה,6
עראבה,1
ערד,8
ערערה,1
ערערה בנגב,4
פוריידיס,13
פסוטה,14
פקיעין (בוקייעה),2
פרדס חנה - כרכור,5
פרדסיה,12
פתח תקווה,9
צפת,3
קדימה - צורן,12
קלנסווה,1
קצרין,0
קרית אונו,12
קרית אתא,6
קרית ביאליק,9
קרית גת,6
קרית טבעון,10
קרית ים,0
קרית יערים,11
קרית מוצקין,9
קרית מלאכי,6
קרית עקרון,6
קרית שמונה,6
ראמה,14
ראש העין,9
ראש פינה,5
ראשון לציון,9
רהט,4
רחובות,9
ריינה,13
רכסים,11
רמלה,6
רמת גן,12
רמת השרון,10
רמת ישי,12
רמת נגב,10
רעננה,12
שגב שלום,4
שדות נגב,6
שדרות,6
שהם,12
שלומי,6
שעב,13
שער הנגב,10
שפיר,6
שפרעם,14
תל אביב -יפו,12
תל מונד,12
תל שבע,4
תמר,10
