municipality,canton
כפר יאסיף,0
אבו סנאן,0
הוד השרון,1
לב השרון,1
עוספייא,1
כפר סבא,1
פרדסיה,1
רעננה,1
סביון,1
כוכב יאיר,1
אבן יהודה,1
נתניה,1
ראש העין,1
גבעת שמואל,1
גבעתיים,1
כפר שמריהו,1
רמת גן,1
תל מונד,1
אור יהודה,1
חוף השרון,1
פתח תקווה,1
רמת השרון,1
כפר יונה,1
דרום השרון,1
עמק חפר,1
דאלית אל-כרמל,1
גני תקווה,1
קרית אונו,1
קדימה - צורן,1
יהוד -מונסון,1
הרצליה,1
תל אביב -יפו,1
כפר תבור,2
אור עקיבא,2
סאג'ור,2
טובא-זנגריה,2
ע'ג'ר,2
הגליל התחתון,2
טבריה,2
כרמיאל,2
מסעדה,2
קרית שמונה,2
גולן,2
יקנעם עילית,2
מבואות החרמון,2
חדרה,2
בית שאן,2
בוסתאן אל-מרג',2
מטולה,2
אלונה,2
עמק הירדן,2
בוקעאתא,2
גוש חלב (ג'יש),2
הגלבוע,2
חריש,2
כעביה - טבאש - חג'אג'רה,2
רמת ישי,2
יסוד המעלה,2
עין קיניה,2
עמק יזרעאל,2
חצור הגלילית,2
אליכין,2
עמק המעיינות,2
פרדס חנה - כרכור,2
זכרון יעקב,2
יבנאל,2
מנשה,2
כפר כמא,2
בנימינה - גבעת עדה,2
מג'דל שמס,2
הגליל העליון,2
מגידו,2
נחף,2
חוף הכרמל,2
מגדל העמק,2
מגדל,2
ראש פינה,2
זרזיר,2
עפולה,2
מרום הגליל,2
צפת,2
קצרין,2
לקיה,3
שגב שלום,3
כפר קאסם,3
רהט,3
חורה,3
ערערה בנגב,3
תל שבע,3
בועיינה-נוג'ידאת,3
ג'לג'וליה,3
אל קסום,3
ביר אל-מכסור,3
אל-בטוף,3
כפר ברא,3
בסמת טבעון,3
נווה מדבר,3
סח'נין,3
כסייפה,3
כאבול,4
זמר,5
שעב,5
שפרעם,6
ראמה,7
קרית טבעון,7
קרית ים,7
חורפיש,7
ג'וליס,7
מטה אשר,7
מעלה יוסף,7
כפר ורדים,7
שלומי,7
פסוטה,7
קרית ביאליק,7
יאנוח - ג'ת,7
חיפה,7
זבולון,7
ירכא,7
כסרא - סמיע,7
מעלות-תרשיחא,7
טירת כרמל,7
נהריה,7
קרית אתא,7
נשר,7
משגב,7
פקיעין (בוקייעה),7
עכו,7
קרית מוצקין,7
מג'אר,8
עילבון,8
דיר חנא,8
דיר אל-אסד,9
כפר מנדא,9
קרית עקרון,10
ירוחם,10
חולון,10
רמלה,10
אופקים,10
יואב,10
בית ג'ן,10
בני שמעון,10
עומר,10
"בני עי""ש",10
גדרה,10
אשדוד,10
נס ציונה,10
מצפה רמון,10
שער הנגב,10
רמת נגב,10
שהם,10
אזור,10
קרית גת,10
באר שבע,10
דימונה,10
יבנה,10
שדרות,10
מרחבים,10
קרית מלאכי,10
גדרות,10
להבים,10
בת ים,10
לוד,10
נחל שורק,10
שדות נגב,10
תמר,10
ראשון לציון,10
הערבה התיכונה,10
נתיבות,10
גן יבנה,10
מודיעין-מכבים-רעות,10
חבל יבנה,10
חבל אילות,10
מטה יהודה,10
שפיר,10
אשכול,10
ערד,10
גן רוה,10
מזכרת בתיה,10
מיתר,10
ברנר,10
באר יעקב,10
רחובות,10
גזר,10
באר טוביה,10
לכיש,10
חבל מודיעין,10
בית שמש,10
אשקלון,10
מבשרת ציון,10
בית דגן,10
אילת,10
ירושלים,10
חוף אשקלון,10
בני ברק,11
אבו גוש,11
קרית יערים,11
אלעד,11
רכסים,11
טמרה,12
אכסאל,13
טייבה,13
ריינה,13
בענה,13
ערערה,13
מעלה עירון,13
עילוט,13
ג'דיידה-מכר,13
יפיע,13
אעבלין,13
טורעאן,13
ג'סר א-זרקא,13
כאוכב אבו אל-היג'א,13
מעיליא,13
"בסמ""ה",13
טירה,13
דבוריה,13
מג'ד אל-כרום,13
אום אל-פחם,13
כפר כנא,13
באקה אל גרבייה,13
קלנסווה,13
עראבה,13
עין מאהל,13
מזרעה,13
נצרת,13
ג'ת,13
כפר קרע,14
משהד,14
פוריידיס,14
