municipality,canton
אום אל-פחם,0
כפר כמא,1
קרית יערים,2
ערערה בנגב,3
פקיעין (בוקייעה),4
כפר קאסם,5
מטולה,6
הגליל העליון,6
הגליל התחתון,1
רכסים,2
כפר תבור,1
תל שבע,3
כסרא - סמיע,4
יאנוח - ג'ת,4
יסוד המעלה,6
ראש פינה,6
נווה מדבר,3
ירכא,4
עמק הירדן,1
שגב שלום,3
מבואות החרמון,6
ג'לג'וליה,5
אלעד,2
ג'וליס,4
אל קסום,3
לקיה,5
ביר אל-מכסור,3
עמק המעיינות,1
גולן,6
מג'דל שמס,6
מסעדה,6
מג'ד אל-כרום,0
כסייפה,5
אבו סנאן,4
כפר ברא,3
עין קיניה,6
בסמת טבעון,5
ע'ג'ר,6
מעיליא,0
בועיינה-נוג'ידאת,3
אל-בטוף,5
מזרעה,0
כפר ורדים,4
יבנאל,1
מגדל,1
בוקעאתא,6
כאוכב אבו אל-היג'א,0
טובא-זנגריה,6
חורה,5
זמר,0
עילבון,1
אבו גוש,0
מעלות-תרשיחא,4
משהד,5
מרום הגליל,6
סאג'ור,6
כפר קרע,3
מג'אר,1
ג'סר א-זרקא,0
בוסתאן אל-מרג',5
עילוט,0
"בסמ""ה",0
פוריידיס,5
שעב,0
ראמה,6
בענה,5
ג'ת,0
כפר כנא,3
הגלבוע,1
דרום השרון,2
מטה אשר,4
מעלה יוסף,6
נחף,5
דיר אל-אסד,3
דבוריה,0
חצור הגלילית,6
זבולון,2
עין מאהל,5
כאבול,3
מעלה עירון,0
מגידו,1
אלונה,1
קצרין,6
שלומי,4
חוף השרון,2
טורעאן,5
גוש חלב (ג'יש),6
רמת נגב,3
אכסאל,0
פסוטה,6
מצפה רמון,3
אעבלין,4
כוכב יאיר,2
בנימינה - גבעת עדה,1
ריינה,5
קרית שמונה,6
כפר מנדא,3
דיר חנא,0
ערערה,4
תל מונד,2
כפר שמריהו,2
מיתר,5
כפר יאסיף,0
מנשה,1
בני שמעון,3
סביון,2
יפיע,4
חורפיש,6
חבל אילות,3
ג'דיידה-מכר,0
באקה אל גרבייה,5
אבן יהודה,2
משגב,6
חריש,1
אשכול,3
מגדל העמק,4
קלנסווה,0
קרית טבעון,2
טירה,5
עומר,3
זכרון יעקב,1
להבים,3
עראבה,6
הערבה התיכונה,3
תמר,3
דאלית אל-כרמל,2
שער הנגב,3
שפרעם,4
טמרה,0
סח'נין,5
יקנעם עילית,1
גני תקווה,2
צפת,6
חוף אשקלון,3
יואב,3
עוספייא,2
טייבה,0
קרית ביאליק,4
חוף הכרמל,1
לב השרון,5
לכיש,3
קדימה - צורן,2
רהט,6
מרחבים,3
פרדסיה,5
ירוחם,3
בית ג'ן,1
חבל מודיעין,2
כפר יונה,5
שפיר,3
נצרת,0
קרית מוצקין,4
פרדס חנה - כרכור,1
כרמיאל,6
באר טוביה,3
שהם,2
עמק יזרעאל,5
חבל יבנה,3
גן רוה,3
גדרות,3
כעביה - טבאש - חג'אג'רה,5
זרזיר,5
גזר,2
ברנר,3
אור עקיבא,1
קרית ים,4
מזכרת בתיה,3
עמק חפר,0
רמת ישי,5
נחל שורק,2
נהריה,6
טירת כרמל,1
גדרה,2
גן יבנה,3
אליכין,0
עפולה,5
עכו,4
טבריה,1
מטה יהודה,0
באר יעקב,2
שדרות,3
שדות נגב,3
קרית עקרון,2
בית שאן,1
קרית מלאכי,3
נשר,2
מבשרת ציון,0
ראש העין,5
קרית אתא,4
יהוד -מונסון,2
אופקים,3
חדרה,1
קרית אונו,2
אילת,3
גבעת שמואל,2
דימונה,3
בית שמש,0
"בני עי""ש",3
נס ציונה,2
יבנה,3
אור יהודה,2
נתיבות,3
נתניה,5
חיפה,4
רמת השרון,2
קרית גת,3
הוד השרון,2
ערד,3
לוד,2
רמלה,2
רחובות,3
רעננה,2
ירושלים,0
מודיעין-מכבים-רעות,2
אשקלון,3
הרצליה,2
כפר סבא,2
באר שבע,3
רמת גן,2
גבעתיים,2
אשדוד,3
ראשון לציון,3
בית דגן,3
בת ים,3
פתח תקווה,2
חולון,3
אזור,3
בני ברק,2
תל אביב -יפו,2
