municipality,canton
אבו גוש,17
אבו סנאן,17
אבן יהודה,19
אום אל-פחם,17
אופקים,16
אור יהודה,19
אור עקיבא,19
אזור,19
אילת,0
אכסאל,17
אל קסום,17
אל-בטוף,17
אלונה,19
אליכין,19
אלעד,15
אעבלין,17
אשדוד,19
אשכול,18
אשקלון,19
באקה אל גרבייה,17
באר טוביה,19
באר יעקב,19
באר שבע,16
בוסתאן אל-מרג',17
בועיינה-נוג'ידאת,17
בוקעאתא,19
ביר אל-מכסור,17
בית ג'ן,19
בית דגן,19
בית שאן,1
בית שמש,2
בני ברק,15
"בני עי""ש",19
בני שמעון,19
בנימינה - גבעת עדה,19
"בסמ""ה",17
בסמת טבעון,17
בענה,17
ברנר,19
בת ים,19
ג'דיידה-מכר,17
ג'וליס,19
ג'לג'וליה,17
ג'סר א-זרקא,17
ג'ת,17
גבעת שמואל,19
גבעתיים,19
גדרה,19
גדרות,19
גולן,19
גוש חלב (ג'יש),3
גזר,19
גן יבנה,19
גן רוה,19
גני תקווה,19
דאלית אל-כרמל,19
דבוריה,17
דימונה,16
דיר אל-אסד,17
דיר חנא,17
דרום השרון,19
הגלבוע,19
הגליל העליון,19
הגליל התחתון,19
הוד השרון,19
הערבה התיכונה,18
הרצליה,19
זבולון,19
זכרון יעקב,19
זמר,17
זרזיר,4
חבל אילות,18
חבל יבנה,19
חבל מודיעין,19
חדרה,19
חולון,19
חוף אשקלון,19
חוף הכרמל,19
חוף השרון,19
חורה,17
חורפיש,19
חיפה,19
חצור הגלילית,19
חריש,19
טבריה,5
טובא-זנגריה,6
טורעאן,17
טייבה,17
טירה,17
טירת כרמל,19
טמרה,17
יאנוח - ג'ת,19
יבנאל,19
יבנה,19
יהוד -מונסון,19
יואב,19
יסוד המעלה,19
יפיע,17
יקנעם עילית,19
ירוחם,7
ירושלים,8
ירכא,19
כאבול,17
כאוכב אבו אל-היג'א,17
כוכב יאיר,19
כסייפה,17
כסרא - סמיע,19
כעביה - טבאש - חג'אג'רה,9
כפר ברא,17
כפר ורדים,19
כפר יאסיף,17
כפר יונה,19
כפר כמא,19
כפר כנא,17
כפר מנדא,17
כפר סבא,19
כפר קאסם,17
כפר קרע,17
כפר שמריהו,19
כפר תבור,19
כרמיאל,19
לב השרון,19
להבים,19
לוד,19
לכיש,19
לקיה,17
מבואות החרמון,19
מבשרת ציון,19
מג'אר,17
מג'ד אל-כרום,17
מג'דל שמס,19
מגדל,19
מגדל העמק,19
מגידו,19
מודיעין-מכבים-רעות,19
מזכרת בתיה,19
מזרעה,17
מטה אשר,19
מטה יהודה,19
מטולה,19
מיתר,19
מנשה,19
מסעדה,19
מעיליא,17
מעלה יוסף,19
מעלה עירון,17
מעלות-תרשיחא,19
מצפה רמון,18
מרום הגליל,19
מרחבים,16
משגב,19
משהד,17
נהריה,19
נווה מדבר,17
נחל שורק,10
נחף,17
נס ציונה,19
נצרת,17
נשר,19
נתיבות,16
נתניה,19
סאג'ור,19
סביון,19
סח'נין,17
ע'ג'ר,19
עומר,19
עוספייא,19
עילבון,17
עילוט,17
עין מאהל,17
עין קיניה,19
עכו,19
עמק הירדן,19
עמק המעיינות,19
עמק חפר,19
עמק יזרעאל,19
עפולה,19
עראבה,17
ערד,18
ערערה,17
ערערה בנגב,17
פוריידיס,17
פסוטה,11
פקיעין (בוקייעה),12
פרדס חנה - כרכור,19
פרדסיה,19
פתח תקווה,19
צפת,19
קדימה - צורן,19
קלנסווה,17
קצרין,19
קרית אונו,19
קרית אתא,19
קרית ביאליק,19
קרית גת,19
קרית טבעון,19
קרית ים,19
קרית יערים,15
קרית מוצקין,19
קרית מלאכי,19
קרית עקרון,19
קרית שמונה,13
ראמה,14
ראש העין,19
ראש פינה,19
ראשון לציון,19
רהט,17
רחובות,19
ריינה,17
רכסים,15
רמלה,19
רמת גן,19
רמת השרון,19
רמת ישי,19
רמת נגב,18
רעננה,19
שגב שלום,17
שדות נגב,16
שדרות,19
שהם,19
שלומי,19
שעב,17
שער הנגב,19
שפיר,19
שפרעם,17
תל אביב -יפו,19
תל מונד,19
תל שבע,17
תמר,18
