municipality,canton
אבו גוש,1
אבו סנאן,1
אבן יהודה,2
אום אל-פחם,1
אופקים,0
אור יהודה,0
אור עקיבא,0
אזור,0
אילת,0
אכסאל,1
אל קסום,1
אל-בטוף,1
אלונה,2
אליכין,0
אלעד,0
אעבלין,1
אשדוד,0
אשכול,2
אשקלון,0
באקה אל גרבייה,1
באר טוביה,2
באר יעקב,0
באר שבע,0
בוסתאן אל-מרג',1
בועיינה-נוג'ידאת,1
בוקעאתא,0
ביר אל-מכסור,1
בית ג'ן,2
בית דגן,0
בית שאן,0
בית שמש,0
בני ברק,0
"בני עי""ש",0
בני שמעון,2
בנימינה - גבעת עדה,2
"בסמ""ה",1
בסמת טבעון,1
בענה,1
ברנר,2
בת ים,0
ג'דיידה-מכר,1
ג'וליס,2
ג'לג'וליה,1
ג'סר א-זרקא,1
ג'ת,1
גבעת שמואל,0
גבעתיים,2
גדרה,0
גדרות,2
גולן,2
גוש חלב (ג'יש),1
גזר,2
גן יבנה,0
גן רוה,2
גני תקווה,2
דאלית אל-כרמל,2
דבוריה,1
דימונה,0
דיר אל-אסד,1
דיר חנא,1
דרום השרון,2
הגלבוע,2
הגליל העליון,2
הגליל התחתון,2
הוד השרון,2
הערבה התיכונה,2
הרצליה,2
זבולון,2
זכרון יעקב,2
זמר,1
זרזיר,1
חבל אילות,2
חבל יבנה,0
חבל מודיעין,0
חדרה,0
חולון,0
חוף אשקלון,0
חוף הכרמל,2
חוף השרון,2
חורה,1
חורפיש,2
חיפה,2
חצור הגלילית,0
חריש,0
טבריה,0
טובא-זנגריה,1
טורעאן,1
טייבה,1
טירה,1
טירת כרמל,0
טמרה,1
יאנוח - ג'ת,2
יבנאל,0
יבנה,0
יהוד -מונסון,2
יואב,2
יסוד המעלה,2
יפיע,1
יקנעם עילית,0
ירוחם,0
ירושלים,0
ירכא,0
כאבול,1
כאוכב אבו אל-היג'א,1
כוכב יאיר,2
כסייפה,1
כסרא - סמיע,0
כעביה - טבאש - חג'אג'רה,1
כפר ברא,1
כפר ורדים,2
כפר יאסיף,1
כפר יונה,2
כפר כמא,2
כפר כנא,1
כפר מנדא,1
כפר סבא,2
כפר קאסם,1
כפר קרע,1
כפר שמריהו,2
כפר תבור,2
כרמיאל,0
לב השרון,2
להבים,2
לוד,0
לכיש,0
לקיה,1
מבואות החרמון,2
מבשרת ציון,0
מג'אר,1
מג'ד אל-כרום,1
מג'דל שמס,2
מגדל,0
מגדל העמק,0
מגידו,2
מודיעין-מכבים-רעות,2
מזכרת בתיה,2
מזרעה,1
מטה אשר,2
מטה יהודה,0
מטולה,2
מיתר,2
מנשה,2
מסעדה,2
מעיליא,1
מעלה יוסף,0
מעלה עירון,1
מעלות-תרשיחא,0
מצפה רמון,0
מרום הגליל,0
מרחבים,0
משגב,2
משהד,1
נהריה,0
נווה מדבר,1
נחל שורק,0
נחף,1
נס ציונה,2
נצרת,1
נשר,0
נתיבות,0
נתניה,0
סאג'ור,0
סביון,2
סח'נין,1
ע'ג'ר,0
עומר,2
עוספייא,2
עילבון,1
עילוט,1
עין מאהל,1
עין קיניה,0
עכו,0
עמק הירדן,2
עמק המעיינות,2
עמק חפר,2
עמק יזרעאל,2
עפולה,0
עראבה,1
ערד,0
ערערה,1
ערערה בנגב,1
פוריידיס,1
פסוטה,1
פקיעין (בוקייעה),2
פרדס חנה - כרכור,2
פרדסיה,2
פתח תקווה,0
צפת,0
קדימה - צורן,2
קלנסווה,1
קצרין,0
קרית אונו,2
קרית אתא,0
קרית ביאליק,0
קרית גת,0
קרית טבעון,2
קרית ים,0
קרית יערים,0
קרית מוצקין,0
קרית מלאכי,0
קרית עקרון,0
קרית שמונה,0
ראמה,1
ראש העין,0
ראש פינה,2
ראשון לציון,0
רהט,1
רחובות,0
ריינה,1
רכסים,0
רמלה,0
רמת גן,2
רמת השרון,2
רמת ישי,2
רמת נגב,2
רעננה,2
שגב שלום,1
שדות נגב,0
שדרות,0
שהם,2
שלומי,0
שעב,1
שער הנגב,2
שפיר,0
שפרעם,1
תל אביב -יפו,2
תל מונד,2
תל שבע,1
תמר,2
