municipality,canton
כפר סבא,0
אלעד,0
פרדסיה,0
כוכב יאיר,0
אבן יהודה,0
בני ברק,0
נתניה,0
גבעת שמואל,0
רמת גן,0
תל מונד,0
אור יהודה,0
חוף השרון,0
רמת השרון,0
כפר יונה,0
קדימה - צורן,0
יהוד -מונסון,0
דאלית אל-כרמל,0
קרית אונו,0
הרצליה,0
הוד השרון,0
לב השרון,0
עוספייא,0
רעננה,0
סביון,0
ראש העין,0
גבעתיים,0
כפר שמריהו,0
פתח תקווה,0
דרום השרון,0
עמק חפר,0
גני תקווה,0
תל אביב -יפו,0
קרית יערים,0
רכסים,0
קרית עקרון,1
ירוחם,1
חולון,1
רמלה,1
אופקים,1
יואב,1
בית ג'ן,1
בני שמעון,1
עומר,1
"בני עי""ש",1
גדרה,1
אשדוד,1
נס ציונה,1
מצפה רמון,1
רמת נגב,1
שהם,1
שער הנגב,1
אזור,1
יבנה,1
באר שבע,1
דימונה,1
קרית גת,1
קרית מלאכי,1
מרחבים,1
שדרות,1
גדרות,1
להבים,1
בת ים,1
לוד,1
נחל שורק,1
שדות נגב,1
תמר,1
ראשון לציון,1
הערבה התיכונה,1
נתיבות,1
גן יבנה,1
מודיעין-מכבים-רעות,1
חבל יבנה,1
חבל אילות,1
מטה יהודה,1
שפיר,1
אשכול,1
ערד,1
גן רוה,1
מזכרת בתיה,1
מיתר,1
ברנר,1
באר יעקב,1
רחובות,1
גזר,1
באר טוביה,1
חבל מודיעין,1
לכיש,1
בית שמש,1
מבשרת ציון,1
בית דגן,1
אשקלון,1
אילת,1
ירושלים,1
חוף אשקלון,1
שעב,2
משהד,2
ריינה,2
ג'דיידה-מכר,2
יפיע,2
כאבול,2
טורעאן,2
אעבלין,2
כאוכב אבו אל-היג'א,2
מעיליא,2
"בסמ""ה",2
כפר קרע,2
טמרה,2
מזרעה,2
כפר כנא,2
עין מאהל,2
נצרת,2
ג'ת,2
אכסאל,2
טייבה,2
בענה,2
ערערה,2
מעלה עירון,2
עילוט,2
זמר,2
ג'סר א-זרקא,2
כפר יאסיף,2
דיר חנא,2
טירה,2
נחף,2
מג'ד אל-כרום,2
דבוריה,2
אום אל-פחם,2
קלנסווה,2
באקה אל גרבייה,2
עראבה,2
דיר אל-אסד,2
קרית טבעון,3
ראמה,3
סאג'ור,3
טובא-זנגריה,3
ע'ג'ר,3
מעלה יוסף,3
טבריה,3
פסוטה,3
חיפה,3
יאנוח - ג'ת,3
עילבון,3
שפרעם,3
יקנעם עילית,3
חדרה,3
אלונה,3
נשר,3
הגלבוע,3
פקיעין (בוקייעה),3
עכו,3
רמת ישי,3
עין קיניה,3
עמק יזרעאל,3
אליכין,3
עמק המעיינות,3
חורפיש,3
ג'וליס,3
פרדס חנה - כרכור,3
זבולון,3
מנשה,3
הגליל העליון,3
כפר כמא,3
מגידו,3
קרית אתא,3
מגדל העמק,3
עפולה,3
מרום הגליל,3
משגב,3
צפת,3
קצרין,3
כפר תבור,3
אור עקיבא,3
מטה אשר,3
הגליל התחתון,3
שלומי,3
כרמיאל,3
מסעדה,3
קרית שמונה,3
קרית ביאליק,3
גולן,3
מבואות החרמון,3
אבו סנאן,3
בית שאן,3
מטולה,3
בוקעאתא,3
עמק הירדן,3
גוש חלב (ג'יש),3
חריש,3
כעביה - טבאש - חג'אג'רה,3
קרית מוצקין,3
יסוד המעלה,3
חצור הגלילית,3
מג'אר,3
קרית ים,3
כפר ורדים,3
זכרון יעקב,3
מג'דל שמס,3
יבנאל,3
ירכא,3
בנימינה - גבעת עדה,3
טירת כרמל,3
מעלות-תרשיחא,3
חוף הכרמל,3
נהריה,3
מגדל,3
ראש פינה,3
זרזיר,3
כסרא - סמיע,3
לקיה,4
שגב שלום,4
כפר קאסם,4
רהט,4
חורה,4
ערערה בנגב,4
כפר מנדא,4
תל שבע,4
פוריידיס,4
בועיינה-נוג'ידאת,4
ג'לג'וליה,4
אל קסום,4
ביר אל-מכסור,4
אל-בטוף,4
כפר ברא,4
בוסתאן אל-מרג',4
בסמת טבעון,4
נווה מדבר,4
סח'נין,4
אבו גוש,4
כסייפה,4
