municipality,canton
אום אל-פחם,0
כפר כמא,1
קרית יערים,2
ערערה בנגב,3
פקיעין (בוקייעה),4
אשדוד,5
כפר ברא,6
שהם,7
ירושלים,8
מבשרת ציון,9
חריש,10
ג'דיידה-מכר,11
עמק יזרעאל,12
רכסים,13
לוד,14
חורפיש,15
מג'אר,16
אבו סנאן,17
קצרין,18
זמר,19
בני ברק,2
רמלה,14
מטה יהודה,9
נצרת,11
אלעד,13
רהט,6
טייבה,11
הגלבוע,12
עמק חפר,19
נתניה,19
גזר,9
רחובות,9
עמק הירדן,12
קרית טבעון,12
מגידו,12
חוף הכרמל,12
מטה אשר,17
קרית מוצקין,17
חיפה,17
זכרון יעקב,12
בנימינה - גבעת עדה,12
אלונה,12
פרדס חנה - כרכור,12
נס ציונה,9
משגב,16
כרמיאל,16
חבל מודיעין,7
פתח תקווה,7
עמק המעיינות,12
רמת ישי,12
קלנסווה,11
באקה אל גרבייה,11
עראבה,11
ערערה,11
יפיע,11
אכסאל,11
טורעאן,11
טירה,11
מעלה עירון,11
עין מאהל,11
ג'ת,11
ריינה,11
מזרעה,11
ג'סר א-זרקא,11
דיר חנא,11
דבוריה,11
"בסמ""ה",11
כאוכב אבו אל-היג'א,11
באר יעקב,14
ראשון לציון,14
שעב,11
אעבלין,11
עילוט,11
כאבול,11
בענה,11
אבו גוש,11
גולן,12
נחף,11
דיר אל-אסד,11
מזכרת בתיה,9
כפר כנא,11
מנשה,10
חדרה,10
בוסתאן אל-מרג',11
כפר תבור,12
משהד,11
כפר יונה,19
יהוד -מונסון,7
פוריידיס,11
מבואות החרמון,12
יסוד המעלה,12
ראש פינה,12
מטולה,12
מג'דל שמס,12
כפר קרע,11
הגליל העליון,12
ירכא,16
לב השרון,19
קדימה - צורן,19
פרדסיה,19
תל מונד,19
אבן יהודה,19
גני תקווה,7
כפר מנדא,11
לכיש,9
חוף אשקלון,9
באר טוביה,9
הגליל התחתון,1
טבריה,1
זבולון,12
גדרה,9
מסעדה,12
גבעת שמואל,7
ראמה,16
טמרה,11
בית דגן,14
סאג'ור,16
סביון,7
גן יבנה,9
קרית ביאליק,17
קרית אונו,7
חוף השרון,19
כפר שמריהו,19
אל-בטוף,11
חבל יבנה,9
רמת השרון,19
בני שמעון,9
מיתר,9
עומר,9
להבים,9
מג'ד אל-כרום,11
עין קיניה,12
דרום השרון,6
כפר סבא,6
הרצליה,6
רעננה,6
כוכב יאיר,6
כפר ורדים,17
יקנעם עילית,12
סח'נין,11
ג'וליס,16
כסרא - סמיע,16
ע'ג'ר,12
גן רוה,9
גדרות,9
שער הנגב,9
ברנר,9
יואב,9
מעיליא,11
הוד השרון,6
נשר,17
חורה,11
אליכין,10
יבנאל,1
שלומי,17
קרית אתא,12
מרחבים,9
רמת נגב,9
אשכול,9
חבל אילות,9
הערבה התיכונה,9
תמר,9
בועיינה-נוג'ידאת,11
מצפה רמון,9
יאנוח - ג'ת,16
מגדל,1
מרום הגליל,1
צפת,1
חצור הגלילית,1
כפר יאסיף,11
עכו,17
מודיעין-מכבים-רעות,7
ג'לג'וליה,11
מעלות-תרשיחא,17
ראש העין,6
בסמת טבעון,11
עפולה,12
דאלית אל-כרמל,19
שפרעם,0
ירוחם,9
נהריה,17
בת ים,14
יבנה,9
טובא-זנגריה,12
מעלה יוסף,17
שפיר,9
טירת כרמל,17
עילבון,16
כפר קאסם,3
כסייפה,3
תל שבע,3
באר שבע,3
לקיה,11
אור יהודה,7
קרית עקרון,9
שדות נגב,9
אור עקיבא,12
רמת גן,2
בוקעאתא,12
קרית שמונה,12
קרית מלאכי,9
קרית ים,17
עוספייא,19
שדרות,9
מגדל העמק,12
נחל שורק,9
זרזיר,12
פסוטה,17
כעביה - טבאש - חג'אג'רה,12
אל קסום,3
שגב שלום,3
ביר אל-מכסור,3
נווה מדבר,3
אילת,9
גוש חלב (ג'יש),12
אופקים,9
בית ג'ן,12
גבעתיים,2
בית שאן,12
דימונה,9
נתיבות,9
חולון,14
אזור,14
קרית גת,9
"בני עי""ש",9
ערד,9
תל אביב -יפו,2
בית שמש,9
אשקלון,9
