municipality,canton
שעב,0
משהד,0
ריינה,0
ג'דיידה-מכר,0
יפיע,0
כאבול,0
טורעאן,0
אעבלין,0
דיר אל-אסד,0
כאוכב אבו אל-היג'א,0
מעיליא,0
שפרעם,0
"בסמ""ה",0
כפר קרע,0
טמרה,0
כפר כנא,0
עין מאהל,0
נצרת,0
ג'ת,0
אכסאל,0
טייבה,0
בענה,0
ערערה,0
מעלה עירון,0
עילוט,0
כפר מנדא,0
ג'סר א-זרקא,0
זמר,0
פוריידיס,0
כפר יאסיף,0
טירה,0
נחף,0
מג'ד אל-כרום,0
דבוריה,0
אום אל-פחם,0
קלנסווה,0
באקה אל גרבייה,0
עראבה,0
מזרעה,0
אבו גוש,0
כפר סבא,1
אלעד,1
פרדסיה,1
כוכב יאיר,1
אבן יהודה,1
בני ברק,1
נתניה,1
גבעת שמואל,1
רמת גן,1
תל מונד,1
אור יהודה,1
חוף השרון,1
רמת השרון,1
כפר יונה,1
קדימה - צורן,1
יהוד -מונסון,1
דאלית אל-כרמל,1
קרית אונו,1
הרצליה,1
הוד השרון,1
לב השרון,1
עוספייא,1
רעננה,1
סביון,1
ראש העין,1
גבעתיים,1
כפר שמריהו,1
פתח תקווה,1
דרום השרון,1
עמק חפר,1
גני תקווה,1
תל אביב -יפו,1
קרית יערים,1
רכסים,1
מג'אר,2
עילבון,2
דיר חנא,2
בוסתאן אל-מרג',3
ראמה,4
סאג'ור,4
קרית טבעון,4
טובא-זנגריה,4
ע'ג'ר,4
מעלה יוסף,4
טבריה,4
פסוטה,4
יאנוח - ג'ת,4
חיפה,4
יקנעם עילית,4
חדרה,4
אלונה,4
נשר,4
הגלבוע,4
פקיעין (בוקייעה),4
עכו,4
רמת ישי,4
עין קיניה,4
עמק יזרעאל,4
אליכין,4
עמק המעיינות,4
חורפיש,4
ג'וליס,4
פרדס חנה - כרכור,4
זבולון,4
מנשה,4
הגליל העליון,4
כפר כמא,4
מגידו,4
קרית אתא,4
מגדל העמק,4
עפולה,4
מרום הגליל,4
משגב,4
צפת,4
קצרין,4
כפר תבור,4
אור עקיבא,4
מטה אשר,4
הגליל התחתון,4
שלומי,4
כרמיאל,4
מסעדה,4
קרית שמונה,4
קרית ביאליק,4
גולן,4
מבואות החרמון,4
אבו סנאן,4
בית שאן,4
מטולה,4
בוקעאתא,4
עמק הירדן,4
גוש חלב (ג'יש),4
חריש,4
כעביה - טבאש - חג'אג'רה,4
קרית מוצקין,4
יסוד המעלה,4
חצור הגלילית,4
קרית ים,4
כפר ורדים,4
מג'דל שמס,4
זכרון יעקב,4
יבנאל,4
ירכא,4
בנימינה - גבעת עדה,4
מעלות-תרשיחא,4
טירת כרמל,4
חוף הכרמל,4
נהריה,4
ראש פינה,4
מגדל,4
זרזיר,4
כסרא - סמיע,4
קרית עקרון,5
ירוחם,5
חולון,5
רמלה,5
אופקים,5
יואב,5
בית ג'ן,5
בני שמעון,5
"בני עי""ש",5
גדרה,5
עומר,5
אשדוד,5
שהם,5
נס ציונה,5
מצפה רמון,5
אזור,5
שער הנגב,5
רמת נגב,5
יבנה,5
קרית גת,5
קרית מלאכי,5
באר שבע,5
דימונה,5
גדרות,5
שדרות,5
מרחבים,5
לוד,5
בת ים,5
להבים,5
נחל שורק,5
ראשון לציון,5
שדות נגב,5
תמר,5
הערבה התיכונה,5
נתיבות,5
גן יבנה,5
מודיעין-מכבים-רעות,5
חבל יבנה,5
חבל אילות,5
מטה יהודה,5
שפיר,5
אשכול,5
ערד,5
גן רוה,5
מזכרת בתיה,5
מיתר,5
ברנר,5
באר יעקב,5
רחובות,5
חבל מודיעין,5
גזר,5
באר טוביה,5
לכיש,5
בית שמש,5
בית דגן,5
אשקלון,5
מבשרת ציון,5
אילת,5
ירושלים,5
חוף אשקלון,5
לקיה,6
שגב שלום,6
כפר קאסם,6
רהט,6
חורה,6
ערערה בנגב,6
תל שבע,6
בועיינה-נוג'ידאת,6
ג'לג'וליה,6
אל קסום,6
ביר אל-מכסור,6
אל-בטוף,6
כפר ברא,6
בסמת טבעון,6
נווה מדבר,6
סח'נין,6
כסייפה,6
