municipality,canton
אבו גוש,0
סאג'ור,1
אליכין,2
קרית יערים,3
זמר,4
שגב שלום,5
אום אל-פחם,6
כפר יאסיף,7
מסעדה,8
טובא-זנגריה,9
מגדל,10
כפר כמא,11
דאלית אל-כרמל,12
באר טוביה,13
נחל שורק,14
חורפיש,15
תמר,16
מג'דל שמס,17
זרזיר,18
ע'ג'ר,19
מרום הגליל,10
רכסים,3
כאבול,4
מג'ד אל-כרום,0
הגליל התחתון,11
ערערה בנגב,5
דבוריה,7
כפר תבור,11
כאוכב אבו אל-היג'א,4
עוספייא,12
מזכרת בתיה,14
חצור הגלילית,10
ערד,16
גולן,8
"בסמ""ה",4
לקיה,5
ג'ת,0
מעלה עירון,7
גדרות,13
עמק חפר,2
עמק הירדן,11
ג'לג'וליה,4
זבולון,3
מבואות החרמון,10
הגליל העליון,9
עין מאהל,5
ברנר,13
טורעאן,0
דיר חנא,7
כרמיאל,1
עמק יזרעאל,18
יואב,14
לכיש,14
גן רוה,13
יסוד המעלה,10
מעלה יוסף,9
ראש פינה,9
חוף השרון,12
בענה,4
כפר ורדים,9
ריינה,5
קרית טבעון,3
עמק המעיינות,11
קלנסווה,0
מגידו,6
אכסאל,7
אבן יהודה,12
קרית שמונה,10
שפיר,14
דימונה,16
כפר קרע,4
כפר שמריהו,12
משהד,5
בית ג'ן,6
חוף אשקלון,13
קצרין,8
בוסתאן אל-מרג',5
שער הנגב,6
ביר אל-מכסור,7
מנשה,2
תל מונד,12
מעלות-תרשיחא,9
כפר מנדא,0
בני שמעון,14
הגלבוע,11
נשר,3
עראבה,7
יפיע,5
להבים,14
אלונה,2
רמת ישי,18
טירה,4
בנימינה - גבעת עדה,2
צפת,10
מרחבים,6
מיתר,14
מגדל העמק,18
גדרה,13
משגב,1
קדימה - צורן,12
אשכול,6
מטה אשר,9
באקה אל גרבייה,0
ג'דיידה-מכר,5
עומר,14
כפר ברא,4
שלומי,9
כפר קאסם,7
רמת נגב,16
ירוחם,16
חבל אילות,16
הערבה התיכונה,16
בית שאן,11
אלעד,3
זכרון יעקב,2
מצפה רמון,16
כפר כנא,4
יבנאל,11
גן יבנה,13
לב השרון,12
פרדסיה,12
טייבה,5
סח'נין,0
גזר,14
חוף הכרמל,6
עפולה,18
אילת,16
שפרעם,7
כפר יונה,2
טמרה,4
טבריה,11
קרית ביאליק,9
חבל מודיעין,3
קרית עקרון,13
מג'אר,1
עילבון,1
ירכא,1
באר יעקב,14
אור עקיבא,6
פקיעין (בוקייעה),1
חריש,2
דרום השרון,12
סביון,12
שהם,3
כוכב יאיר,12
קרית מלאכי,13
כסרא - סמיע,1
בועיינה-נוג'ידאת,5
ראמה,1
דיר אל-אסד,5
מזרעה,5
עין קיניה,8
אבו סנאן,7
טירת כרמל,6
רהט,0
שעב,5
תל שבע,5
שדות נגב,16
מטולה,9
כסייפה,5
פרדס חנה - כרכור,2
גני תקווה,12
יהוד -מונסון,3
נתיבות,16
נצרת,4
יבנה,13
קרית מוצקין,9
נס ציונה,14
קרית אתא,7
שדרות,6
ג'וליס,1
פוריידיס,5
אעבלין,5
אור יהודה,3
אופקים,6
מטה יהודה,0
קרית אונו,12
חורה,5
קרית ים,9
עילוט,5
נווה מדבר,5
מבשרת ציון,0
יקנעם עילית,6
ג'סר א-זרקא,5
חבל יבנה,13
מעיליא,5
בוקעאתא,8
קרית גת,14
ערערה,5
כעביה - טבאש - חג'אג'רה,18
אל-בטוף,5
ראש העין,7
חדרה,2
עכו,9
רמת השרון,12
רמלה,3
"בני עי""ש",13
גוש חלב (ג'יש),10
נהריה,5
גבעת שמואל,12
נחף,4
בית שמש,0
אשקלון,13
מודיעין-מכבים-רעות,14
לוד,3
הוד השרון,12
פסוטה,9
בסמת טבעון,5
יאנוח - ג'ת,1
באר שבע,6
רעננה,12
נתניה,2
רחובות,13
חיפה,7
רמת גן,3
גבעתיים,3
הרצליה,12
ראשון לציון,14
בית דגן,14
כפר סבא,12
בת ים,14
אשדוד,13
ירושלים,0
בני ברק,3
אל קסום,5
חולון,14
אזור,14
פתח תקווה,12
תל אביב -יפו,3
