municipality,canton
אבו גוש,0
אבו סנאן,0
אבן יהודה,2
אום אל-פחם,0
אופקים,2
אור יהודה,2
אור עקיבא,2
אזור,2
אילת,2
אכסאל,0
אל קסום,0
אל-בטוף,0
אלונה,2
אליכין,2
אלעד,1
אעבלין,0
אשדוד,2
אשכול,2
אשקלון,2
באקה אל גרבייה,0
באר טוביה,2
באר יעקב,2
באר שבע,2
בוסתאן אל-מרג',0
בועיינה-נוג'ידאת,0
בוקעאתא,2
ביר אל-מכסור,0
בית ג'ן,2
בית דגן,2
בית שאן,2
בית שמש,2
בני ברק,1
"בני עי""ש",2
בני שמעון,2
בנימינה - גבעת עדה,2
"בסמ""ה",0
בסמת טבעון,0
בענה,0
ברנר,2
בת ים,2
ג'דיידה-מכר,0
ג'וליס,2
ג'לג'וליה,0
ג'סר א-זרקא,0
ג'ת,0
גבעת שמואל,2
גבעתיים,2
גדרה,2
גדרות,2
גולן,2
גוש חלב (ג'יש),2
גזר,2
גן יבנה,2
גן רוה,2
גני תקווה,2
דאלית אל-כרמל,2
דבוריה,0
דימונה,2
דיר אל-אסד,0
דיר חנא,0
דרום השרון,2
הגלבוע,2
הגליל העליון,2
הגליל התחתון,2
הוד השרון,2
הערבה התיכונה,2
הרצליה,2
זבולון,2
זכרון יעקב,2
זמר,0
זרזיר,2
חבל אילות,2
חבל יבנה,2
חבל מודיעין,2
חדרה,2
חולון,2
חוף אשקלון,2
חוף הכרמל,2
חוף השרון,2
חורה,0
חורפיש,2
חיפה,2
חצור הגלילית,2
חריש,2
טבריה,2
טובא-זנגריה,2
טורעאן,0
טייבה,0
טירה,0
טירת כרמל,2
טמרה,0
יאנוח - ג'ת,2
יבנאל,2
יבנה,2
יהוד -מונסון,2
יואב,2
יסוד המעלה,2
יפיע,0
יקנעם עילית,2
ירוחם,2
ירושלים,2
ירכא,2
כאבול,0
כאוכב אבו אל-היג'א,0
כוכב יאיר,2
כסייפה,0
כסרא - סמיע,2
כעביה - טבאש - חג'אג'רה,2
כפר ברא,0
כפר ורדים,2
כפר יאסיף,0
כפר יונה,2
כפר כמא,2
כפר כנא,0
כפר מנדא,0
כפר סבא,2
כפר קאסם,0
כפר קרע,0
כפר שמריהו,2
כפר תבור,2
כרמיאל,2
לב השרון,2
להבים,2
לוד,2
לכיש,2
לקיה,0
מבואות החרמון,2
מבשרת ציון,2
מג'אר,0
מג'ד אל-כרום,0
מג'דל שמס,2
מגדל,2
מגדל העמק,2
מגידו,2
מודיעין-מכבים-רעות,2
מזכרת בתיה,2
מזרעה,0
מטה אשר,2
מטה יהודה,2
מטולה,2
מיתר,2
מנשה,2
מסעדה,2
מעיליא,0
מעלה יוסף,2
מעלה עירון,0
מעלות-תרשיחא,2
מצפה רמון,2
מרום הגליל,2
מרחבים,2
משגב,2
משהד,0
נהריה,2
נווה מדבר,0
נחל שורק,2
נחף,0
נס ציונה,2
נצרת,0
נשר,2
נתיבות,2
נתניה,2
סאג'ור,2
סביון,2
סח'נין,0
ע'ג'ר,2
עומר,2
עוספייא,2
עילבון,0
עילוט,0
עין מאהל,0
עין קיניה,2
עכו,2
עמק הירדן,2
עמק המעיינות,2
עמק חפר,2
עמק יזרעאל,2
עפולה,2
עראבה,0
ערד,2
ערערה,0
ערערה בנגב,0
פוריידיס,0
פסוטה,2
פקיעין (בוקייעה),2
פרדס חנה - כרכור,2
פרדסיה,2
פתח תקווה,2
צפת,2
קדימה - צורן,2
קלנסווה,0
קצרין,2
קרית אונו,2
קרית אתא,2
קרית ביאליק,2
קרית גת,2
קרית טבעון,2
קרית ים,2
קרית יערים,1
קרית מוצקין,2
קרית מלאכי,2
קרית עקרון,2
קרית שמונה,2
ראמה,2
ראש העין,2
ראש פינה,2
ראשון לציון,2
רהט,0
רחובות,2
ריינה,0
רכסים,1
רמלה,2
רמת גן,2
רמת השרון,2
רמת ישי,2
רמת נגב,2
רעננה,2
שגב שלום,0
שדות נגב,2
שדרות,2
שהם,2
שלומי,2
שעב,0
שער הנגב,2
שפיר,2
שפרעם,0
תל אביב -יפו,2
תל מונד,2
תל שבע,0
תמר,2
