municipality,canton
אבו גוש,4
אבו סנאן,4
אבן יהודה,0
אום אל-פחם,4
אופקים,3
אור יהודה,2
אור עקיבא,2
אזור,6
אילת,2
אכסאל,4
אל קסום,1
אל-בטוף,1
אלונה,0
אליכין,2
אלעד,5
אעבלין,4
אשדוד,2
אשכול,0
אשקלון,2
באקה אל גרבייה,4
באר טוביה,6
באר יעקב,6
באר שבע,2
בוסתאן אל-מרג',4
בועיינה-נוג'ידאת,1
בוקעאתא,6
ביר אל-מכסור,1
בית ג'ן,0
בית דגן,2
בית שאן,2
בית שמש,5
בני ברק,5
"בני עי""ש",2
בני שמעון,0
בנימינה - גבעת עדה,0
"בסמ""ה",4
בסמת טבעון,1
בענה,4
ברנר,0
בת ים,2
ג'דיידה-מכר,4
ג'וליס,0
ג'לג'וליה,1
ג'סר א-זרקא,4
ג'ת,4
גבעת שמואל,6
גבעתיים,0
גדרה,6
גדרות,0
גולן,0
גוש חלב (ג'יש),4
גזר,6
גן יבנה,6
גן רוה,0
גני תקווה,0
דאלית אל-כרמל,0
דבוריה,4
דימונה,2
דיר אל-אסד,4
דיר חנא,4
דרום השרון,0
הגלבוע,6
הגליל העליון,0
הגליל התחתון,6
הוד השרון,0
הערבה התיכונה,0
הרצליה,0
זבולון,0
זכרון יעקב,0
זמר,4
זרזיר,1
חבל אילות,0
חבל יבנה,3
חבל מודיעין,6
חדרה,6
חולון,6
חוף אשקלון,6
חוף הכרמל,0
חוף השרון,0
חורה,1
חורפיש,0
חיפה,6
חצור הגלילית,2
חריש,6
טבריה,2
טובא-זנגריה,1
טורעאן,4
טייבה,4
טירה,4
טירת כרמל,2
טמרה,4
יאנוח - ג'ת,6
יבנאל,3
יבנה,6
יהוד -מונסון,6
יואב,0
יסוד המעלה,0
יפיע,4
יקנעם עילית,6
ירוחם,2
ירושלים,3
ירכא,6
כאבול,4
כאוכב אבו אל-היג'א,4
כוכב יאיר,0
כסייפה,1
כסרא - סמיע,6
כעביה - טבאש - חג'אג'רה,1
כפר ברא,1
כפר ורדים,0
כפר יאסיף,4
כפר יונה,6
כפר כמא,0
כפר כנא,4
כפר מנדא,4
כפר סבא,0
כפר קאסם,1
כפר קרע,4
כפר שמריהו,0
כפר תבור,0
כרמיאל,6
לב השרון,0
להבים,0
לוד,2
לכיש,6
לקיה,1
מבואות החרמון,6
מבשרת ציון,6
מג'אר,1
מג'ד אל-כרום,4
מג'דל שמס,0
מגדל,2
מגדל העמק,2
מגידו,0
מודיעין-מכבים-רעות,0
מזכרת בתיה,0
מזרעה,4
מטה אשר,0
מטה יהודה,6
מטולה,0
מיתר,6
מנשה,0
מסעדה,6
מעיליא,4
מעלה יוסף,2
מעלה עירון,4
מעלות-תרשיחא,2
מצפה רמון,6
מרום הגליל,2
מרחבים,2
משגב,0
משהד,4
נהריה,2
נווה מדבר,1
נחל שורק,3
נחף,4
נס ציונה,0
נצרת,4
נשר,6
נתיבות,3
נתניה,2
סאג'ור,6
סביון,0
סח'נין,4
ע'ג'ר,3
עומר,0
עוספייא,0
עילבון,4
עילוט,4
עין מאהל,4
עין קיניה,6
עכו,2
עמק הירדן,0
עמק המעיינות,6
עמק חפר,0
עמק יזרעאל,0
עפולה,2
עראבה,4
ערד,6
ערערה,4
ערערה בנגב,1
פוריידיס,4
פסוטה,4
פקיעין (בוקייעה),6
פרדס חנה - כרכור,6
פרדסיה,0
פתח תקווה,6
צפת,3
קדימה - צורן,0
קלנסווה,4
קצרין,6
קרית אונו,0
קרית אתא,2
קרית ביאליק,6
קרית גת,2
קרית טבעון,0
קרית ים,2
קרית יערים,5
קרית מוצקין,6
קרית מלאכי,2
קרית עקרון,2
קרית שמונה,2
ראמה,4
ראש העין,6
ראש פינה,0
ראשון לציון,6
רהט,1
רחובות,6
ריינה,4
רכסים,5
רמלה,2
רמת גן,0
רמת השרון,0
רמת ישי,0
רמת נגב,0
רעננה,0
שגב שלום,1
שדות נגב,2
שדרות,2
שהם,0
שלומי,2
שעב,4
שער הנגב,0
שפיר,3
שפרעם,4
תל אביב -יפו,0
תל מונד,0
תל שבע,1
תמר,0
