municipality,canton
באקה אל גרבייה,0
כפר יאסיף,0
טורעאן,0
ערערה,0
מעלה עירון,0
קלנסווה,0
ג'דיידה-מכר,0
ריינה,0
עראבה,0
מעיליא,0
יפיע,0
טייבה,0
מג'ד אל-כרום,0
מזרעה,0
ג'סר א-זרקא,0
אום אל-פחם,0
אעבלין,0
אכסאל,0
נצרת,0
ג'ת,1
זמר,1
טירה,1
כפר יונה,2
חוף השרון,2
קדימה - צורן,2
אור יהודה,2
רכסים,2
אלעד,2
בני ברק,2
דאלית אל-כרמל,2
ראש העין,2
קרית יערים,2
כפר סבא,2
תל אביב -יפו,2
רמת גן,2
פרדסיה,2
נתניה,2
דרום השרון,2
הרצליה,2
סביון,2
עוספייא,2
גני תקווה,2
יהוד -מונסון,2
רעננה,2
כוכב יאיר,2
גבעתיים,2
גבעת שמואל,2
רמת השרון,2
אבן יהודה,2
לב השרון,2
עמק חפר,2
תל מונד,2
פתח תקווה,2
כפר שמריהו,2
קרית אונו,2
הוד השרון,2
מנשה,3
אליכין,3
חדרה,3
מגידו,3
אלונה,3
"בסמ""ה",3
חריש,3
פרדס חנה - כרכור,3
זכרון יעקב,3
חוף הכרמל,3
בנימינה - גבעת עדה,3
יקנעם עילית,3
אור עקיבא,3
להבים,4
בית ג'ן,4
אבו גוש,4
אשקלון,4
רמת נגב,4
בית שמש,4
ירושלים,4
ירוחם,4
ערד,4
בני שמעון,4
יואב,4
דימונה,4
מיתר,4
לכיש,4
עומר,4
שדות נגב,4
הערבה התיכונה,4
מרחבים,4
אופקים,4
שפיר,4
קרית גת,4
נתיבות,4
שדרות,4
שער הנגב,4
תמר,4
מצפה רמון,4
חבל אילות,4
אשכול,4
מבשרת ציון,4
אילת,4
חוף אשקלון,4
באר שבע,4
מטה יהודה,4
כאוכב אבו אל-היג'א,5
דבוריה,5
עין מאהל,5
טמרה,5
כאבול,5
שעב,5
כפר מנדא,6
עילוט,6
כפר כנא,7
כפר קרע,7
סח'נין,7
משהד,7
ראמה,8
כרמיאל,8
בענה,8
נחף,8
סאג'ור,8
מעלה יוסף,9
פסוטה,9
קרית מוצקין,9
משגב,9
נהריה,9
קרית אתא,9
קרית ביאליק,9
דיר אל-אסד,9
שלומי,9
חורפיש,9
כסרא - סמיע,9
נשר,9
מעלות-תרשיחא,9
עכו,9
שפרעם,9
ירכא,9
אבו סנאן,9
טירת כרמל,9
ג'וליס,9
פקיעין (בוקייעה),9
חיפה,9
זבולון,9
כפר ורדים,9
קרית ים,9
מטה אשר,9
יאנוח - ג'ת,9
זרזיר,10
ראש פינה,10
עמק המעיינות,10
מגדל העמק,10
בוסתאן אל-מרג',10
קצרין,10
הגלבוע,10
גוש חלב (ג'יש),10
הגליל התחתון,10
טובא-זנגריה,10
בוקעאתא,10
כפר תבור,10
מטולה,10
קרית שמונה,10
מג'דל שמס,10
הגליל העליון,10
עין קיניה,10
כעביה - טבאש - חג'אג'רה,10
חצור הגלילית,10
כפר כמא,10
בית שאן,10
מגדל,10
טבריה,10
רמת ישי,10
ע'ג'ר,10
מסעדה,10
עפולה,10
מרום הגליל,10
קרית טבעון,10
יסוד המעלה,10
צפת,10
יבנאל,10
עמק הירדן,10
מבואות החרמון,10
גולן,10
עמק יזרעאל,10
גדרה,11
באר טוביה,11
גן רוה,11
גן יבנה,11
בית דגן,11
קרית מלאכי,11
גזר,11
שהם,11
אשדוד,11
מזכרת בתיה,11
בת ים,11
יבנה,11
ברנר,11
באר יעקב,11
נס ציונה,11
ראשון לציון,11
חולון,11
רמלה,11
רחובות,11
גדרות,11
"בני עי""ש",11
חבל מודיעין,11
לוד,11
חבל יבנה,11
אזור,11
קרית עקרון,11
מודיעין-מכבים-רעות,11
נחל שורק,11
עילבון,12
דיר חנא,12
מג'אר,12
פוריידיס,13
לקיה,14
כפר ברא,14
בועיינה-נוג'ידאת,14
שגב שלום,14
ערערה בנגב,14
אל קסום,14
אל-בטוף,14
כסייפה,14
נווה מדבר,14
כפר קאסם,14
ביר אל-מכסור,14
רהט,14
בסמת טבעון,14
חורה,14
תל שבע,14
ג'לג'וליה,14
