municipality,canton
אבו גוש,0
סאג'ור,1
אליכין,2
קרית יערים,3
זמר,4
שגב שלום,5
אום אל-פחם,6
כפר יאסיף,7
מסעדה,8
טובא-זנגריה,9
כפר קרע,4
רכסים,3
כפר מנדא,0
ג'דיידה-מכר,5
כאבול,7
כאוכב אבו אל-היג'א,7
גולן,8
"בסמ""ה",4
עמק חפר,2
דבוריה,7
טורעאן,0
אלעד,3
כרמיאל,1
עראבה,5
הגליל העליון,8
קלנסווה,4
דיר חנא,7
ריינה,0
מעלה עירון,6
מבואות החרמון,8
ג'לג'וליה,7
ג'ת,0
עין מאהל,4
בוסתאן אל-מרג',5
אכסאל,6
מעלה יוסף,8
יסוד המעלה,8
משהד,0
בענה,7
מג'ד אל-כרום,5
מנשה,2
כפר ורדים,8
יפיע,4
ראש פינה,8
ביר אל-מכסור,6
אלונה,2
כפר ברא,7
כפר כנא,0
מרום הגליל,1
טירה,6
לקיה,5
בנימינה - גבעת עדה,2
חבל מודיעין,3
עמק הירדן,8
כפר קאסם,7
באקה אל גרבייה,4
חצור הגלילית,1
ערערה בנגב,5
בועיינה-נוג'ידאת,0
הגליל התחתון,8
כפר תבור,8
מגידו,2
מזרעה,0
זבולון,3
צפת,8
שפרעם,5
סח'נין,6
טייבה,7
טמרה,0
גזר,3
זכרון יעקב,2
עמק המעיינות,8
רהט,4
ברנר,3
גדרות,3
גן רוה,3
משגב,1
הגלבוע,8
דיר אל-אסד,0
לב השרון,2
פרדסיה,2
מטה אשר,5
מזכרת בתיה,3
דרום השרון,6
חוף השרון,2
כפר שמריהו,2
עמק יזרעאל,7
מגדל העמק,4
קרית שמונה,8
נצרת,0
תל מונד,2
גדרה,3
עכו,5
גני תקווה,6
אבן יהודה,2
סביון,6
ירכא,1
בית שאן,8
כוכב יאיר,6
פקיעין (בוקייעה),1
שהם,3
עילבון,1
רמת ישי,7
מג'אר,1
יבנאל,8
בני שמעון,4
מרחבים,4
עומר,4
להבים,4
קדימה - צורן,2
קרית טבעון,7
שער הנגב,4
מעלות-תרשיחא,8
יהוד -מונסון,6
אשכול,4
גן יבנה,3
כסרא - סמיע,1
ראמה,1
מיתר,4
שעב,0
שלומי,5
כפר יונה,2
עפולה,7
קרית ביאליק,5
באר יעקב,3
טבריה,8
נהריה,0
אור יהודה,6
אופקים,4
חוף הכרמל,2
קרית עקרון,3
לכיש,4
יואב,4
אבו סנאן,1
נשר,3
קרית מוצקין,5
קרית אונו,6
חוף אשקלון,4
ראש העין,7
אור עקיבא,2
חריש,4
מטה יהודה,0
נס ציונה,3
טירת כרמל,2
שדרות,4
קרית ים,5
מבשרת ציון,0
ג'וליס,1
פרדס חנה - כרכור,2
הוד השרון,6
שפיר,4
שדות נגב,4
רמת נגב,4
ירוחם,4
מצפה רמון,4
יבנה,3
קרית אתא,5
חבל אילות,4
קצרין,8
הערבה התיכונה,4
דימונה,4
יקנעם עילית,2
מטולה,8
פוריידיס,0
בית ג'ן,2
רמת השרון,6
תל שבע,0
מגדל,8
כסייפה,0
אעבלין,0
באר טוביה,3
קרית מלאכי,3
עין קיניה,8
חורה,0
מעיליא,0
אילת,4
עילוט,0
גוש חלב (ג'יש),1
נווה מדבר,0
ג'סר א-זרקא,0
ערערה,0
חבל יבנה,3
אל-בטוף,0
גבעת שמואל,6
נתיבות,4
רעננה,2
רמלה,3
בוקעאתא,8
נחל שורק,3
כפר כמא,8
בית שמש,0
"בני עי""ש",3
קרית גת,4
הרצליה,6
באר שבע,5
חדרה,2
לוד,3
נחף,0
כעביה - טבאש - חג'אג'רה,7
דאלית אל-כרמל,2
עוספייא,2
פסוטה,8
בסמת טבעון,0
כפר סבא,6
מודיעין-מכבים-רעות,3
אשקלון,4
יאנוח - ג'ת,1
זרזיר,7
תמר,4
ערד,4
רחובות,3
נתניה,2
חיפה,5
רמת גן,6
גבעתיים,6
ירושלים,0
בני ברק,3
חורפיש,8
פתח תקווה,6
אשדוד,3
מג'דל שמס,8
אל קסום,0
ראשון לציון,3
בית דגן,3
בת ים,3
חולון,3
אזור,3
תל אביב -יפו,6
ע'ג'ר,8
