municipality,canton
אבו גוש,5
אבו סנאן,5
אבן יהודה,6
אום אל-פחם,5
אופקים,6
אור יהודה,6
אור עקיבא,6
אזור,6
אילת,6
אכסאל,5
אל קסום,5
אל-בטוף,5
אלונה,6
אליכין,6
אלעד,4
אעבלין,5
אשדוד,6
אשכול,6
אשקלון,6
באקה אל גרבייה,5
באר טוביה,6
באר יעקב,6
באר שבע,6
בוסתאן אל-מרג',5
בועיינה-נוג'ידאת,5
בוקעאתא,6
ביר אל-מכסור,5
בית ג'ן,6
בית דגן,6
בית שאן,6
בית שמש,6
בני ברק,4
"בני עי""ש",6
בני שמעון,6
בנימינה - גבעת עדה,6
"בסמ""ה",5
בסמת טבעון,5
בענה,5
ברנר,6
בת ים,6
ג'דיידה-מכר,5
ג'וליס,6
ג'לג'וליה,5
ג'סר א-זרקא,5
ג'ת,5
גבעת שמואל,6
גבעתיים,6
גדרה,6
גדרות,6
גולן,6
גוש חלב (ג'יש),0
גזר,6
גן יבנה,6
גן רוה,6
גני תקווה,6
דאלית אל-כרמל,6
דבוריה,5
דימונה,6
דיר אל-אסד,5
דיר חנא,5
דרום השרון,6
הגלבוע,6
הגליל העליון,6
הגליל התחתון,6
הוד השרון,6
הערבה התיכונה,6
הרצליה,6
זבולון,6
זכרון יעקב,6
זמר,5
זרזיר,6
חבל אילות,6
חבל יבנה,6
חבל מודיעין,6
חדרה,6
חולון,6
חוף אשקלון,6
חוף הכרמל,6
חוף השרון,6
חורה,5
חורפיש,6
חיפה,6
חצור הגלילית,6
חריש,6
טבריה,6
טובא-זנגריה,1
טורעאן,5
טייבה,5
טירה,5
טירת כרמל,6
טמרה,5
יאנוח - ג'ת,6
יבנאל,6
יבנה,6
יהוד -מונסון,6
יואב,6
יסוד המעלה,6
יפיע,5
יקנעם עילית,6
ירוחם,6
ירושלים,6
ירכא,6
כאבול,5
כאוכב אבו אל-היג'א,5
כוכב יאיר,6
כסייפה,5
כסרא - סמיע,6
כעביה - טבאש - חג'אג'רה,2
כפר ברא,5
כפר ורדים,6
כפר יאסיף,5
כפר יונה,6
כפר כמא,6
כפר כנא,5
כפר מנדא,5
כפר סבא,6
כפר קאסם,5
כפר קרע,5
כפר שמריהו,6
כפר תבור,6
כרמיאל,6
לב השרון,6
להבים,6
לוד,6
לכיש,6
לקיה,5
מבואות החרמון,6
מבשרת ציון,6
מג'אר,5
מג'ד אל-כרום,5
מג'דל שמס,6
מגדל,6
מגדל העמק,6
מגידו,6
מודיעין-מכבים-רעות,6
מזכרת בתיה,6
מזרעה,5
מטה אשר,6
מטה יהודה,6
מטולה,6
מיתר,6
מנשה,6
מסעדה,6
מעיליא,5
מעלה יוסף,6
מעלה עירון,5
מעלות-תרשיחא,6
מצפה רמון,6
מרום הגליל,6
מרחבים,6
משגב,6
משהד,5
נהריה,6
נווה מדבר,5
נחל שורק,6
נחף,5
נס ציונה,6
נצרת,5
נשר,6
נתיבות,6
נתניה,6
סאג'ור,6
סביון,6
סח'נין,5
ע'ג'ר,6
עומר,6
עוספייא,6
עילבון,5
עילוט,5
עין מאהל,5
עין קיניה,6
עכו,6
עמק הירדן,6
עמק המעיינות,6
עמק חפר,6
עמק יזרעאל,6
עפולה,6
עראבה,5
ערד,6
ערערה,5
ערערה בנגב,5
פוריידיס,5
פסוטה,3
פקיעין (בוקייעה),6
פרדס חנה - כרכור,6
פרדסיה,6
פתח תקווה,6
צפת,6
קדימה - צורן,6
קלנסווה,5
קצרין,6
קרית אונו,6
קרית אתא,6
קרית ביאליק,6
קרית גת,6
קרית טבעון,6
קרית ים,6
קרית יערים,4
קרית מוצקין,6
קרית מלאכי,6
קרית עקרון,6
קרית שמונה,6
ראמה,6
ראש העין,6
ראש פינה,6
ראשון לציון,6
רהט,5
רחובות,6
ריינה,5
רכסים,4
רמלה,6
רמת גן,6
רמת השרון,6
רמת ישי,6
רמת נגב,6
רעננה,6
שגב שלום,5
שדות נגב,6
שדרות,6
שהם,6
שלומי,6
שעב,5
שער הנגב,6
שפיר,6
שפרעם,5
תל אביב -יפו,6
תל מונד,6
תל שבע,5
תמר,6
