municipality,canton
אבו גוש,8
אבו סנאן,8
אבן יהודה,5
אום אל-פחם,1
אופקים,10
אור יהודה,4
אור עקיבא,4
אזור,2
אילת,2
אכסאל,1
אל קסום,9
אל-בטוף,9
אלונה,5
אליכין,4
אלעד,14
אעבלין,1
אשדוד,12
אשכול,0
אשקלון,4
באקה אל גרבייה,1
באר טוביה,2
באר יעקב,2
באר שבע,4
בוסתאן אל-מרג',8
בועיינה-נוג'ידאת,9
בוקעאתא,12
ביר אל-מכסור,6
בית ג'ן,11
בית דגן,4
בית שאן,4
בית שמש,3
בני ברק,3
"בני עי""ש",12
בני שמעון,7
בנימינה - גבעת עדה,7
"בסמ""ה",1
בסמת טבעון,6
בענה,1
ברנר,7
בת ים,12
ג'דיידה-מכר,1
ג'וליס,5
ג'לג'וליה,9
ג'סר א-זרקא,1
ג'ת,1
גבעת שמואל,0
גבעתיים,7
גדרה,2
גדרות,7
גולן,0
גוש חלב (ג'יש),8
גזר,0
גן יבנה,2
גן רוה,7
גני תקווה,5
דאלית אל-כרמל,7
דבוריה,1
דימונה,4
דיר אל-אסד,1
דיר חנא,1
דרום השרון,7
הגלבוע,0
הגליל העליון,7
הגליל התחתון,0
הוד השרון,5
הערבה התיכונה,7
הרצליה,5
זבולון,7
זכרון יעקב,5
זמר,1
זרזיר,6
חבל אילות,7
חבל יבנה,10
חבל מודיעין,0
חדרה,2
חולון,2
חוף אשקלון,2
חוף הכרמל,5
חוף השרון,7
חורה,9
חורפיש,11
חיפה,0
חצור הגלילית,4
חריש,10
טבריה,4
טובא-זנגריה,6
טורעאן,1
טייבה,1
טירה,1
טירת כרמל,4
טמרה,1
יאנוח - ג'ת,12
יבנאל,10
יבנה,2
יהוד -מונסון,2
יואב,7
יסוד המעלה,5
יפיע,1
יקנעם עילית,2
ירוחם,4
ירושלים,10
ירכא,12
כאבול,1
כאוכב אבו אל-היג'א,1
כוכב יאיר,7
כסייפה,9
כסרא - סמיע,12
כעביה - טבאש - חג'אג'רה,6
כפר ברא,9
כפר ורדים,7
כפר יאסיף,1
כפר יונה,2
כפר כמא,7
כפר כנא,1
כפר מנדא,1
כפר סבא,5
כפר קאסם,9
כפר קרע,1
כפר שמריהו,7
כפר תבור,5
כרמיאל,12
לב השרון,5
להבים,5
לוד,4
לכיש,2
לקיה,9
מבואות החרמון,2
מבשרת ציון,2
מג'אר,6
מג'ד אל-כרום,1
מג'דל שמס,5
מגדל,4
מגדל העמק,4
מגידו,7
מודיעין-מכבים-רעות,5
מזכרת בתיה,5
מזרעה,1
מטה אשר,7
מטה יהודה,0
מטולה,7
מיתר,0
מנשה,7
מסעדה,5
מעיליא,8
מעלה יוסף,4
מעלה עירון,1
מעלות-תרשיחא,12
מצפה רמון,12
מרום הגליל,4
מרחבים,4
משגב,7
משהד,1
נהריה,2
נווה מדבר,9
נחל שורק,13
נחף,1
נס ציונה,5
נצרת,1
נשר,2
נתיבות,10
נתניה,2
סאג'ור,0
סביון,5
סח'נין,1
ע'ג'ר,10
עומר,5
עוספייא,11
עילבון,8
עילוט,1
עין מאהל,1
עין קיניה,2
עכו,4
עמק הירדן,7
עמק המעיינות,0
עמק חפר,7
עמק יזרעאל,7
עפולה,4
עראבה,1
ערד,12
ערערה,1
ערערה בנגב,9
פוריידיס,8
פסוטה,8
פקיעין (בוקייעה),11
פרדס חנה - כרכור,2
פרדסיה,5
פתח תקווה,2
צפת,10
קדימה - צורן,5
קלנסווה,1
קצרין,12
קרית אונו,5
קרית אתא,4
קרית ביאליק,2
קרית גת,4
קרית טבעון,7
קרית ים,12
קרית יערים,3
קרית מוצקין,2
קרית מלאכי,4
קרית עקרון,4
קרית שמונה,4
ראמה,8
ראש העין,2
ראש פינה,0
ראשון לציון,2
רהט,9
רחובות,2
ריינה,1
רכסים,14
רמלה,4
רמת גן,5
רמת השרון,7
רמת ישי,5
רמת נגב,7
רעננה,5
שגב שלום,9
שדות נגב,4
שדרות,4
שהם,5
שלומי,4
שעב,1
שער הנגב,7
שפיר,10
שפרעם,8
תל אביב -יפו,5
תל מונד,5
תל שבע,9
תמר,7
