municipality,canton
אעבלין,0
מעיליא,0
שפרעם,0
מעלה עירון,1
ריינה,1
"בסמ""ה",2
טירה,2
זמר,2
באקה אל גרבייה,2
ערערה,2
ג'ת,2
אור עקיבא,3
כפר סבא,3
פרדסיה,3
אלעד,3
כוכב יאיר,3
אבן יהודה,3
נתניה,3
בני ברק,3
גבעת שמואל,3
רמת גן,3
תל מונד,3
אור יהודה,3
יקנעם עילית,3
חוף השרון,3
חדרה,3
רמת השרון,3
כפר יונה,3
אלונה,3
קדימה - צורן,3
יהוד -מונסון,3
דאלית אל-כרמל,3
קרית אונו,3
הרצליה,3
חריש,3
הוד השרון,3
לב השרון,3
עוספייא,3
אליכין,3
פרדס חנה - כרכור,3
רעננה,3
סביון,3
ראש העין,3
גבעתיים,3
כפר שמריהו,3
זכרון יעקב,3
מנשה,3
בנימינה - גבעת עדה,3
פתח תקווה,3
מגידו,3
חוף הכרמל,3
דרום השרון,3
עמק חפר,3
גני תקווה,3
תל אביב -יפו,3
קרית יערים,3
רכסים,3
טורעאן,4
שעב,4
טמרה,5
בענה,5
ירוחם,6
אופקים,6
יואב,6
בית ג'ן,6
בני שמעון,6
עומר,6
מצפה רמון,6
רמת נגב,6
שער הנגב,6
קרית גת,6
באר שבע,6
דימונה,6
שדרות,6
מרחבים,6
להבים,6
תמר,6
שדות נגב,6
הערבה התיכונה,6
נתיבות,6
חבל אילות,6
מטה יהודה,6
שפיר,6
אשכול,6
ערד,6
מיתר,6
לכיש,6
בית שמש,6
אשקלון,6
מבשרת ציון,6
אילת,6
אבו גוש,6
ירושלים,6
חוף אשקלון,6
דיר אל-אסד,7
כפר מנדא,7
עילוט,7
כרמיאל,8
נחף,8
ראמה,8
סאג'ור,8
ג'סר א-זרקא,9
כפר תבור,10
קרית טבעון,10
טובא-זנגריה,10
ע'ג'ר,10
הגליל התחתון,10
טבריה,10
מסעדה,10
קרית שמונה,10
גולן,10
מבואות החרמון,10
בית שאן,10
בוסתאן אל-מרג',10
מטולה,10
בוקעאתא,10
עמק הירדן,10
גוש חלב (ג'יש),10
הגלבוע,10
כעביה - טבאש - חג'אג'רה,10
יסוד המעלה,10
רמת ישי,10
חצור הגלילית,10
עין קיניה,10
עמק יזרעאל,10
עמק המעיינות,10
מג'דל שמס,10
יבנאל,10
הגליל העליון,10
כפר כמא,10
מגדל העמק,10
ראש פינה,10
מגדל,10
זרזיר,10
עפולה,10
מרום הגליל,10
צפת,10
קצרין,10
פוריידיס,11
מג'אר,12
עילבון,12
דיר חנא,12
כאבול,13
משהד,13
דבוריה,13
סח'נין,13
כאוכב אבו אל-היג'א,13
עין מאהל,13
כפר כנא,14
קרית ים,15
חורפיש,15
ג'וליס,15
מטה אשר,15
מעלה יוסף,15
כפר ורדים,15
שלומי,15
פסוטה,15
קרית ביאליק,15
חיפה,15
כפר יאסיף,15
יאנוח - ג'ת,15
זבולון,15
ירכא,15
אבו סנאן,15
טירת כרמל,15
מעלות-תרשיחא,15
עכו,15
קרית אתא,15
נהריה,15
נשר,15
משגב,15
פקיעין (בוקייעה),15
כסרא - סמיע,15
קרית מוצקין,15
קרית עקרון,16
חולון,16
רמלה,16
גן יבנה,16
מודיעין-מכבים-רעות,16
חבל יבנה,16
"בני עי""ש",16
גדרה,16
אשדוד,16
שהם,16
נס ציונה,16
גן רוה,16
אזור,16
מזכרת בתיה,16
ברנר,16
באר יעקב,16
רחובות,16
יבנה,16
חבל מודיעין,16
גזר,16
קרית מלאכי,16
באר טוביה,16
גדרות,16
לוד,16
בת ים,16
בית דגן,16
נחל שורק,16
ראשון לציון,16
אכסאל,17
טייבה,17
מג'ד אל-כרום,17
אום אל-פחם,17
ג'דיידה-מכר,17
יפיע,17
קלנסווה,17
עראבה,17
מזרעה,17
נצרת,17
כפר קרע,18
לקיה,19
שגב שלום,19
כפר קאסם,19
רהט,19
חורה,19
ערערה בנגב,19
תל שבע,19
בועיינה-נוג'ידאת,19
ג'לג'וליה,19
אל קסום,19
ביר אל-מכסור,19
כפר ברא,19
אל-בטוף,19
בסמת טבעון,19
נווה מדבר,19
כסייפה,19
