municipality,canton
אבו גוש,0
סאג'ור,1
אליכין,2
קרית יערים,3
זמר,4
שגב שלום,5
אום אל-פחם,6
כפר יאסיף,7
מסעדה,8
טובא-זנגריה,9
מגדל,10
כפר כמא,11
דאלית אל-כרמל,12
באר טוביה,13
נחל שורק,14
מרום הגליל,10
רכסים,3
כפר קרע,4
כפר מנדא,0
הגליל התחתון,11
מג'ד אל-כרום,5
דיר חנא,7
כפר תבור,11
עוספייא,12
מזכרת בתיה,14
חצור הגלילית,10
גולן,8
כאוכב אבו אל-היג'א,7
"בסמ""ה",4
גדרות,13
הגליל העליון,9
עמק חפר,2
כאבול,5
זבולון,3
עמק הירדן,11
דבוריה,7
עין מאהל,0
מבואות החרמון,8
כרמיאל,1
ברנר,14
ג'לג'וליה,4
יואב,13
מעלה יוסף,9
חוף השרון,12
גן רוה,14
ג'ת,0
קרית שמונה,8
טורעאן,5
אכסאל,7
צפת,10
קרית טבעון,3
מעלה עירון,6
עמק המעיינות,11
כפר ורדים,9
ריינה,4
בוסתאן אל-מרג',0
אבן יהודה,12
לכיש,13
קרית עקרון,14
ראש פינה,9
משהד,5
בענה,7
ביר אל-מכסור,6
לקיה,0
יסוד המעלה,9
כפר ברא,5
עין קיניה,8
כפר שמריהו,12
יבנאל,11
פקיעין (בוקייעה),9
מזרעה,6
קצרין,8
בועיינה-נוג'ידאת,4
מטולה,9
מעיליא,0
שעב,5
שער הנגב,13
חבל יבנה,14
עילבון,11
כסרא - סמיע,9
פוריידיס,6
ערערה בנגב,7
מנשה,2
אלונה,2
יפיע,0
נשר,3
תל מונד,12
בני שמעון,13
קלנסווה,4
דיר אל-אסד,5
ראמה,1
מג'אר,10
ירכא,9
בית שאן,11
גן יבנה,14
ג'דיידה-מכר,6
כפר כנא,7
להבים,13
משגב,1
בנימינה - גבעת עדה,2
תל שבע,0
עומר,13
עראבה,5
קדימה - צורן,12
באקה אל גרבייה,4
מעלות-תרשיחא,9
כסייפה,0
מגידו,6
מטה אשר,3
טירה,7
מיתר,13
הגלבוע,11
חריש,2
גדרה,14
כפר קאסם,0
שלומי,3
מרחבים,13
בית ג'ן,6
לב השרון,12
פרדסיה,12
אעבלין,5
רמת נגב,13
הערבה התיכונה,13
סח'נין,4
זכרון יעקב,2
שפרעם,1
חבל אילות,13
אבו סנאן,7
מצפה רמון,13
טייבה,6
טמרה,5
גזר,14
ירוחם,13
חורה,0
ג'וליס,9
עמק יזרעאל,11
רמת ישי,11
אור עקיבא,2
אלעד,3
נהריה,9
כפר יונה,12
רהט,0
דרום השרון,7
אשכול,13
חבל מודיעין,14
סביון,7
חוף אשקלון,13
קרית אתא,1
חוף הכרמל,6
נצרת,4
כוכב יאיר,7
פרדס חנה - כרכור,2
שהם,14
קרית ביאליק,3
מגדל העמק,11
גני תקווה,7
רמת השרון,12
שפיר,13
טירת כרמל,6
שדות נגב,13
ערערה,5
באר יעקב,14
עפולה,0
גוש חלב (ג'יש),10
שדרות,13
יהוד -מונסון,7
טבריה,11
יקנעם עילית,6
עילוט,5
עכו,3
נווה מדבר,5
דימונה,5
בוקעאתא,8
קרית מלאכי,13
נחף,10
אל-בטוף,10
ג'סר א-זרקא,5
אור יהודה,7
יבנה,14
אופקים,13
הוד השרון,12
חדרה,2
מטה יהודה,0
קרית מוצקין,3
מבשרת ציון,0
קרית אונו,7
נס ציונה,14
נתיבות,13
קרית ים,3
פסוטה,9
"בני עי""ש",14
כעביה - טבאש - חג'אג'רה,11
גבעת שמואל,7
אילת,13
בסמת טבעון,5
רעננה,12
ראש העין,0
באר שבע,5
חיפה,1
רמלה,14
קרית גת,13
הרצליה,7
לוד,14
בית שמש,0
נתניה,2
כפר סבא,12
בני ברק,3
מודיעין-מכבים-רעות,14
אשקלון,13
יאנוח - ג'ת,9
רמת גן,7
גבעתיים,7
חורפיש,9
זרזיר,11
רחובות,14
תמר,13
ערד,13
מג'דל שמס,8
פתח תקווה,12
אל קסום,5
אשדוד,13
ירושלים,0
ראשון לציון,14
בית דגן,14
תל אביב -יפו,3
בת ים,14
חולון,3
אזור,3
ע'ג'ר,8
