municipality,right_avg,right_std,haredi_avg,haredi_std,center_avg,center_std,left_avg,left_std,arab_avg,arab_std,avg_votes,dominant_bloc,left_right_score,religious_score
אבו גוש,12.292247040035603,6.69085068809116,1.180490952723628,0.7663127947981795,8.083172500219764,6.707313846099617,6.753320604405539,6.136871223361779,70.3909098268787,13.947866721702262,2329.4,arab,5.538926435630064,36.37594586616298
אבו סנאן,11.738654537052545,4.575117129032154,4.093359284599201,3.5582351749714483,14.0762112605031,6.172837868295068,2.7476669468718837,1.2657211317800234,65.93905750368927,6.475379517284496,5373.8,arab,8.990987590180662,37.06288803644384
אבן יהודה,27.73576208135008,1.5610036732313277,2.093310102082751,0.47462377106562215,54.750833831850855,3.492923534031927,13.856645370725584,3.4823283776851435,0.22683459787824126,0.09863624738689018,7572.6,center,13.879116710624498,2.2067274010218716
אום אל-פחם,0.6918355456023019,0.436200834106969,0.163630150832999,0.1141087323893394,0.7971082062165866,0.5521179390340211,2.310475633310628,1.67694442087355,95.407024025125,2.188448301186375,16443.8,arab,-1.6186400877083265,47.8671421633955
אופקים,49.89141567459062,3.2008850259227524,37.90050750747272,1.3678379242980352,8.04389236468313,1.2998220115808488,1.96741776289289,0.9589468810019073,0.11780556843682363,0.06693303209136413,14449.2,right,47.923997911697725,37.95941029169113
אור יהודה,57.21827316584935,1.6947115079268096,18.01129739922428,2.0533609189275936,19.210638898048067,2.2434046625968005,3.744815831793661,0.9050159778225914,0.08076684465719165,0.01225741694426603,18744.8,right,53.47345733405569,18.051680821552875
אור עקיבא,68.22823373924815,2.5581761299968537,11.24463225842467,1.0277070425820338,16.155346393695375,2.041972532616899,2.386102452497567,0.5136680832263033,0.08956641150925804,0.050592528924985926,10046.2,right,65.84213128675059,11.289415464179298
אזור,47.4476823624802,1.3104715898708523,11.255443361151753,1.501807569858791,32.94049419900212,2.5267503386190957,6.33572217480666,1.229784520873729,0.17728860813672492,0.0956033485238952,6652.2,right,41.11196018767354,11.344087665220115
אילת,57.62454115035744,1.8696587319506506,6.377323565608693,1.1056324841143925,28.26700513856448,1.8148599592210426,4.817029851475585,1.2869378452132187,0.7344743256292661,0.2029021520884689,22249.2,right,52.80751129888185,6.744560728423326
אכסאל,1.6308347538643062,1.6078797208058346,0.141451679718945,0.09763593291829864,1.238239881668972,0.616769326517744,1.9817235249703131,2.0508219541255666,94.38622382978296,3.0078887590837113,5297.4,arab,-0.3508887711060069,47.33456359461043
אל קסום,6.949602417034969,5.2472311369180185,2.371781256450497,3.320549459533423,7.857879657836466,5.498325303862068,3.816300505904781,3.11756353761758,75.64915132446042,11.647772173948479,3167.6,arab,3.1333019111301876,40.196356918680706
אל-בטוף,2.510602327565633,1.9408272975420369,3.7009489548686814,1.787122398833955,8.371164632525739,6.788130416129036,4.7800953557675285,2.3585871357594352,77.91312019284183,10.385538465743746,2688.0,arab,-2.2694930282018957,42.657509051289594
אלונה,30.63529243127429,2.4608795496435762,0.9446927184061508,0.39278046056228083,45.25706207412776,6.445251453150427,19.067049612373264,5.661363599884663,0.6118762613309862,0.2600354204414347,1146.0,center,11.568242818901027,1.2506308490716438
אליכין,58.35677855999383,3.0175008336027562,14.953470967795349,1.6743090553893645,19.608689354215535,2.8023726412108823,4.6800807992945845,1.1418339892853961,0.02055019409982971,0.02516924442062634,1968.6,right,53.67669776069924,14.963746064845264
אלעד,12.29691137746622,3.8005457387702064,84.78091965802477,1.6432035491258428,0.3605618380992411,0.13848975414010722,0.08866874965383499,0.031430804177047314,0.007798006878858692,0.006737619430262764,17887.0,haredi,12.208242627812385,84.7848186614642
אעבלין,3.432752937540036,0.9113082420020572,0.8573720766641001,1.383642538169985,3.7304514814503476,2.223554152839486,5.497652145360044,2.8631301346642744,85.30570986013419,6.146898475452442,5309.2,arab,-2.0648992078200084,43.51022700673119
אשדוד,51.92687794803194,2.923072589171526,26.00268296170559,1.9203776328801527,18.283626988387915,2.06209523158426,2.1586531675136333,0.6586561029338526,0.05247228649529696,0.013219142155383948,115329.6,right,49.7682247805183,26.02891910495324
אשכול,29.040414822005783,3.6184929431338717,2.8315452295528396,1.4172659646924328,37.46628435045906,3.932846850302278,26.162581739016378,3.9666343250122305,0.47362475586313924,0.19098510186931505,7316.2,center,2.8778330829894045,3.068357607484409
אשקלון,64.813761762365,2.6112096161612617,11.135185852817692,1.4564331418998997,18.902824742768004,2.120525899397758,2.698873512746297,0.7436370626143403,0.08611602234992462,0.014685096754323137,70645.8,right,62.11488824961871,11.178243863992654
באקה אל גרבייה,0.6597622438976469,0.4678237790417238,0.2179038009784029,0.1507544141619832,1.9737325271030635,1.4120475891685051,3.884768231830251,3.2976713624463745,92.46967745243809,5.044237462997547,9248.0,arab,-3.2250059879326045,46.45274252719745
באר טוביה,37.125455527561364,3.7106486426985072,4.616660383797104,1.2588170044043256,42.60994312273503,4.407155053322078,10.496439121004222,2.163859118132494,0.48744351070812764,0.14451280769268238,12296.2,center,26.62901640655714,4.8603821391511675
באר יעקב,47.94161535687989,2.1445128013167922,8.425350507658885,1.2652052219638852,37.11089682047135,3.1489111813536472,4.708374568898476,1.3910972618639974,0.1060203597662216,0.026296282283123626,12664.6,right,43.233240787981416,8.478360687541997
באר שבע,63.63004567413276,2.5386241765743445,9.262494567448472,1.1728900828373134,19.94397955707523,1.7535185915785059,4.128115757530798,1.0272963425346522,0.6458099751158755,0.1429929835598697,97151.8,right,59.50192991660196,9.58539955500641
בוסתאן אל-מרג',5.03428057783444,6.941479590527775,1.451624933718873,1.311702594894916,5.2665284154605105,3.506226143765674,13.187406680204711,6.148493630451205,73.91825227441386,12.202498193196135,3031.6,arab,-8.153126102370273,38.410751070925805
בועיינה-נוג'ידאת,1.6675532907738109,1.014562864513196,1.1546773204496943,1.0913319627853495,3.789721322436287,2.8937071341156684,3.704175729340362,2.1978962594919356,88.17354304671406,7.004218986114758,3777.6,arab,-2.0366224385665515,45.24144884380672
בוקעאתא,49.63553325417583,8.994002388334309,7.012991411692117,7.111849127463393,28.249287238491643,8.740535332595883,12.531681474928915,5.819984388112169,0.631578947368421,1.0205641805087007,102.6,right,37.10385177924692,7.328780885376328
ביר אל-מכסור,4.5414634273822205,2.304690797315483,1.2069352955278112,1.609775063109454,14.726744057017495,11.377736570404709,7.034463764474742,5.40453798234134,71.44014071191552,19.393584167596643,3089.0,arab,-2.4930003370925213,36.92700565148557
בית ג'ן,21.43467428268304,14.824249462044126,0.6344851608241875,0.5820205279119278,28.479926577913183,11.585518034570276,43.999078176239244,21.546308899804714,4.604408230350879,2.933606653680827,4380.8,left,-22.564403893556204,2.936689275999627
בית דגן,56.774918329761704,2.9538959385565065,8.616037717487671,1.3712843151092946,27.860069511248014,2.7196605148555126,4.261455047138755,1.0429393610177957,0.06796932879323113,0.027567474798216213,3874.2,right,52.51346328262295,8.650022381884288
בית שאן,65.45614801371745,2.636952670626939,21.713765074518676,2.8572069916949867,8.492230957851007,3.704290803330964,1.8275396141928872,1.2744868054585494,0.15028382735004367,0.07488991433092507,9921.2,right,63.628608399524566,21.7889069881937
בית שמש,35.55358116689257,5.326660217809115,54.791247956414566,3.4593543508709144,5.4737173459889945,0.7246455574553189,1.0582726035259722,0.334055891099623,0.0434749527365072,0.00787278823307002,43717.2,haredi,34.4953085633666,54.81298543278282
בני ברק,7.772303294217909,1.4636019989098152,89.19616254367989,0.7052149960870159,1.4266289790526452,0.23106536016321536,0.40368216842107196,0.10649636191748231,0.021782873178848847,0.0025174182163041894,84374.4,haredi,7.368621125796837,89.20705398026931
