locality_code,locality_name,district_code,district_name,municipal_status_code,municipal_status_name
967,אבו ג'ווייעד (שבט),62,באר שבע,,חסר מעמד מוניציפלי
472,אבו גוש,11,ירושלים,99.0,מועצה מקומית
473,אבו סנאן,24,עכו,99.0,מועצה מקומית
935,אבו סריחאן (שבט),62,באר שבע,,חסר מעמד מוניציפלי
958,אבו עבדון (שבט),62,באר שבע,,חסר מעמד מוניציפלי
1042,אבו עמאר (שבט),62,באר שבע,,חסר מעמד מוניציפלי
932,אבו עמרה (שבט),62,באר שבע,,חסר מעמד מוניציפלי
1342,אבו קורינאת (יישוב),62,באר שבע,68.0,מועצה אזורית נווה מדבר
968,אבו קורינאת (שבט),62,באר שבע,,חסר מעמד מוניציפלי
966,אבו רובייעה (שבט),62,באר שבע,,חסר מעמד מוניציפלי
961,אבו רוקייק (שבט),62,באר שבע,,חסר מעמד מוניציפלי
1375,אבו תלול,62,באר שבע,68.0,מועצה אזורית נווה מדבר
652,אבטין,31,חיפה,12.0,מועצה אזורית זבולון
1275,אבטליון,24,עכו,56.0,מועצה אזורית משגב
679,אביאל,32,חדרה,45.0,מועצה אזורית אלונה
1115,אביבים,21,צפת,2.0,מועצה אזורית מרום הגליל
819,אביגדור,61,אשקלון,33.0,מועצה אזורית באר טוביה
175,אביחיל,41,השרון,16.0,מועצה אזורית עמק חפר
2052,אביטל,23,יזרעאל,8.0,מועצה אזורית הגלבוע
1070,אביעזר,11,ירושלים,26.0,מועצה אזורית מטה יהודה
1220,אבירים,24,עכו,52.0,מועצה אזורית מעלה יוסף
182,אבן יהודה,41,השרון,99.0,מועצה מקומית
1081,אבן מנחם,24,עכו,52.0,מועצה אזורית מעלה יוסף
783,אבן ספיר,11,ירושלים,26.0,מועצה אזורית מטה יהודה
400,אבן שמואל,61,אשקלון,34.0,מועצה אזורית שפיר
4011,אבני איתן,29,גולן,71.0,מועצה אזורית גולן
3793,אבני חפץ,73,טול כרם,72.0,מועצה אזורית שומרון
3786,אבנת,75,ירדן-יריחו,74.0,מועצה אזורית מגילות ים המלח
1311,אבשלום,62,באר שבע,38.0,מועצה אזורית אשכול
3759,אדורה,77,חברון,78.0,מועצה אזורית הר חברון
113,אדירים,23,יזרעאל,8.0,מועצה אזורית הגלבוע
1068,אדמית,24,עכו,4.0,מועצה אזורית מטה אשר
1123,אדרת,11,ירושלים,26.0,מועצה אזורית מטה יהודה
446,אודים,41,השרון,19.0,מועצה אזורית חוף השרון
4010,אודם,29,גולן,71.0,מועצה אזורית גולן
1046,אוהד,62,באר שבע,38.0,מועצה אזורית אשכול
2710,אום אל-פחם,32,חדרה,0.0,עירייה
2024,אום אל-קוטוף,32,חדרה,14.0,מועצה אזורית מנשה
1358,אום בטין,62,באר שבע,69.0,מועצה אזורית אל קסום
1108,אומן,23,יזרעאל,8.0,מועצה אזורית הגלבוע
680,אומץ,41,השרון,16.0,מועצה אזורית עמק חפר
31,אופקים,62,באר שבע,0.0,עירייה
1294,אור הגנוז,21,צפת,2.0,מועצה אזורית מרום הגליל
67,אור הנר,61,אשקלון,37.0,מועצה אזורית שער הנגב
2400,אור יהודה,52,תל אביב,0.0,עירייה
1020,אור עקיבא,32,חדרה,0.0,עירייה
780,אורה,11,ירושלים,26.0,מועצה אזורית מטה יהודה
